icdcode,description1,description2
0000,Cholera,Classical
0001,Cholera,El Tor
0009,Cholera,Unspecified
0010,Typhoid fever,Typhoid fever
0020,Paratyphoid fever,Paratyphoid fever A
0021,Paratyphoid fever,Paratyphoid fever B
0022,Paratyphoid fever,Paratyphoid fever C
0029,Paratyphoid fever,"Paratyphoid fever, unspecified"
0030,Other salmonella infections,With food as vehicle of infection
0039,Other salmonella infections,Without mention of food as vehicle of infection
0040,Bacillary dysentery,Shiga
0041,Bacillary dysentery,Flexner
0042,Bacillary dysentery,Boyd
0043,Bacillary dysentery,Sonne
0044,Bacillary dysentery,Schmitz
0048,Bacillary dysentery,Other
0049,Bacillary dysentery,Unspecified
0050,Food poisoning (bacterial),Staphylococcal
0051,Food poisoning (bacterial),Botulism
0052,Food poisoning (bacterial),Due to other clostridia Clostridium perfringens (C. welchii)
0058,Food poisoning (bacterial),Other bacterial food poisoning
0059,Food poisoning (bacterial),"Food poisoning, unspecified"
0060,Amoebiasis,With liver abscess
0069,Amoebiasis,Without mention  of liver abscess
0070,Other protozoal intestinal diseases,Balantidiasis
0071,Other protozoal intestinal diseases,Giardiasis
0072,Other protozoal intestinal diseases,Coccidiosis
0079,Other protozoal intestinal diseases,Other and unspecified
0080,Enteritis due to other specified organism,Escherichia coli
0081,Enteritis due to other specified organism,Arizona
0082,Enteritis due to other specified organism,Other specified bacteria
0083,Enteritis due to other specified organism,"Bacterial enteritis, unspecified"
0088,Enteritis due to other specified organism,Enteritis due to specified virus
0089,Enteritis due to other specified organism,"Other organism, not elsewhere classified"
0090,Diarrhoeal disease,"Dysentery, unspecied"
0091,Diarrhoeal disease,Diarrhoea
0092,Diarrhoeal disease,Gastro-enteritis and colitis
0099,Diarrhoeal disease,Other
0100,Silicotuberculosis,Silicotuberculosis
0110,Pulmonary tuberculosis,Pulmonary tuberculosis
0120,Other respiratory tuberculosis,Primary tuberculous
0121,Other respiratory tuberculosis,Pleurisy specified as tuberculous
0122,Other respiratory tuberculosis,Pleurisy with effusion without mention of cause
0123,Other respiratory tuberculosis,Tuberculous laryngitis
0129,Other respiratory tuberculosis,Other
0130,Tuberculosis of meninges and central nervous system,Tuberculous meningitis
0139,Tuberculosis of meninges and central nervous system,Other
0140,"Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberculosis of intestines, peritoneum and mesenteric glands"
0150,Tuberculosis of bones and joints,Vertebral column
0151,Tuberculosis of bones and joints,Hip
0152,Tuberculosis of bones and joints,Knee
0158,Tuberculosis of bones and joints,Other
0159,Tuberculosis of bones and joints,Unspecified
0160,Tuberculosis of genito-urinary system,Tuberculosis of genito-urinary system
0170,Tuberculosis of other organs,Skin and subcutaneous cellular tissue
0171,Tuberculosis of other organs,Peripheral lymphatic glands
0172,Tuberculosis of other organs,Eye
0173,Tuberculosis of other organs,Ear
0179,Tuberculosis of other organs,Other forms of tuberculosis
0180,Disseminated tuberculosis,Acute miliary tuberculosis specified as non-pulmonary
0181,Disseminated tuberculosis,Acute miliary tuberculosis unspecified
0189,Disseminated tuberculosis,Other
0190,Late effects of tuberculosis,Late effects of respiratory tuberculosis
0191,Late effects of tuberculosis,Central nervous system
0192,Late effects of tuberculosis,Genito-urinary sytem
0193,Late effects of tuberculosis,Bones and joints
0199,Late effects of tuberculosis,Other specified organs
0200,Plague,Bubonic
0201,Plague,Pulmonic
0209,Plague,Unspecified
0210,Tularaemia,Tularaemia
0220,Anthrax,Anthrax
0230,Brucellosis,Brucella melitensis
0231,Brucellosis,Brucella abortus
0232,Brucellosis,Brucella suis
0239,Brucellosis,Unspecified
0240,Glanders,Glanders
0250,Melioidosis,Melioidosis
0260,Rat-bite fever,Spirillum minus
0261,Rat-bite fever,Streptobacillus moniliformis
0269,Rat-bite fever,Unspecified
0270,Other zoonotic bacterial diseases,Listeriosis
0271,Other zoonotic bacterial diseases,Erysipelothrix infection
0279,Other zoonotic bacterial diseases,Other
0300,Leprosy,Lepromatous (type L)
0301,Leprosy,Tuberculoid (type T)
0302,Leprosy,Indeterminate (group I)
0303,Leprosy,Borderline (group B)
0309,Leprosy,Other and unspecified
0310,Other diseases due to mycobacteria,Other diseases due to mycobacteria
0320,Diphtheria,Diphtheria
0330,Whooping cough,Bordetella pertussis (B. pertussis)
0331,Whooping cough,Bordetella parapertussis (B. parapertussis)
0339,Whooping cough,Other and unspecified
0340,Streptococcal sore throat and scarlet fever,Streptococcal sore throat
0341,Streptococcal sore throat and scarlet fever,Scarlet fever
0350,Erysipelas,Erysipelas
0360,Meningococcal infection,Meningococcal meningitis
0361,Meningococcal infection,Meningococcaemia without mention of meningitis
0368,Meningococcal infection,Other forms of meningococcal infection
0369,Meningococcal infection,Unspecified
0370,Tetanus,Tetanus
0380,Septicaemia,Streptococcal
0381,Septicaemia,Staphylococcal
0382,Septicaemia,Pneumococcal
0388,Septicaemia,Other bacterial
0389,Septicaemia,Unspecified
0390,Other bacterial diseases,Gas gangrene
0391,Other bacterial diseases,Rhinoscleroma
0399,Other bacterial diseases,Other bacterial diseases
0400,Acute paralytic poliomyelitis specified as bulbar,Acute paralytic poliomyelitis specified as bulbar
0410,Acute poliomyelitis with other paralysis,Acute poliomyelitis with other paralysis
0420,Acute non-paralytic poliomyelitis,Acute non-paralytic poliomyelitis
0430,"Acute poliomyelitis, unspecified","Acute poliomyelitis, unspecified"
0440,Late effects of acute poliomyelitis,Late effects of acute poliomyelitis
0450,Aseptic meningitis due to enterovirus,Coxsackie virus
0451,Aseptic meningitis due to enterovirus,ECHO virus
0459,Aseptic meningitis due to enterovirus,"Aseptic meningitis, unspecified"
0460,Other enterovirus diseases of central nervous system,Other enterovirus diseases of central nervous system
0500,Smallpox,Variola major
0501,Smallpox,Variola minor (alastrim)
0509,Smallpox,unspecified
0510,Cowpox,Cowpox
0520,Chickenpox,Chickenpox
0530,Herpes zoster,Herpes zoster
0540,Herpes simplex,Herpes simplex
0550,Measles,Measles
0560,Rubella,Rubella
0570,Other viral exanthem,Erythema infectiosum
0571,Other viral exanthem,Exanthema subitum
0578,Other viral exanthem,Other
0579,Other viral exanthem,Unspecified
0600,Yellow fever,Sylvatic
0601,Yellow fever,Urban
0609,Yellow fever,Unspecified
0610,Dengue,Dengue
0620,Mosquito-borne viral encephalitis,Japanese encephalitis
0621,Mosquito-borne viral encephalitis,Western equine encephalitis
0622,Mosquito-borne viral encephalitis,Eastern equine encephalitis
0623,Mosquito-borne viral encephalitis,St. Louis encephalitis
0624,Mosquito-borne viral encephalitis,Murray Valley encephalitis
0629,Mosquito-borne viral encephalitis,Other and unspecified
0630,Tick-borne viral encephalitis,Russian spring-summer (taiga) encephalitis
0631,Tick-borne viral encephalitis,Louping ill
0632,Tick-borne viral encephalitis,Central European encephalitis
0639,Tick-borne viral encephalitis,Other and unspecified
0640,Viral encephalitis transmitted by other arthropods,Viral encephalitis transmitted by other arthropods
0650,"Viral encephalitis, unspecified","Viral encephalitis, unspecified"
0660,Late effects of viral encephalitis,Late effects of viral encephalitis
0670,Arthropod-borne haemorrhagic fever,Crimean haemorrhagic fever (CHF congo virus)
0671,Arthropod-borne haemorrhagic fever,Omsk haemorrhagic fever
0672,Arthropod-borne haemorrhagic fever,Kyasanur Forest disease
0673,Arthropod-borne haemorrhagic fever,Other tick-borne haemorrhagic fever
0674,Arthropod-borne haemorrhagic fever,Mosquito-borne haemorrhagic fever
0675,Arthropod-borne haemorrhagic fever,Haemorrhagic nephroso-nephritis
0679,Arthropod-borne haemorrhagic fever,Other and unspecified
0680,Other arthropod-borne viral diseases,Phlebotomus fever
0681,Other arthropod-borne viral diseases,Tick-borne fever
0682,Other arthropod-borne viral diseases,Mosquito-borne fever
0689,Other arthropod-borne viral diseases,Other
0700,Infectious hepatitis,Infectious hepatitis
0710,Rabies,Rabies
0720,Mumps,Mumps
0730,Psittacosis,Psittacosis
0740,Specific diseases due to cocksackie virus,Herpangina
0741,Specific diseases due to cocksackie virus,Epidemic pleurodynia (Bornholm disease)
0742,Specific diseases due to cocksackie virus,Coxsackie myocarditis
0749,Specific diseases due to cocksackie virus,Other
0750,Infectious mononucleosis,Infectious mononucleosis
0760,"Trachoma, active","Trachoma, active"
0770,Late effects of trachoma,Late effects of trachoma
0780,Other viral diseases of the conjunctiva,Inclusion conjunctivitis
0781,Other viral diseases of the conjunctiva,Epidemic keratoconjunctivitis
0782,Other viral diseases of the conjunctiva,Acute adenoviral follicular conjunctivitis
0788,Other viral diseases of the conjunctiva,Other
0789,Other viral diseases of the conjunctiva,Unspecified
0790,Other viral diseases,Molluscum contagiosum
0791,Other viral diseases,Viral warts
0792,Other viral diseases,Lymphocytic choriomeningitis
0793,Other viral diseases,Cat-scratch disease
0794,Other viral diseases,Foot and mouth disease
0795,Other viral diseases,Cytomegalic inclusion disease
0798,Other viral diseases,Other
0799,Other viral diseases,Unspecified
0800,Epidemic louse-borne typhus,Epidemic louse-borne typhus
0810,Other typhus,Endemic flea-bourne typhus
0811,Other typhus,Brill's disease
0812,Other typhus,Mite-bourne
0819,Other typhus,Unspecified
0820,Tick-borne rickettsiosis,Spotted fevers
0821,Tick-borne rickettsiosis,Boutonneuse fever
0822,Tick-borne rickettsiosis,North Asian tick-bourne typhus fever
0829,Tick-borne rickettsiosis,Other
0830,Other rickettsioses,Rickettsial pox
0831,Other rickettsioses,Q-fever
0832,Other rickettsioses,Wolhynion fever (trench fever)
0838,Other rickettsioses,Other
0839,Other rickettsioses,Unspecified
0840,Malaria,Falciparum malaria (malignant tertian)
0841,Malaria,Vivax malaria (benign tertian)
0842,Malaria,Malariae malaria (quartan)
0843,Malaria,Ovale malaria
0844,Malaria,Blackwater fever
0845,Malaria,Recurrent induced malaria
0848,Malaria,Other
0849,Malaria,Unspecified forms
0850,Leishmaniasis,Visceral (kala-azar)
0851,Leishmaniasis,Cutaneous (oriental sore)
0852,Leishmaniasis,Mucocutaneous (American)
0859,Leishmaniasis,Unspecified
0860,American trypanosomiasis,With heart involvement
0868,American trypanosomiasis,With other organ involvement
0869,American trypanosomiasis,Without mention of organ involvement
0870,Other trypanosomiasis,Gambian
0871,Other trypanosomiasis,Rhodesian
0878,Other trypanosomiasis,"African trypanosomiasis, unspecified"
0879,Other trypanosomiasis,Unspecified
0880,Relapsing fever,Louse-borne
0881,Relapsing fever,Tick borne
0889,Relapsing fever,Unspecified
0890,Other arthropod-borne diseases,Bartonellosis
0899,Other arthropod-borne diseases,Other
0900,Congenital syphilis,"Early congenital syphilis, symptomatic"
0901,Congenital syphilis,"Early congenital syphilis, latent"
0902,Congenital syphilis,"Early congenital syphilis, unspecified"
0903,Congenital syphilis,Syphilitic interstitial keratitis
0904,Congenital syphilis,Juvenile neurosyphilis
0905,Congenital syphilis,"Other late congenital syphilis, symptomatic"
0906,Congenital syphilis,"Late congenital syphilis, latent"
0907,Congenital syphilis,"Late congenital syphilis, unspecified"
0909,Congenital syphilis,"Congenital syphilis, unspecified"
0910,"Early syphilis, symptomatic","Primary syphilis, except extragenital chancre"
0911,"Early syphilis, symptomatic",Extragenital chancre
0912,"Early syphilis, symptomatic",Secondary syphilis of skin or mucous membranes
0913,"Early syphilis, symptomatic","Secondary syphilis, relapse (treated, untreated)"
0918,"Early syphilis, symptomatic","Other recently acquired syphilis, symptomatic"
0919,"Early syphilis, symptomatic","Early syphilis, unspecified"
0920,"Early syphilis, latent","Early syphilis, latent, serological relapse after treatment"
0929,"Early syphilis, latent","Early syphilis, latent, unspecified"
0930,Cardiovascular syphilis,"Aneurysm of aorta, specified as syphilitic"
0939,Cardiovascular syphilis,Other cardiovascular syphilis
0940,Syphilis of central nervous system,Tabes dorsalis
0941,Syphilis of central nervous system,General paresis
0949,Syphilis of central nervous system,Other
0950,"Other forms of late syphilis, with symptoms","Other forms of late syphilis, with symptoms"
0960,"Late syphilis, latent","Late syphilis, latent"
0970,Other syphilis and not specified,"Late syphilis, unspecified"
0971,Other syphilis and not specified,"Latent syphilis, unspecified"
0979,Other syphilis and not specified,"Syphilis, unspecified"
0980,Gonococcal infections,"Acute, of genito-urinary tract"
0981,Gonococcal infections,"Chronic, of genito-urinary tract"
0982,Gonococcal infections,Of eye
0983,Gonococcal infections,Of joint
0988,Gonococcal infections,Of other sites
0989,Gonococcal infections,Site unspecified
0990,Other venereal disease,Chancroid
0991,Other venereal disease,Lymphogranuloma venereum
0992,Other venereal disease,Granuloma inguinale
0999,Other venereal disease,Other and unspecified
1000,Leptospirosis,Leptospirosis icterohaemorrhagica
1008,Leptospirosis,Other
1009,Leptospirosis,Unspecified
1010,Vincent's angina,Vincent's angina
1020,Yaws,Initial lesions
1021,Yaws,"Multiple papillomata and ""wet crab"" yaws"
1022,Yaws,Other early skin lesions
1023,Yaws,Hyperkeratosis
1024,Yaws,"Gummata, ulcers"
1025,Yaws,Gangosa
1026,Yaws,Bone and joint lesions
1027,Yaws,Other manifestations
1028,Yaws,Latent yaws
1029,Yaws,"Yaws, unspecified"
1030,Pinta,Primary lesions
1031,Pinta,Intermediate lesions
1032,Pinta,Late lesions
1033,Pinta,Mixed lesions
1039,Pinta,Unspecified
1040,Other spirochaetal infection,Nonvenereal endemic syphilis
1049,Other spirochaetal infection,Other
1100,Dermatophytosis,Dermatophytosis
1110,"Dermatomycosis, other and unspecified",Pityriasis versicolor
1111,"Dermatomycosis, other and unspecified",Tinea nigra
1112,"Dermatomycosis, other and unspecified",Tinea blanca
1118,"Dermatomycosis, other and unspecified",Other
1119,"Dermatomycosis, other and unspecified",Unspecified
1120,Moniliasis,Moniliasis
1130,Actinomycosis,Actinomycosis
1140,Coccidioidomycosis,Coccidioidomycosis
5197,Other diseases of respiratory system,Chronic obstructive or non-specific lung or pulmonary disease
5198,Other diseases of respiratory system,Chronic obstructive airways disease
4120,Chronic ischaemic heart disease,Chronic ischaemic heart disease
4432,Other peripheral vascular disease,Chilblains
1150,Histoplasmosis,Histoplasmosis
1160,Blastomycosis,European
1161,Blastomycosis,North American
1162,Blastomycosis,South America
1169,Blastomycosis,Other and unspecified
1170,Other systemic mycosis,Rhinosporidiosis
1171,Other systemic mycosis,Sporotrichosis
1172,Other systemic mycosis,Chromomycosis
1173,Other systemic mycosis,Aspergillosis
1174,Other systemic mycosis,Maduromycosis
1178,Other systemic mycosis,Other
1179,Other systemic mycosis,Unspecified
1200,Schistosomiasis (bilharziasis),Schistosoma haematobium
1201,Schistosomiasis (bilharziasis),Schistosoma mansoni
1202,Schistosomiasis (bilharziasis),Schistosoma japonicum
1203,Schistosomiasis (bilharziasis),Cutaneous
1208,Schistosomiasis (bilharziasis),Other
1209,Schistosomiasis (bilharziasis),Unspecified
1210,Other trematode infection,Opisthorchiasis
1211,Other trematode infection,Clonorchiasis
1212,Other trematode infection,Paragonimiasis
1213,Other trematode infection,Fascioliasis
1214,Other trematode infection,Fasciolopsiasis
1219,Other trematode infection,Other and unspecified
1220,Hydatidosis,Liver
1221,Hydatidosis,Lung
1228,Hydatidosis,Other sites
1229,Hydatidosis,Unspecified
1230,Other cestode infection,"Taenia solium infection, intestinal form"
1231,Other cestode infection,Cysticercosis
1232,Other cestode infection,Taenia saginata infection
1233,Other cestode infection,"Taeniasis, unspecified"
1234,Other cestode infection,"Diphyllobothriasis, intestinal"
1235,Other cestode infection,Sparganosis (larval diphyllobothriasis)
1236,Other cestode infection,Hymenolepiasis
1239,Other cestode infection,Other and unspecified
1240,Trichiniasis,Trichiniasis
1250,Filarial infection,Wuchereriasis
1251,Filarial infection,Brugia filariasis
1252,Filarial infection,Loiasis
1253,Filarial infection,Onchocercosis
1254,Filarial infection,Acanthocheilonemiasis
1255,Filarial infection,Mansonellosis
1258,Filarial infection,Other
1259,Filarial infection,Unspecified
1260,Ancylostomiasis,Ancylostoma duodenale
1261,Ancylostomiasis,Necator americanus
1268,Ancylostomiasis,Other ancylostoma
1269,Ancylostomiasis,Unspecified
1270,Other intestinal helminthiasis,Ascariasis
1271,Other intestinal helminthiasis,Strongyloidiasis
1272,Other intestinal helminthiasis,Trichuriasis
1273,Other intestinal helminthiasis,Enterobiasis
1274,Other intestinal helminthiasis,Other intestinal nematode infection
1275,Other intestinal helminthiasis,Mixed intestinal helminthiasis
1279,Other intestinal helminthiasis,"Intestinal helminthiasis, unspecified"
1280,Other and unspecified helminthiasis,"Larva migrans, visceralis"
1288,Other and unspecified helminthiasis,Other
1289,Other and unspecified helminthiasis,Unspecified
1290,"Intestinal parasitism, unspecified","Intestinal parasitism, unspecified"
1300,Toxoplasmosis,Acquired
1301,Toxoplasmosis,Congenital active
1302,Toxoplasmosis,Late effects of intra-uterine infection
1309,Toxoplasmosis,Unspecified
1310,Trichomoniasis urogenitalis,Trichomoniasis urogenitalis
1320,Pediculosis,Pediculosis
1330,Acariasis,Scabies
1339,Acariasis,Other
1340,Other infestation,Myiasis
1341,Other infestation,Phthirus infestation
1342,Other infestation,Other arthropod infestation
1343,Other infestation,Hirudiniasis
1349,Other infestation,Other and unspecified
1350,Sarcoidosis,Sarcoidosis
1360,Other and unspecified infective and parasitic diseases,Other and unspecified infective and parasitic diseases
1400,Malignant neoplasm of lip,Upper lip
1401,Malignant neoplasm of lip,Lower lip
1402,Malignant neoplasm of lip,Both lips
1409,Malignant neoplasm of lip,"Lip, unspecified"
1410,Malignant neoplasm of tongue,Base of tongue
1411,Malignant neoplasm of tongue,Dorsal surface of tongue
1412,Malignant neoplasm of tongue,Borders and tip of tongue
1413,Malignant neoplasm of tongue,Ventral surface of tongue
1418,Malignant neoplasm of tongue,"Tongue, other specified parts"
1419,Malignant neoplasm of tongue,"Tongue, unspecified"
1420,Malignant neoplasm of salivary glands,Parotid gland
1428,Malignant neoplasm of salivary glands,Other specified salivary gland
1429,Malignant neoplasm of salivary glands,Unspecified salivary gland
1430,Malignant neoplasm of gum,Upper gum
1431,Malignant neoplasm of gum,Lower gum
1439,Malignant neoplasm of gum,Gum unspecified
1440,Malignant neoplasm of floor of mouth,Malignant neoplasm of floor of mouth
1450,Malignant neoplasm of other and unspecified parts of mouth,Buccal mucosa
1451,Malignant neoplasm of other and unspecified parts of mouth,Palate(hard) (soft)
1458,Malignant neoplasm of other and unspecified parts of mouth,Other specified parts
1459,Malignant neoplasm of other and unspecified parts of mouth,Part unspecified
1460,Malignant neoplasm of oropharynx,Tonsils
1468,Malignant neoplasm of oropharynx,Other specified parts
1469,Malignant neoplasm of oropharynx,Part unspecified
1470,Malignant neoplasm of nasopharynx,Malignant neoplasm of nasopharynx
1480,Malignant neoplasm of hypopharynx,Postcricoid region
1481,Malignant neoplasm of hypopharynx,Pyriform fossa
1488,Malignant neoplasm of hypopharynx,Other specified parts
1489,Malignant neoplasm of hypopharynx,Part unspecified
1490,"Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified"
1500,Malignant neoplasm of oesophagus,Malignant neoplasm of oesophagus
1510,Malignant neoplasm of stomach,Cardia
1511,Malignant neoplasm of stomach,Pylorus
1518,Malignant neoplasm of stomach,Other specified parts
1519,Malignant neoplasm of stomach,Part unspecified
1520,"Malignant neoplasm of small intestine, including duodenum",Duodenum
1528,"Malignant neoplasm of small intestine, including duodenum",Other specified parts
1529,"Malignant neoplasm of small intestine, including duodenum",Part unspecified
1530,"Malignant neoplasm of large intestine, except rectum","Caecum, appendix and ascending colon"
1531,"Malignant neoplasm of large intestine, except rectum","Transverse colon, including hepatic and splenic flexures"
1532,"Malignant neoplasm of large intestine, except rectum",Descending colon
1533,"Malignant neoplasm of large intestine, except rectum",Sigmoid colon
1537,"Malignant neoplasm of large intestine, except rectum","Large intestine, multiple parts"
1538,"Malignant neoplasm of large intestine, except rectum","Large intestine (including colon), part unspecified"
1539,"Malignant neoplasm of large intestine, except rectum","Intestinal tract, part unspecified"
1540,Malignant neoplasm of rectum and rectosigmoid junction,Rectosigmoid junction
1541,Malignant neoplasm of rectum and rectosigmoid junction,Rectum
1542,Malignant neoplasm of rectum and rectosigmoid junction,Anal canal
1550,Malignant neoplasm of liver and intrahepatic bile ducts specified as primary,Liver
1551,Malignant neoplasm of liver and intrahepatic bile ducts specified as primary,Intrahepatic bile ducts
1560,Malignant neoplasm of gallbladder and bile ducts,Gallbladder
1561,Malignant neoplasm of gallbladder and bile ducts,Extrahepatic bile ducts
1562,Malignant neoplasm of gallbladder and bile ducts,Ampulla of vater
1569,Malignant neoplasm of gallbladder and bile ducts,"Biliary tract, unspecified"
1570,Malignant neoplasm of pancreas,Head
1578,Malignant neoplasm of pancreas,Other specified parts
1579,Malignant neoplasm of pancreas,Unspecified
1580,Malignant neoplasm of retroperitoneum and peritoneum,Retroperitoneal tissue
1589,Malignant neoplasm of retroperitoneum and peritoneum,Other parts
1590,Malignant neoplasm of unspecified digestive organs,Malignant neoplasm of unspecified digestive organs
1600,"Malignant neoplasm of nose, nasal cavities, middle ear and accessory sinuses",Nose (internal) and nasal cavities
1601,"Malignant neoplasm of nose, nasal cavities, middle ear and accessory sinuses",Eustachian tube and middle ear
1602,"Malignant neoplasm of nose, nasal cavities, middle ear and accessory sinuses",Maxillary sinus
1608,"Malignant neoplasm of nose, nasal cavities, middle ear and accessory sinuses",Other sinus
1609,"Malignant neoplasm of nose, nasal cavities, middle ear and accessory sinuses",Unspecified sinus
1610,Malignant neoplasm of larynx,"Glottis, true vocal cord"
1618,Malignant neoplasm of larynx,Other specified parts
1619,Malignant neoplasm of larynx,Part unspecified
1620,"Malignant neoplasm of trachea, bronchus and lung",Trachea
1621,"Malignant neoplasm of trachea, bronchus and lung",Bronchus and lung
1630,Malignant neoplasm  of other and unspecified respiratory organs,Pleura
1631,Malignant neoplasm  of other and unspecified respiratory organs,Mediastinum
1639,Malignant neoplasm  of other and unspecified respiratory organs,Site unspecified
1700,Malignant neoplasm of bone,Bones of skull and face
1701,Malignant neoplasm of bone,Lower jaw bone
1702,Malignant neoplasm of bone,Vertebral column (excluding sacrum and coccyx)
1703,Malignant neoplasm of bone,"Ribs, sternum and clavicle"
1704,Malignant neoplasm of bone,Long bones of upper limb and scapula
1705,Malignant neoplasm of bone,"Upper limb, short bones"
1706,Malignant neoplasm of bone,"Pelvic bones, sacrum and coccyx"
1707,Malignant neoplasm of bone,"Lower limb, long bones"
1708,Malignant neoplasm of bone,"Lower limb, short bones"
1709,Malignant neoplasm of bone,Site unspecified
1710,Malignant neoplasm of connective and other soft tissue,"Head, face and neck"
1711,Malignant neoplasm of connective and other soft tissue,Trunk
1712,Malignant neoplasm of connective and other soft tissue,Upper limb (including shoulder)
1713,Malignant neoplasm of connective and other soft tissue,Lower limb (including hip)
1719,Malignant neoplasm of connective and other soft tissue,Site unspecified
1720,Malignant melanoma of skin,Malignant melanoma of lips
1721,Malignant melanoma of skin,Malignant melanoma of eyelids including canthi
1722,Malignant melanoma of skin,Malignant melanoma of ear and external auricular canal
1723,Malignant melanoma of skin,Malignant melanoma of face other and unspecified parts
1724,Malignant melanoma of skin,Scalp and neck
1725,Malignant melanoma of skin,Scrotum
1726,Malignant melanoma of skin,"Trunk, except scrotum"
1727,Malignant melanoma of skin,Upper limb
1728,Malignant melanoma of skin,Lower limb
1729,Malignant melanoma of skin,Site unspecified
1730,Other malignant neoplasm of skin,Other malignant neoplasm of lips
1731,Other malignant neoplasm of skin,"Other malignant neoplasm of eyelids, including canthi"
1732,Other malignant neoplasm of skin,Ear and external auricular canal
1733,Other malignant neoplasm of skin,Other malignant neoplasm of face part not specified
1734,Other malignant neoplasm of skin,Scalp and neck
1735,Other malignant neoplasm of skin,Scrotum
1736,Other malignant neoplasm of skin,"Trunk,except scrotum"
1737,Other malignant neoplasm of skin,Skin of upper limb
1738,Other malignant neoplasm of skin,Skin of lower limb
1739,Other malignant neoplasm of skin,"Other malignant neoplasm of skin, site unspecified"
1740,Malignant neoplasm of breast,Malignant neoplasm of breast
1800,Malignant neoplasm of cervix uteri,Malignant neoplasm of cervix uteri
1810,Chorionepithelioma,Chorionepithelioma
1820,Other malignant neoplasm of uterus,Corpus uteri
1829,Other malignant neoplasm of uterus,"Uterus, unspecified"
1830,"Malignant neoplasm of ovary, fallopian tube, and broad ligament",Ovary
1831,"Malignant neoplasm of ovary, fallopian tube, and broad ligament",Fallopian tube and broad ligament
1839,"Malignant neoplasm of ovary, fallopian tube, and broad ligament",Part unspecified
1840,Malignant neoplasm of other and unspecified female genital organs,Vagina
1841,Malignant neoplasm of other and unspecified female genital organs,Vulva
1848,Malignant neoplasm of other and unspecified female genital organs,Other specified sites
1849,Malignant neoplasm of other and unspecified female genital organs,Site unspecified
1850,Malignant neoplasm of prostate,Prostate
1860,Malignant neoplasm of testis,Testis
1870,Malignant neoplasm of other and unspecified male genital organs,Penis
1878,Malignant neoplasm of other and unspecified male genital organs,Other specified sites
1879,Malignant neoplasm of other and unspecified male genital organs,Site unspecified
1880,Malignant neoplasm of bladder,Malignant neoplasm of bladder
1890,Malignant neoplasm of other and unspecified urinary organs,"Kidney, except pelvis"
1891,Malignant neoplasm of other and unspecified urinary organs,Pelvis of kidney
1892,Malignant neoplasm of other and unspecified urinary organs,Ureter
1899,Malignant neoplasm of other and unspecified urinary organs,Other and unspecified
1900,Malignant neoplasm of eye,Malignant neoplasm of eye
1910,Malignant neoplasm of brain,Malignant neoplasm of brain
1920,Malignant neoplasm of other and unspecified parts of nervous system,Cranial nerves (including optic)
1921,Malignant neoplasm of other and unspecified parts of nervous system,Cerebral meninges
1922,Malignant neoplasm of other and unspecified parts of nervous system,Spinal cord
1923,Malignant neoplasm of other and unspecified parts of nervous system,Spinal meninges
1924,Malignant neoplasm of other and unspecified parts of nervous system,Peripheral nerves
1925,Malignant neoplasm of other and unspecified parts of nervous system,Sympathetic nervous system
1929,Malignant neoplasm of other and unspecified parts of nervous system,Site unspecified
1930,Malignant neoplasm of thyroid gland,Malignant neoplasm of thyroid gland
1940,Malignant neoplasm of other endocrine glands,Suprarenal gland
1941,Malignant neoplasm of other endocrine glands,Parathyroid gland
1942,Malignant neoplasm of other endocrine glands,Thymus
1943,Malignant neoplasm of other endocrine glands,Pituitary gland and craniopharyngeal duct
1944,Malignant neoplasm of other endocrine glands,Pineal gland
1948,Malignant neoplasm of other endocrine glands,Other specified glands
1949,Malignant neoplasm of other endocrine glands,Unspecified endocrine gland
1950,Malignant neoplasm of ill-defined sites,"Abdomen, intra-abdominal cancer"
1951,Malignant neoplasm of ill-defined sites,"Pelvis, pelvic viscera, rectovaginal septum"
1959,Malignant neoplasm of ill-defined sites,Other
1960,Secondary and unspecified malignant neoplasm of lymph nodes,"Head, face and neck"
1961,Secondary and unspecified malignant neoplasm of lymph nodes,Intrathoracic
1962,Secondary and unspecified malignant neoplasm of lymph nodes,Intra-abdominal
1963,Secondary and unspecified malignant neoplasm of lymph nodes,Axillary and upper limb
1964,Secondary and unspecified malignant neoplasm of lymph nodes,Inguinal and lower limb
1967,Secondary and unspecified malignant neoplasm of lymph nodes,Other specified sites
1968,Secondary and unspecified malignant neoplasm of lymph nodes,Secondary lymph nodes of multiple sites
1969,Secondary and unspecified malignant neoplasm of lymph nodes,Site unspecified
1970,Secondary malignant neoplasm of respiratory and digestive systems,"Lung, specified as secondary"
1971,Secondary malignant neoplasm of respiratory and digestive systems,"Mediastinum, specified as secondary"
1972,Secondary malignant neoplasm of respiratory and digestive systems,"Pleura, specified as secondary"
1973,Secondary malignant neoplasm of respiratory and digestive systems,"Other respiratory organs, specified as secondary"
1974,Secondary malignant neoplasm of respiratory and digestive systems,"Small intestine, including duodenum, specified as secondary"
1975,Secondary malignant neoplasm of respiratory and digestive systems,"Large intestine and rectum, specified as secondary"
1976,Secondary malignant neoplasm of respiratory and digestive systems,"Peritoneum, specified as secondary"
1977,Secondary malignant neoplasm of respiratory and digestive systems,"Liver, specified as secondary"
