date_period,measure,cdid,value,unit,source_dataset
1862.0,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023
1862.0,Total Central Government spending1,ANLP + ANNS + NSRN,72.0,50,PublicFinances1800-2023
1862.0,Unit,Source dataset ID,1862.0,1800,PublicFinances1800-2023
1862.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1862.0,Years,Years,,1800-01,PublicFinances1800-2023
1862.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1862.0,o/w pensioners,,,-,PublicFinances1800-2023
1863.0,Business rates,CUKY,,-,PublicFinances1800-2023
1863.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1863.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1863.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1863.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1863.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023
1863.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1863.0,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023
1863.0,Defence5,,27.0,32,PublicFinances1800-2023
1863.0,Education8,,,-,PublicFinances1800-2023
1863.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1863.0,Gas Levy3,,,-,PublicFinances1800-2023
1863.0,Health6,,,-,PublicFinances1800-2023
1863.0,Income tax1,LIBR-MS62,9.0,5,PublicFinances1800-2023
1863.0,"Index, base year = 100",MM23,9.0,13.5,PublicFinances1800-2023
1863.0,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023
1863.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1863.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1863.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1863.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1000.0,393,PublicFinances1800-2023
1863.0,Nominal GDP (£m)3,Nominal GDP (£m)3,976.0,355,PublicFinances1800-2023
1863.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1863.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1863.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1863.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1863.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1863.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1863.0,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023
1863.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023
1863.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,817.0,508,PublicFinances1800-2023
1863.0,Social Security7,,,-,PublicFinances1800-2023
1863.0,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023
1863.0,Total Central Government spending1,ANLP + ANNS + NSRN,70.0,50,PublicFinances1800-2023
1863.0,Unit,Source dataset ID,1863.0,1800,PublicFinances1800-2023
1863.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1863.0,Years,Years,,1800-01,PublicFinances1800-2023
1863.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1863.0,o/w pensioners,,,-,PublicFinances1800-2023
1864.0,Business rates,CUKY,,-,PublicFinances1800-2023
1864.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1864.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1864.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1864.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1864.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023
1864.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1864.0,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023
1864.0,Defence5,,26.0,32,PublicFinances1800-2023
1864.0,Education8,,,-,PublicFinances1800-2023
1864.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1864.0,Gas Levy3,,,-,PublicFinances1800-2023
1864.0,Health6,,,-,PublicFinances1800-2023
1864.0,Income tax1,LIBR-MS62,8.0,5,PublicFinances1800-2023
1864.0,"Index, base year = 100",MM23,8.9,13.5,PublicFinances1800-2023
1864.0,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023
1864.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1864.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1864.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1864.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1024.0,393,PublicFinances1800-2023
1864.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1016.0,355,PublicFinances1800-2023
1864.0,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023
1864.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1864.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1864.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1864.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1864.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1864.0,Public sector gross investment4,JW2Z + JW2S,6.0,-,PublicFinances1800-2023
1864.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",-1.0,21,PublicFinances1800-2023
1864.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,812.0,508,PublicFinances1800-2023
1864.0,Social Security7,,,-,PublicFinances1800-2023
1864.0,Stamp duties,GTBC,10.0,3,PublicFinances1800-2023
1864.0,Total Central Government spending1,ANLP + ANNS + NSRN,68.0,50,PublicFinances1800-2023
1864.0,Unit,Source dataset ID,1864.0,1800,PublicFinances1800-2023
1864.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1864.0,Years,Years,,1800-01,PublicFinances1800-2023
1864.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1864.0,o/w pensioners,,,-,PublicFinances1800-2023
1865.0,Business rates,CUKY,,-,PublicFinances1800-2023
1865.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1865.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1865.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1865.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1865.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023
1865.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1865.0,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023
1865.0,Defence5,,25.0,32,PublicFinances1800-2023
1865.0,Education8,,,-,PublicFinances1800-2023
1865.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1865.0,Gas Levy3,,,-,PublicFinances1800-2023
1865.0,Health6,,,-,PublicFinances1800-2023
1865.0,Income tax1,LIBR-MS62,6.0,5,PublicFinances1800-2023
1865.0,"Index, base year = 100",MM23,9.0,13.5,PublicFinances1800-2023
1865.0,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023
1865.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1865.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1865.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1865.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1053.0,393,PublicFinances1800-2023
1865.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1037.0,355,PublicFinances1800-2023
1865.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1865.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1865.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1865.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1865.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1865.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1865.0,Public sector gross investment4,JW2Z + JW2S,7.0,-,PublicFinances1800-2023
1865.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023
1865.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,805.0,508,PublicFinances1800-2023
1865.0,Social Security7,,,-,PublicFinances1800-2023
1865.0,Stamp duties,GTBC,10.0,3,PublicFinances1800-2023
1865.0,Total Central Government spending1,ANLP + ANNS + NSRN,67.0,50,PublicFinances1800-2023
1865.0,Unit,Source dataset ID,1865.0,1800,PublicFinances1800-2023
1865.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1865.0,Years,Years,,1800-01,PublicFinances1800-2023
1865.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1865.0,o/w pensioners,,,-,PublicFinances1800-2023
1866.0,Business rates,CUKY,,-,PublicFinances1800-2023
1866.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1866.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1866.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1866.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1866.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023
1866.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1866.0,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023
1866.0,Defence5,,26.0,32,PublicFinances1800-2023
1866.0,Education8,,,-,PublicFinances1800-2023
1866.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1866.0,Gas Levy3,,,-,PublicFinances1800-2023
1866.0,Health6,,,-,PublicFinances1800-2023
1866.0,Income tax1,LIBR-MS62,6.0,5,PublicFinances1800-2023
1866.0,"Index, base year = 100",MM23,9.5,13.5,PublicFinances1800-2023
1866.0,Land and Assessed Taxes,,4.0,5,PublicFinances1800-2023
1866.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1866.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1866.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1866.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1056.0,393,PublicFinances1800-2023
1866.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1059.0,355,PublicFinances1800-2023
1866.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1866.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1866.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1866.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1866.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1866.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1866.0,Public sector gross investment4,JW2Z + JW2S,7.0,-,PublicFinances1800-2023
1866.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023
1866.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,801.0,508,PublicFinances1800-2023
1866.0,Social Security7,,,-,PublicFinances1800-2023
1866.0,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023
1866.0,Total Central Government spending1,ANLP + ANNS + NSRN,67.0,50,PublicFinances1800-2023
1866.0,Unit,Source dataset ID,1866.0,1800,PublicFinances1800-2023
1866.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1866.0,Years,Years,,1800-01,PublicFinances1800-2023
1866.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1866.0,o/w pensioners,,,-,PublicFinances1800-2023
1867.0,Business rates,CUKY,,-,PublicFinances1800-2023
1867.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1867.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1867.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1867.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1867.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023
1867.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1867.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1867.0,Defence5,,27.0,32,PublicFinances1800-2023
1867.0,Education8,,,-,PublicFinances1800-2023
1867.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1867.0,Gas Levy3,,,-,PublicFinances1800-2023
1867.0,Health6,,,-,PublicFinances1800-2023
1867.0,Income tax1,LIBR-MS62,6.0,5,PublicFinances1800-2023
1867.0,"Index, base year = 100",MM23,10.1,13.5,PublicFinances1800-2023
1867.0,Land and Assessed Taxes,,4.0,5,PublicFinances1800-2023
1867.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1867.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1867.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1867.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1061.0,393,PublicFinances1800-2023
1867.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1056.0,355,PublicFinances1800-2023
1867.0,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023
1867.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1867.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1867.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1867.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1867.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1867.0,Public sector gross investment4,JW2Z + JW2S,6.0,-,PublicFinances1800-2023
1867.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",3.0,21,PublicFinances1800-2023
1867.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,798.0,508,PublicFinances1800-2023
1867.0,Social Security7,,,-,PublicFinances1800-2023
1867.0,Stamp duties,GTBC,10.0,3,PublicFinances1800-2023
1867.0,Total Central Government spending1,ANLP + ANNS + NSRN,77.0,50,PublicFinances1800-2023
1867.0,Unit,Source dataset ID,1867.0,1800,PublicFinances1800-2023
1867.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1867.0,Years,Years,,1800-01,PublicFinances1800-2023
1867.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1867.0,o/w pensioners,,,-,PublicFinances1800-2023
1868.0,Business rates,CUKY,,-,PublicFinances1800-2023
1868.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1868.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1868.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1868.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1868.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,42.0,18,PublicFinances1800-2023
1868.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1868.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1868.0,Defence5,,26.0,32,PublicFinances1800-2023
1868.0,Education8,,,-,PublicFinances1800-2023
1868.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1868.0,Gas Levy3,,,-,PublicFinances1800-2023
1868.0,Health6,,,-,PublicFinances1800-2023
1868.0,Income tax1,LIBR-MS62,9.0,5,PublicFinances1800-2023
1868.0,"Index, base year = 100",MM23,10.0,13.5,PublicFinances1800-2023
1868.0,Land and Assessed Taxes,,4.0,5,PublicFinances1800-2023
1868.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1868.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1868.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1868.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1082.0,393,PublicFinances1800-2023
1868.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1070.0,355,PublicFinances1800-2023
1868.0,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023
1868.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1868.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1868.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1868.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1868.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1868.0,Public sector gross investment4,JW2Z + JW2S,6.0,-,PublicFinances1800-2023
1868.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",2.0,21,PublicFinances1800-2023
1868.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,797.0,508,PublicFinances1800-2023
1868.0,Social Security7,,,-,PublicFinances1800-2023
1868.0,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023
1868.0,Total Central Government spending1,ANLP + ANNS + NSRN,106.0,50,PublicFinances1800-2023
1868.0,Unit,Source dataset ID,1868.0,1800,PublicFinances1800-2023
1868.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1868.0,Years,Years,,1800-01,PublicFinances1800-2023
1868.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1868.0,o/w pensioners,,,-,PublicFinances1800-2023
1869.0,Business rates,CUKY,,-,PublicFinances1800-2023
1869.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1869.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1869.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1869.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1869.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,44.0,18,PublicFinances1800-2023
1869.0,Death duties/Inheritance tax,ACCH,5.0,-,PublicFinances1800-2023
1869.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1869.0,Defence5,,22.0,32,PublicFinances1800-2023
1869.0,Education8,,,-,PublicFinances1800-2023
1869.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1869.0,Gas Levy3,,,-,PublicFinances1800-2023
1869.0,Health6,,,-,PublicFinances1800-2023
1869.0,Income tax1,LIBR-MS62,10.0,5,PublicFinances1800-2023
1869.0,"Index, base year = 100",MM23,9.5,13.5,PublicFinances1800-2023
1869.0,Land and Assessed Taxes,,5.0,5,PublicFinances1800-2023
1869.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1869.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1869.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1869.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1142.0,393,PublicFinances1800-2023
1869.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1106.0,355,PublicFinances1800-2023
1869.0,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023
1869.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1869.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1869.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1869.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1869.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1869.0,Public sector gross investment4,JW2Z + JW2S,6.0,-,PublicFinances1800-2023
1869.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",-3.0,21,PublicFinances1800-2023
1869.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,793.0,508,PublicFinances1800-2023
1869.0,Social Security7,,,-,PublicFinances1800-2023
1869.0,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023
1869.0,Total Central Government spending1,ANLP + ANNS + NSRN,105.0,50,PublicFinances1800-2023
1869.0,Unit,Source dataset ID,1869.0,1800,PublicFinances1800-2023
1869.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1869.0,Years,Years,,1800-01,PublicFinances1800-2023
1869.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1869.0,o/w pensioners,,,-,PublicFinances1800-2023
1870.0,Business rates,CUKY,,-,PublicFinances1800-2023
1870.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1870.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1870.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1870.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1870.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023
1870.0,Death duties/Inheritance tax,ACCH,5.0,-,PublicFinances1800-2023
1870.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1870.0,Defence5,,22.0,32,PublicFinances1800-2023
1870.0,Education8,,,-,PublicFinances1800-2023
1870.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1870.0,Gas Levy3,,,-,PublicFinances1800-2023
1870.0,Health6,,,-,PublicFinances1800-2023
1870.0,Income tax1,LIBR-MS62,6.0,5,PublicFinances1800-2023
1870.0,"Index, base year = 100",MM23,9.5,13.5,PublicFinances1800-2023
1870.0,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023
1870.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1870.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1870.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1870.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1222.0,393,PublicFinances1800-2023
1870.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1181.0,355,PublicFinances1800-2023
1870.0,Other Central Government Receipts6,Residual,8.0,3,PublicFinances1800-2023
1870.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1870.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1870.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1870.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1870.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1870.0,Public sector gross investment4,JW2Z + JW2S,7.0,-,PublicFinances1800-2023
1870.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",-2.0,21,PublicFinances1800-2023
1870.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,788.0,508,PublicFinances1800-2023
1870.0,Social Security7,,,-,PublicFinances1800-2023
1870.0,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023
1870.0,Total Central Government spending1,ANLP + ANNS + NSRN,98.0,50,PublicFinances1800-2023
1870.0,Unit,Source dataset ID,1870.0,1800,PublicFinances1800-2023
1870.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1870.0,Years,Years,,1800-01,PublicFinances1800-2023
1870.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1870.0,o/w pensioners,,,-,PublicFinances1800-2023
1871.0,Business rates,CUKY,,-,PublicFinances1800-2023
1871.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1871.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1871.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1871.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1871.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023
1871.0,Death duties/Inheritance tax,ACCH,5.0,-,PublicFinances1800-2023
1871.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1871.0,Defence5,,23.0,32,PublicFinances1800-2023
1871.0,Education8,,,-,PublicFinances1800-2023
1871.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1871.0,Gas Levy3,,,-,PublicFinances1800-2023
1871.0,Health6,,,-,PublicFinances1800-2023
1871.0,Income tax1,LIBR-MS62,9.0,5,PublicFinances1800-2023
1871.0,"Index, base year = 100",MM23,9.6,13.5,PublicFinances1800-2023
1871.0,Land and Assessed Taxes,,2.0,5,PublicFinances1800-2023
1871.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1871.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1871.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1871.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1295.0,393,PublicFinances1800-2023
1871.0,Nominal GDP (£m)3,Nominal GDP (£m)3,1260.0,355,PublicFinances1800-2023
1871.0,Other Central Government Receipts6,Residual,10.0,3,PublicFinances1800-2023
1871.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1871.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1871.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1871.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1871.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1871.0,Public sector gross investment4,JW2Z + JW2S,7.0,-,PublicFinances1800-2023
1871.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",-3.0,21,PublicFinances1800-2023
1871.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,784.0,508,PublicFinances1800-2023
1871.0,Social Security7,,,-,PublicFinances1800-2023
1871.0,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023
1871.0,Total Central Government spending1,ANLP + ANNS + NSRN,102.0,50,PublicFinances1800-2023
1871.0,Unit,Source dataset ID,1871.0,1800,PublicFinances1800-2023
1871.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1871.0,Years,Years,,1800-01,PublicFinances1800-2023
1871.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1871.0,o/w pensioners,,,-,PublicFinances1800-2023
1872.0,Business rates,CUKY,,-,PublicFinances1800-2023
1872.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1872.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1872.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1872.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1872.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,47.0,18,PublicFinances1800-2023
1872.0,Death duties/Inheritance tax,ACCH,5.0,-,PublicFinances1800-2023
1872.0,Debt Interest9,NMFX,27.0,14,PublicFinances1800-2023
1872.0,Defence5,,23.0,32,PublicFinances1800-2023
1872.0,Education8,,,-,PublicFinances1800-2023
1872.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1872.0,Gas Levy3,,,-,PublicFinances1800-2023
1872.0,Health6,,,-,PublicFinances1800-2023
