date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1857,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1857,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1857,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1857,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1857,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1857,Public sector gross investment4,JW2Z + JW2S,4.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1857,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",2.0,21,PublicFinances1800-2023,,Fiscal Position,,
1857,Public sector net debt (PSND)2,Public sector net debt (PSND)2,832.0,508,PublicFinances1800-2023,,Fiscal Position,,
1857,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1857,Stamp duties,GTBC,7.0,3,PublicFinances1800-2023,,Tax Receipts,,
1857,Total Central Government spending1,ANLP + ANNS + NSRN,74.0,50,PublicFinances1800-2023,,Government Spending,,
1857,Unit,Source dataset ID,1857.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1857,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1857,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1857,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1857,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1858,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1858,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,42.0,18,PublicFinances1800-2023,,Tax Receipts,,
1858,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Debt Interest9,NMFX,29.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1858,Defence5,,22.0,32,PublicFinances1800-2023,,Government Spending,,
1858,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1858,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1858,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1858,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1858,Income tax1,LIBR-MS62,7.0,5,PublicFinances1800-2023,,Tax Receipts,,
1858,"Index, base year = 100",MM23,9.1,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1858,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1858,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1858,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",826.0,393,PublicFinances1800-2023,,Economic Indicators,,
1858,Nominal GDP (£m)3,Nominal GDP (£m)3,798.0,355,PublicFinances1800-2023,,Economic Indicators,,
1858,Other Central Government Receipts6,Residual,4.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1858,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1858,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Public sector gross investment4,JW2Z + JW2S,4.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1858,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023,,Fiscal Position,,
1858,Public sector net debt (PSND)2,Public sector net debt (PSND)2,828.0,508,PublicFinances1800-2023,,Fiscal Position,,
1858,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1858,Stamp duties,GTBC,8.0,3,PublicFinances1800-2023,,Tax Receipts,,
1858,Total Central Government spending1,ANLP + ANNS + NSRN,67.0,50,PublicFinances1800-2023,,Government Spending,,
1858,Unit,Source dataset ID,1858.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1858,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1858,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1858,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1858,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1859,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1859,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,44.0,18,PublicFinances1800-2023,,Tax Receipts,,
1859,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Debt Interest9,NMFX,29.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1859,Defence5,,25.0,32,PublicFinances1800-2023,,Government Spending,,
1859,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1859,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1859,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1859,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1859,Income tax1,LIBR-MS62,10.0,5,PublicFinances1800-2023,,Tax Receipts,,
1859,"Index, base year = 100",MM23,9.0,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1859,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1859,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1859,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",852.0,393,PublicFinances1800-2023,,Economic Indicators,,
1859,Nominal GDP (£m)3,Nominal GDP (£m)3,844.0,355,PublicFinances1800-2023,,Economic Indicators,,
1859,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1859,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1859,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1859,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023,,Fiscal Position,,
1859,Public sector net debt (PSND)2,Public sector net debt (PSND)2,824.0,508,PublicFinances1800-2023,,Fiscal Position,,
1859,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1859,Stamp duties,GTBC,8.0,3,PublicFinances1800-2023,,Tax Receipts,,
1859,Total Central Government spending1,ANLP + ANNS + NSRN,66.0,50,PublicFinances1800-2023,,Government Spending,,
1859,Unit,Source dataset ID,1859.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1859,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1859,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1859,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1859,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1860,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1860,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,42.0,18,PublicFinances1800-2023,,Tax Receipts,,
1860,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1860,Defence5,,28.0,32,PublicFinances1800-2023,,Government Spending,,
1860,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1860,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1860,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1860,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1860,Income tax1,LIBR-MS62,11.0,5,PublicFinances1800-2023,,Tax Receipts,,
1860,"Index, base year = 100",MM23,9.3,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1860,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1860,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1860,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",880.0,393,PublicFinances1800-2023,,Economic Indicators,,
1860,Nominal GDP (£m)3,Nominal GDP (£m)3,864.0,355,PublicFinances1800-2023,,Economic Indicators,,
1860,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1860,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1860,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1860,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",3.0,21,PublicFinances1800-2023,,Fiscal Position,,
1860,Public sector net debt (PSND)2,Public sector net debt (PSND)2,822.0,508,PublicFinances1800-2023,,Fiscal Position,,
1860,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1860,Stamp duties,GTBC,8.0,3,PublicFinances1800-2023,,Tax Receipts,,
1860,Total Central Government spending1,ANLP + ANNS + NSRN,70.0,50,PublicFinances1800-2023,,Government Spending,,
1860,Unit,Source dataset ID,1860.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1860,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1860,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1860,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1860,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1861,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1861,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,42.0,18,PublicFinances1800-2023,,Tax Receipts,,
1861,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1861,Defence5,,29.0,32,PublicFinances1800-2023,,Government Spending,,
1861,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1861,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1861,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1861,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1861,Income tax1,LIBR-MS62,10.0,5,PublicFinances1800-2023,,Tax Receipts,,
1861,"Index, base year = 100",MM23,9.5,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1861,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1861,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1861,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",890.0,393,PublicFinances1800-2023,,Economic Indicators,,
1861,Nominal GDP (£m)3,Nominal GDP (£m)3,889.0,355,PublicFinances1800-2023,,Economic Indicators,,
1861,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1861,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1861,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1861,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",3.0,21,PublicFinances1800-2023,,Fiscal Position,,
1861,Public sector net debt (PSND)2,Public sector net debt (PSND)2,821.0,508,PublicFinances1800-2023,,Fiscal Position,,
1861,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1861,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023,,Tax Receipts,,
1861,Total Central Government spending1,ANLP + ANNS + NSRN,73.0,50,PublicFinances1800-2023,,Government Spending,,
1861,Unit,Source dataset ID,1861.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1861,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1861,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1861,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1861,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1862,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1862,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023,,Tax Receipts,,
1862,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1862,Defence5,,28.0,32,PublicFinances1800-2023,,Government Spending,,
1862,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1862,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1862,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1862,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1862,Income tax1,LIBR-MS62,11.0,5,PublicFinances1800-2023,,Tax Receipts,,
1862,"Index, base year = 100",MM23,9.3,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1862,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1862,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1862,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",946.0,393,PublicFinances1800-2023,,Economic Indicators,,
1862,Nominal GDP (£m)3,Nominal GDP (£m)3,909.0,355,PublicFinances1800-2023,,Economic Indicators,,
1862,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1862,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1862,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1862,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",1.0,21,PublicFinances1800-2023,,Fiscal Position,,
1862,Public sector net debt (PSND)2,Public sector net debt (PSND)2,821.0,508,PublicFinances1800-2023,,Fiscal Position,,
1862,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1862,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023,,Tax Receipts,,
1862,Total Central Government spending1,ANLP + ANNS + NSRN,72.0,50,PublicFinances1800-2023,,Government Spending,,
1862,Unit,Source dataset ID,1862.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1862,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1862,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1862,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1862,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1863,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1863,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023,,Tax Receipts,,
1863,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1863,Defence5,,27.0,32,PublicFinances1800-2023,,Government Spending,,
1863,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1863,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1863,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1863,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1863,Income tax1,LIBR-MS62,9.0,5,PublicFinances1800-2023,,Tax Receipts,,
1863,"Index, base year = 100",MM23,9.0,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1863,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1863,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1863,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1000.0,393,PublicFinances1800-2023,,Economic Indicators,,
1863,Nominal GDP (£m)3,Nominal GDP (£m)3,976.0,355,PublicFinances1800-2023,,Economic Indicators,,
1863,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1863,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1863,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Public sector gross investment4,JW2Z + JW2S,5.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1863,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",0.0,21,PublicFinances1800-2023,,Fiscal Position,,
1863,Public sector net debt (PSND)2,Public sector net debt (PSND)2,817.0,508,PublicFinances1800-2023,,Fiscal Position,,
1863,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1863,Stamp duties,GTBC,9.0,3,PublicFinances1800-2023,,Tax Receipts,,
1863,Total Central Government spending1,ANLP + ANNS + NSRN,70.0,50,PublicFinances1800-2023,,Government Spending,,
1863,Unit,Source dataset ID,1863.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1863,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1863,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1863,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1863,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1864,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1864,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,43.0,18,PublicFinances1800-2023,,Tax Receipts,,
1864,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1864,Defence5,,26.0,32,PublicFinances1800-2023,,Government Spending,,
1864,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1864,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1864,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1864,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1864,Income tax1,LIBR-MS62,8.0,5,PublicFinances1800-2023,,Tax Receipts,,
1864,"Index, base year = 100",MM23,8.9,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1864,Land and Assessed Taxes,,3.0,5,PublicFinances1800-2023,,Tax Receipts,,
1864,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1864,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",1024.0,393,PublicFinances1800-2023,,Economic Indicators,,
1864,Nominal GDP (£m)3,Nominal GDP (£m)3,1016.0,355,PublicFinances1800-2023,,Economic Indicators,,
1864,Other Central Government Receipts6,Residual,5.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1864,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1864,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Public sector gross investment4,JW2Z + JW2S,6.0,-,PublicFinances1800-2023,,PublicFinances - Other,,
1864,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",-1.0,21,PublicFinances1800-2023,,Fiscal Position,,
1864,Public sector net debt (PSND)2,Public sector net debt (PSND)2,812.0,508,PublicFinances1800-2023,,Fiscal Position,,
1864,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1864,Stamp duties,GTBC,10.0,3,PublicFinances1800-2023,,Tax Receipts,,
1864,Total Central Government spending1,ANLP + ANNS + NSRN,68.0,50,PublicFinances1800-2023,,Government Spending,,
1864,Unit,Source dataset ID,1864.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1864,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1864,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1864,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1864,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1865,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1865,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1865,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1865,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1865,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1865,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023,,Tax Receipts,,
1865,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1865,Debt Interest9,NMFX,26.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1865,Defence5,,25.0,32,PublicFinances1800-2023,,Government Spending,,
1865,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1865,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
