date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1802,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",13.0,21,PublicFinances1800-2023,,Fiscal Position,,
1802,Public sector net debt (PSND)2,Public sector net debt (PSND)2,564.0,508,PublicFinances1800-2023,,Fiscal Position,,
1802,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1802,Stamp duties,GTBC,3.0,3,PublicFinances1800-2023,,Tax Receipts,,
1802,Total Central Government spending1,ANLP + ANNS + NSRN,63.0,50,PublicFinances1800-2023,,Government Spending,,
1802,Unit,Source dataset ID,1802.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1802,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1802,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1802,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1802,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1803,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1803,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,28.0,18,PublicFinances1800-2023,,Tax Receipts,,
1803,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Debt Interest9,NMFX,20.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1803,Defence5,,25.0,32,PublicFinances1800-2023,,Government Spending,,
1803,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1803,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1803,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1803,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1803,Income tax1,LIBR-MS62,1.0,5,PublicFinances1800-2023,,Tax Receipts,,
1803,"Index, base year = 100",MM23,11.0,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1803,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023,,Tax Receipts,,
1803,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1803,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",372.0,393,PublicFinances1800-2023,,Economic Indicators,,
1803,Nominal GDP (£m)3,Nominal GDP (£m)3,361.0,355,PublicFinances1800-2023,,Economic Indicators,,
1803,Other Central Government Receipts6,Residual,6.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1803,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1803,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1803,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",11.0,21,PublicFinances1800-2023,,Fiscal Position,,
1803,Public sector net debt (PSND)2,Public sector net debt (PSND)2,579.0,508,PublicFinances1800-2023,,Fiscal Position,,
1803,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1803,Stamp duties,GTBC,4.0,3,PublicFinances1800-2023,,Tax Receipts,,
1803,Total Central Government spending1,ANLP + ANNS + NSRN,54.0,50,PublicFinances1800-2023,,Government Spending,,
1803,Unit,Source dataset ID,1803.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1803,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1803,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1803,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1803,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1804,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1804,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,31.0,18,PublicFinances1800-2023,,Tax Receipts,,
1804,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,Debt Interest9,NMFX,21.0,14,PublicFinances1800-2023,,PublicFinances - Other,,
1804,Defence5,,26.0,32,PublicFinances1800-2023,,Government Spending,,
1804,Education8,,,-,PublicFinances1800-2023,,Government Spending,,
1804,Energy profits levy,JIS6,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1804,Gas Levy3,,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1804,Health6,,,-,PublicFinances1800-2023,,Government Spending,,
1804,Income tax1,LIBR-MS62,4.0,5,PublicFinances1800-2023,,Tax Receipts,,
1804,"Index, base year = 100",MM23,11.3,13.5,PublicFinances1800-2023,,PublicFinances - Other,,
1804,Land and Assessed Taxes,,6.0,5,PublicFinances1800-2023,,Tax Receipts,,
1804,License fee receipts,DH7A,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1804,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1804,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
