year,total_deaths
1901,551585
1902,535538
1903,514628
1904,549784
1905,520031
1906,531281
1907,524221
1908,520456
1909,518003
1910,483247
1911,527810
1912,486939
1913,504975
1914,516742
1915,562253
1916,508217
1917,498922
1918,611861
1919,504203
1920,466130
1921,458629
1922,486780
1923,444785
1924,473235
1925,472841
1926,453804
1927,484609
1928,460389
1929,532492
1930,455427
1931,491630
1932,484129
1933,496465
1934,477075
1935,477401
1936,495764
1937,509574
1938,478829
1939,498968
1940,572644
1941,524434
1942,470657
1943,491531
1944,481050
1945,481274
1946,489054
1947,515591
1948,468645
1949,509973
1950,510301
1951,549380
1952,497484
1953,503529
1954,501896
1955,518864
1956,521331
1957,514870
1958,526843
1959,527643
1960,526254
1961,551758
1962,557599
1963,572868
1964,534737
1965,549379
1966,563624
1967,542516
1968,576754
1969,579378
1970,575194
1971,567262
1972,591889
1973,587478
1974,585292
1975,582841
1976,598516
1977,575928
1978,585901
1979,593019
1980,581385
1981,577890
1982,581861
1983,579608
1984,566881
1985,590734
1986,581203
1987,566994
1988,571408
1989,576872
1990,564846
1991,570044
1992,558313
1993,578512
1994,551780
1995,565902
1996,563007
1997,558052
1998,553435
1999,553532
2000,537877
2001,532498
2002,535356
2003,539151
2004,514250
2005,512993
2006,502599
2007,504052
2008,509090
2009,491348
2010,493242
2011,484367
2012,499331
2013,506790
2014,501424
2015,529655
2016,525048
2017,533252
