year,deaths,population_total,mortality_rate_per_100k_total_population,mortality_rate_per_100k,denominator_label
2004,512011,53152022,963.2954321098076,963.2954321098076,total population
2005,510773,53575343,953.3732709840048,953.3732709840048,total population
2006,500254,53950854,927.2401878939675,927.2401878939675,total population
2007,501770,54387392,922.5851462044733,922.5851462044733,total population
2008,506791,54841720,924.0975665971089,924.0975665971089,total population
2009,489097,55235253,885.4797858896383,885.4797858896383,total population
2010,491094,55692423,881.7967930754243,881.7967930754243,total population
2011,482164,56170927,858.3871154556521,858.3871154556521,total population
2012,497231,56567796,879.0001293315369,879.0001293315369,total population
2013,504893,56948229,886.5824431520075,886.5824431520075,total population
2014,499554,57408654,870.171943066284,870.171943066284,total population
2015,527752,57885413,911.7184669650712,911.7184669650712,total population
2016,523119,58381217,896.0399026967868,896.0399026967868,total population
