year,cause,sex,age,deaths,icd_version
1921,"113,114(1)",Female,01-04,4,ICD-3
1921,"113,114(1)",Female,05-09,1,ICD-3
1921,"113,114(1)",Female,10-14,2,ICD-3
1921,"113,114(1)",Female,15-19,3,ICD-3
1921,"113,114(1)",Female,20-24,5,ICD-3
1921,"113,114(1)",Female,25-29,15,ICD-3
1921,"113,114(1)",Female,30-34,13,ICD-3
1921,"113,114(1)",Female,35-39,17,ICD-3
1921,"113,114(1)",Female,40-44,14,ICD-3
1921,"113,114(1)",Female,45-49,17,ICD-3
1921,"113,114(1)",Female,50-54,6,ICD-3
1921,"113,114(1)",Female,55-59,6,ICD-3
1921,"113,114(1)",Female,60-64,8,ICD-3
1921,"113,114(1)",Female,65-69,13,ICD-3
1921,"113,114(1)",Female,70-74,5,ICD-3
1921,"113,114(1)",Female,75-79,5,ICD-3
1921,"113,114(1)",Female,80+,1,ICD-3
1921,"113,114(1)",Female,<1,4,ICD-3
1921,"113,114(1)",Male,01-04,1,ICD-3
1921,"113,114(1)",Male,05-09,1,ICD-3
1921,"113,114(1)",Male,10-14,2,ICD-3
1921,"113,114(1)",Male,15-19,1,ICD-3
1921,"113,114(1)",Male,20-24,3,ICD-3
1921,"113,114(1)",Male,25-29,6,ICD-3
1921,"113,114(1)",Male,30-34,7,ICD-3
1921,"113,114(1)",Male,35-39,9,ICD-3
1921,"113,114(1)",Male,40-44,14,ICD-3
1921,"113,114(1)",Male,45-49,18,ICD-3
1921,"113,114(1)",Male,50-54,10,ICD-3
1921,"113,114(1)",Male,55-59,4,ICD-3
1921,"113,114(1)",Male,60-64,11,ICD-3
1921,"113,114(1)",Male,65-69,6,ICD-3
1921,"113,114(1)",Male,70-74,4,ICD-3
1921,"113,114(1)",Male,75-79,6,ICD-3
1921,"113,114(1)",Male,80+,7,ICD-3
1921,"113,114(1)",Male,<1,4,ICD-3
1921,"113,114(2)",Female,01-04,21,ICD-3
1921,"113,114(2)",Female,05-09,1,ICD-3
1921,"113,114(2)",Female,10-14,2,ICD-3
1921,"113,114(2)",Female,15-19,3,ICD-3
1921,"113,114(2)",Female,20-24,2,ICD-3
1921,"113,114(2)",Female,25-29,7,ICD-3
1921,"113,114(2)",Female,30-34,11,ICD-3
1921,"113,114(2)",Female,35-39,10,ICD-3
1921,"113,114(2)",Female,40-44,13,ICD-3
1921,"113,114(2)",Female,45-49,16,ICD-3
1921,"113,114(2)",Female,50-54,20,ICD-3
1921,"113,114(2)",Female,55-59,8,ICD-3
1921,"113,114(2)",Female,60-64,19,ICD-3
1921,"113,114(2)",Female,65-69,20,ICD-3
1921,"113,114(2)",Female,70-74,24,ICD-3
1921,"113,114(2)",Female,75-79,27,ICD-3
1921,"113,114(2)",Female,80+,21,ICD-3
1921,"113,114(2)",Female,<1,71,ICD-3
1921,"113,114(2)",Male,01-04,18,ICD-3
1921,"113,114(2)",Male,05-09,4,ICD-3
1921,"113,114(2)",Male,15-19,1,ICD-3
1921,"113,114(2)",Male,25-29,4,ICD-3
1921,"113,114(2)",Male,30-34,3,ICD-3
1921,"113,114(2)",Male,35-39,5,ICD-3
1921,"113,114(2)",Male,40-44,6,ICD-3
1921,"113,114(2)",Male,45-49,7,ICD-3
1921,"113,114(2)",Male,50-54,9,ICD-3
1921,"113,114(2)",Male,55-59,11,ICD-3
1921,"113,114(2)",Male,60-64,10,ICD-3
1921,"113,114(2)",Male,65-69,17,ICD-3
1921,"113,114(2)",Male,70-74,11,ICD-3
1921,"113,114(2)",Male,75-79,10,ICD-3
1921,"113,114(2)",Male,80+,25,ICD-3
1921,"113,114(2)",Male,<1,105,ICD-3
