year,cause,sex,age,deaths,icd_version
1999,0,Female,<1,1046,ICD-10
1999,0,Male,<1,1393,ICD-10
1999,1000,Male,55-59,1,ICD-10
1999,112,Female,80-84,1,ICD-10
1999,112,Male,70-74,1,ICD-10
1999,1125,Female,01-04,1,ICD-10
1999,1125,Female,45-49,1,ICD-10
1999,1125,Female,60-64,2,ICD-10
1999,1125,Male,55-59,1,ICD-10
1999,1125,Male,70-74,1,ICD-10
1999,1125,Male,75-79,2,ICD-10
1999,1125,Male,80-84,1,ICD-10
1999,1125,Male,85+,1,ICD-10
1999,1125,Male,<1,6,ICD-10
1999,1128,Female,70-74,1,ICD-10
1999,1128,Female,85+,1,ICD-10
1999,1128,Male,30-34,1,ICD-10
1999,1128,Male,75-79,1,ICD-10
1999,1128,Male,85+,2,ICD-10
1999,1129,Female,80-84,2,ICD-10
1999,1129,Male,01-04,1,ICD-10
1999,1129,Male,50-54,1,ICD-10
1999,113,Female,65-69,1,ICD-10
1999,113,Female,70-74,1,ICD-10
1999,113,Female,75-79,1,ICD-10
1999,113,Male,70-74,1,ICD-10
1999,113,Male,85+,1,ICD-10
1999,114,Female,75-79,1,ICD-10
1999,114,Female,80-84,1,ICD-10
1999,114,Female,85+,2,ICD-10
1999,114,Male,60-64,1,ICD-10
1999,114,Male,70-74,1,ICD-10
1999,114,Male,75-79,4,ICD-10
1999,114,Male,80-84,1,ICD-10
1999,114,Male,85+,1,ICD-10
1999,115,Female,55-59,1,ICD-10
1999,115,Female,60-64,1,ICD-10
1999,115,Female,65-69,1,ICD-10
1999,115,Female,70-74,1,ICD-10
1999,115,Male,55-59,2,ICD-10
1999,115,Male,80-84,1,ICD-10
1999,115,Male,85+,2,ICD-10
1999,116,Female,40-44,1,ICD-10
1999,116,Female,70-74,2,ICD-10
1999,116,Female,75-79,4,ICD-10
1999,116,Female,80-84,2,ICD-10
1999,116,Female,85+,2,ICD-10
1999,116,Male,20-24,2,ICD-10
1999,116,Male,40-44,2,ICD-10
1999,116,Male,45-49,1,ICD-10
1999,116,Male,50-54,1,ICD-10
1999,116,Male,55-59,2,ICD-10
1999,116,Male,60-64,1,ICD-10
1999,116,Male,65-69,6,ICD-10
1999,116,Male,70-74,6,ICD-10
1999,116,Male,75-79,12,ICD-10
1999,116,Male,80-84,3,ICD-10
1999,116,Male,85+,5,ICD-10
1999,117,Male,65-69,1,ICD-10
1999,1173,Female,01-04,1,ICD-10
1999,1173,Female,20-24,1,ICD-10
1999,1173,Female,50-54,1,ICD-10
1999,1173,Female,55-59,2,ICD-10
1999,1173,Female,60-64,3,ICD-10
1999,1173,Female,70-74,2,ICD-10
1999,1173,Female,75-79,6,ICD-10
1999,1173,Female,80-84,1,ICD-10
1999,1173,Female,85+,1,ICD-10
1999,1173,Male,35-39,1,ICD-10
1999,1173,Male,40-44,1,ICD-10
1999,1173,Male,45-49,2,ICD-10
1999,1173,Male,50-54,3,ICD-10
1999,1173,Male,55-59,2,ICD-10
1999,1173,Male,60-64,1,ICD-10
1999,1173,Male,65-69,10,ICD-10
1999,1173,Male,70-74,10,ICD-10
1999,1173,Male,75-79,2,ICD-10
1999,1175,Male,35-39,3,ICD-10
1999,1175,Male,45-49,2,ICD-10
1999,1175,Male,55-59,1,ICD-10
1999,1175,Male,80-84,1,ICD-10
1999,1177,Female,15-19,1,ICD-10
1999,1179,Female,05-09,1,ICD-10
1999,1179,Female,45-49,1,ICD-10
1999,1179,Female,55-59,1,ICD-10
1999,1179,Female,60-64,1,ICD-10
1999,1179,Female,65-69,4,ICD-10
1999,1179,Female,70-74,1,ICD-10
1999,1179,Female,75-79,1,ICD-10
1999,1179,Female,<1,2,ICD-10
1999,1179,Male,05-09,1,ICD-10
1999,1179,Male,15-19,1,ICD-10
1999,1179,Male,45-49,1,ICD-10
1999,1179,Male,65-69,1,ICD-10
1999,1179,Male,70-74,1,ICD-10
1999,1179,Male,75-79,1,ICD-10
1999,1179,Male,80-84,1,ICD-10
1999,1179,Male,85+,1,ICD-10
1999,1179,Male,<1,1,ICD-10
1999,119,Female,20-24,1,ICD-10
1999,119,Female,25-29,1,ICD-10
