year,cause,sex,age,deaths,icd_version
1958,1401,Female,60-64,1,ICD-6
1958,1401,Female,75-79,1,ICD-6
1958,1401,Female,85+,2,ICD-6
1958,1401,Male,40-44,1,ICD-6
1958,1401,Male,45-49,2,ICD-6
1958,1401,Male,50-54,3,ICD-6
1958,1401,Male,55-59,4,ICD-6
1958,1401,Male,60-64,4,ICD-6
1958,1401,Male,65-69,11,ICD-6
1958,1401,Male,70-74,12,ICD-6
1958,1401,Male,75-79,10,ICD-6
1958,1401,Male,80-84,15,ICD-6
1958,1401,Male,85+,9,ICD-6
1958,1409,Male,65-69,1,ICD-6
1958,1409,Male,75-79,1,ICD-6
1958,1409,Male,80-84,2,ICD-6
1958,1417,Female,25-29,1,ICD-6
1958,1417,Female,45-49,1,ICD-6
1958,1417,Female,50-54,7,ICD-6
1958,1417,Female,55-59,4,ICD-6
1958,1417,Female,60-64,5,ICD-6
1958,1417,Female,65-69,7,ICD-6
1958,1417,Female,70-74,12,ICD-6
1958,1417,Female,75-79,21,ICD-6
1958,1417,Female,80-84,11,ICD-6
1958,1417,Female,85+,8,ICD-6
1958,1417,Male,30-34,1,ICD-6
1958,1417,Male,35-39,1,ICD-6
1958,1417,Male,40-44,1,ICD-6
1958,1417,Male,45-49,6,ICD-6
1958,1417,Male,50-54,3,ICD-6
1958,1417,Male,55-59,12,ICD-6
1958,1417,Male,60-64,12,ICD-6
1958,1417,Male,65-69,29,ICD-6
1958,1417,Male,70-74,29,ICD-6
1958,1417,Male,75-79,37,ICD-6
1958,1417,Male,80-84,36,ICD-6
1958,1417,Male,85+,13,ICD-6
1958,1418,Female,40-44,1,ICD-6
1958,1418,Female,45-49,1,ICD-6
1958,1418,Female,55-59,1,ICD-6
1958,1418,Female,60-64,2,ICD-6
1958,1418,Female,65-69,4,ICD-6
1958,1418,Female,70-74,2,ICD-6
1958,1418,Female,75-79,3,ICD-6
1958,1418,Female,80-84,2,ICD-6
1958,1418,Female,85+,3,ICD-6
1958,1418,Male,45-49,2,ICD-6
1958,1418,Male,55-59,3,ICD-6
1958,1418,Male,60-64,5,ICD-6
1958,1418,Male,65-69,2,ICD-6
1958,1418,Male,70-74,4,ICD-6
1958,1418,Male,75-79,10,ICD-6
1958,1418,Male,80-84,14,ICD-6
1958,1418,Male,85+,2,ICD-6
1958,1427,Female,55-59,2,ICD-6
1958,1427,Female,60-64,2,ICD-6
1958,1427,Female,65-69,1,ICD-6
1958,1427,Female,70-74,1,ICD-6
1958,1427,Female,75-79,1,ICD-6
1958,1427,Female,85+,1,ICD-6
1958,1427,Male,01-04,1,ICD-6
1958,1427,Male,35-39,1,ICD-6
1958,1427,Male,50-54,1,ICD-6
1958,1427,Male,55-59,2,ICD-6
1958,1427,Male,60-64,2,ICD-6
1958,1427,Male,65-69,1,ICD-6
1958,1427,Male,70-74,2,ICD-6
1958,1427,Male,75-79,3,ICD-6
1958,1427,Male,85+,1,ICD-6
1958,1428,Male,30-34,1,ICD-6
1958,1428,Male,60-64,1,ICD-6
1958,1457,Female,45-49,1,ICD-6
1958,1457,Female,70-74,1,ICD-6
1958,1457,Female,80-84,1,ICD-6
1958,1457,Male,45-49,1,ICD-6
1958,1457,Male,50-54,2,ICD-6
1958,1457,Male,55-59,2,ICD-6
1958,1457,Male,60-64,5,ICD-6
1958,1457,Male,65-69,8,ICD-6
1958,1457,Male,70-74,7,ICD-6
1958,1457,Male,75-79,9,ICD-6
1958,1457,Male,80-84,2,ICD-6
1958,1457,Male,85+,3,ICD-6
1958,1527,Female,25-29,1,ICD-6
1958,1527,Female,30-34,1,ICD-6
1958,1527,Female,35-39,6,ICD-6
1958,1527,Female,40-44,4,ICD-6
1958,1527,Female,45-49,7,ICD-6
1958,1527,Female,50-54,5,ICD-6
1958,1527,Female,55-59,11,ICD-6
1958,1527,Female,60-64,11,ICD-6
1958,1527,Female,65-69,15,ICD-6
1958,1527,Female,70-74,7,ICD-6
1958,1527,Female,75-79,9,ICD-6
1958,1527,Female,80-84,4,ICD-6
1958,1527,Female,85+,2,ICD-6
1958,1527,Male,01-04,1,ICD-6
1958,1527,Male,30-34,1,ICD-6
1958,1527,Male,35-39,1,ICD-6
1958,1527,Male,40-44,4,ICD-6
1958,1527,Male,45-49,3,ICD-6
1958,1527,Male,50-54,10,ICD-6
1958,1527,Male,55-59,18,ICD-6
1958,1527,Male,60-64,12,ICD-6
1958,1527,Male,65-69,9,ICD-6
1958,1527,Male,70-74,11,ICD-6
1958,1527,Male,75-79,8,ICD-6
1958,1527,Male,80-84,4,ICD-6
1958,1527,Male,85+,5,ICD-6
1958,1533,Female,15-19,1,ICD-6
1958,1533,Female,25-29,3,ICD-6
1958,1533,Female,30-34,5,ICD-6
1958,1533,Female,35-39,17,ICD-6
1958,1533,Female,40-44,33,ICD-6
1958,1533,Female,45-49,59,ICD-6
1958,1533,Female,50-54,112,ICD-6
1958,1533,Female,55-59,151,ICD-6
1958,1533,Female,60-64,189,ICD-6
1958,1533,Female,65-69,270,ICD-6
1958,1533,Female,70-74,302,ICD-6
1958,1533,Female,75-79,309,ICD-6
1958,1533,Female,80-84,239,ICD-6
1958,1533,Female,85+,137,ICD-6
1958,1533,Male,25-29,4,ICD-6
1958,1533,Male,30-34,4,ICD-6
1958,1533,Male,35-39,13,ICD-6
1958,1533,Male,40-44,27,ICD-6
1958,1533,Male,45-49,39,ICD-6
1958,1533,Male,50-54,82,ICD-6
1958,1533,Male,55-59,133,ICD-6
1958,1533,Male,60-64,156,ICD-6
1958,1533,Male,65-69,223,ICD-6
1958,1533,Male,70-74,255,ICD-6
1958,1533,Male,75-79,242,ICD-6
1958,1533,Male,80-84,153,ICD-6
1958,1533,Male,85+,87,ICD-6
1958,1538,Female,25-29,2,ICD-6
1958,1538,Female,30-34,2,ICD-6
1958,1538,Female,35-39,3,ICD-6
1958,1538,Female,40-44,6,ICD-6
1958,1538,Female,45-49,21,ICD-6
1958,1538,Female,50-54,15,ICD-6
1958,1538,Female,55-59,46,ICD-6
1958,1538,Female,60-64,62,ICD-6
1958,1538,Female,65-69,69,ICD-6
1958,1538,Female,70-74,96,ICD-6
1958,1538,Female,75-79,106,ICD-6
1958,1538,Female,80-84,85,ICD-6
1958,1538,Female,85+,72,ICD-6
1958,1538,Male,20-24,1,ICD-6
1958,1538,Male,35-39,4,ICD-6
1958,1538,Male,40-44,5,ICD-6
1958,1538,Male,45-49,12,ICD-6
1958,1538,Male,50-54,23,ICD-6
1958,1538,Male,55-59,33,ICD-6
1958,1538,Male,60-64,40,ICD-6
1958,1538,Male,65-69,40,ICD-6
1958,1538,Male,70-74,72,ICD-6
1958,1538,Male,75-79,70,ICD-6
1958,1538,Male,80-84,45,ICD-6
1958,1538,Male,85+,29,ICD-6
1958,1539,Female,20-24,2,ICD-6
1958,1539,Female,25-29,2,ICD-6
1958,1539,Female,30-34,17,ICD-6
1958,1539,Female,35-39,30,ICD-6
1958,1539,Female,40-44,40,ICD-6
1958,1539,Female,45-49,102,ICD-6
1958,1539,Female,50-54,140,ICD-6
1958,1539,Female,55-59,209,ICD-6
1958,1539,Female,60-64,276,ICD-6
1958,1539,Female,65-69,337,ICD-6
1958,1539,Female,70-74,482,ICD-6
1958,1539,Female,75-79,569,ICD-6
1958,1539,Female,80-84,477,ICD-6
1958,1539,Female,85+,336,ICD-6
1958,1539,Male,20-24,1,ICD-6
1958,1539,Male,25-29,6,ICD-6
1958,1539,Male,30-34,11,ICD-6
1958,1539,Male,35-39,28,ICD-6
1958,1539,Male,40-44,37,ICD-6
1958,1539,Male,45-49,56,ICD-6
1958,1539,Male,50-54,115,ICD-6
1958,1539,Male,55-59,163,ICD-6
1958,1539,Male,60-64,184,ICD-6
1958,1539,Male,65-69,279,ICD-6
1958,1539,Male,70-74,334,ICD-6
1958,1539,Male,75-79,346,ICD-6
1958,1539,Male,80-84,244,ICD-6
1958,1539,Male,85+,102,ICD-6
1958,1551,Female,25-29,1,ICD-6
1958,1551,Female,35-39,2,ICD-6
1958,1551,Female,40-44,8,ICD-6
1958,1551,Female,45-49,19,ICD-6
1958,1551,Female,50-54,31,ICD-6
1958,1551,Female,55-59,53,ICD-6
1958,1551,Female,60-64,92,ICD-6
1958,1551,Female,65-69,123,ICD-6
1958,1551,Female,70-74,123,ICD-6
1958,1551,Female,75-79,143,ICD-6
1958,1551,Female,80-84,79,ICD-6
1958,1551,Female,85+,57,ICD-6
1958,1551,Male,30-34,1,ICD-6
1958,1551,Male,40-44,6,ICD-6
1958,1551,Male,45-49,12,ICD-6
1958,1551,Male,50-54,26,ICD-6
1958,1551,Male,55-59,35,ICD-6
1958,1551,Male,60-64,52,ICD-6
1958,1551,Male,65-69,58,ICD-6
1958,1551,Male,70-74,69,ICD-6
1958,1551,Male,75-79,61,ICD-6
1958,1551,Male,80-84,30,ICD-6
1958,1551,Male,85+,16,ICD-6
1958,1601,Female,40-44,1,ICD-6
1958,1601,Female,50-54,1,ICD-6
1958,1601,Female,55-59,1,ICD-6
1958,1601,Female,60-64,2,ICD-6
1958,1601,Female,65-69,2,ICD-6
1958,1601,Female,70-74,1,ICD-6
1958,1601,Female,75-79,1,ICD-6
1958,1601,Female,80-84,2,ICD-6
1958,1601,Female,85+,1,ICD-6
1958,1601,Male,45-49,1,ICD-6
1958,1601,Male,55-59,3,ICD-6
1958,1601,Male,65-69,1,ICD-6
1958,1601,Male,70-74,1,ICD-6
1958,1601,Male,80-84,2,ICD-6
1958,1602,Female,40-44,2,ICD-6
1958,1602,Female,45-49,3,ICD-6
1958,1602,Female,50-54,3,ICD-6
1958,1602,Female,55-59,8,ICD-6
1958,1602,Female,60-64,5,ICD-6
1958,1602,Female,65-69,5,ICD-6
1958,1602,Female,70-74,13,ICD-6
1958,1602,Female,75-79,10,ICD-6
1958,1602,Female,80-84,8,ICD-6
1958,1602,Female,85+,6,ICD-6
1958,1602,Male,15-19,1,ICD-6
1958,1602,Male,35-39,1,ICD-6
1958,1602,Male,40-44,3,ICD-6
1958,1602,Male,45-49,5,ICD-6
1958,1602,Male,50-54,6,ICD-6
1958,1602,Male,55-59,8,ICD-6
1958,1602,Male,60-64,11,ICD-6
1958,1602,Male,65-69,16,ICD-6
1958,1602,Male,70-74,12,ICD-6
1958,1602,Male,75-79,12,ICD-6
1958,1602,Male,80-84,7,ICD-6
1958,1602,Male,85+,2,ICD-6
1958,1607,Female,05-09,1,ICD-6
1958,1607,Female,35-39,1,ICD-6
1958,1607,Female,65-69,1,ICD-6
1958,1607,Female,70-74,2,ICD-6
1958,1607,Female,75-79,1,ICD-6
1958,1607,Male,30-34,1,ICD-6
1958,1607,Male,40-44,1,ICD-6
1958,1607,Male,45-49,1,ICD-6
1958,1607,Male,55-59,2,ICD-6
1958,1607,Male,60-64,1,ICD-6
1958,1607,Male,65-69,1,ICD-6
1958,1607,Male,75-79,2,ICD-6
1958,1607,Male,85+,1,ICD-6
1958,1608,Female,70-74,1,ICD-6
1958,1608,Male,55-59,1,ICD-6
1958,1608,Male,60-64,1,ICD-6
1958,1608,Male,65-69,1,ICD-6
1958,1608,Male,80-84,2,ICD-6
1958,1611,Female,35-39,3,ICD-6
1958,1611,Female,40-44,5,ICD-6
1958,1611,Female,45-49,14,ICD-6
1958,1611,Female,50-54,16,ICD-6
1958,1611,Female,55-59,20,ICD-6
1958,1611,Female,60-64,19,ICD-6
1958,1611,Female,65-69,23,ICD-6
1958,1611,Female,70-74,19,ICD-6
1958,1611,Female,75-79,26,ICD-6
1958,1611,Female,80-84,19,ICD-6
1958,1611,Female,85+,7,ICD-6
1958,1611,Male,25-29,1,ICD-6
1958,1611,Male,30-34,3,ICD-6
1958,1611,Male,35-39,3,ICD-6
1958,1611,Male,40-44,8,ICD-6
1958,1611,Male,45-49,23,ICD-6
1958,1611,Male,50-54,47,ICD-6
1958,1611,Male,55-59,83,ICD-6
1958,1611,Male,60-64,70,ICD-6
1958,1611,Male,65-69,108,ICD-6
1958,1611,Male,70-74,134,ICD-6
1958,1611,Male,75-79,91,ICD-6
1958,1611,Male,80-84,58,ICD-6
1958,1611,Male,85+,33,ICD-6
1958,1621,Female,20-24,1,ICD-6
1958,1621,Female,25-29,4,ICD-6
1958,1621,Female,30-34,18,ICD-6
1958,1621,Female,35-39,34,ICD-6
1958,1621,Female,40-44,72,ICD-6
1958,1621,Female,45-49,108,ICD-6
1958,1621,Female,50-54,190,ICD-6
1958,1621,Female,55-59,262,ICD-6
1958,1621,Female,60-64,289,ICD-6
1958,1621,Female,65-69,287,ICD-6
1958,1621,Female,70-74,247,ICD-6
1958,1621,Female,75-79,187,ICD-6
1958,1621,Female,80-84,97,ICD-6
1958,1621,Female,85+,42,ICD-6
1958,1621,Male,15-19,1,ICD-6
1958,1621,Male,20-24,4,ICD-6
1958,1621,Male,25-29,11,ICD-6
1958,1621,Male,30-34,34,ICD-6
1958,1621,Male,35-39,99,ICD-6
1958,1621,Male,40-44,272,ICD-6
1958,1621,Male,45-49,667,ICD-6
1958,1621,Male,50-54,1338,ICD-6
1958,1621,Male,55-59,1976,ICD-6
1958,1621,Male,60-64,2200,ICD-6
1958,1621,Male,65-69,2135,ICD-6
1958,1621,Male,70-74,1478,ICD-6
1958,1621,Male,75-79,830,ICD-6
1958,1621,Male,80-84,290,ICD-6
1958,1621,Male,85+,62,ICD-6
1958,1622,Male,40-44,1,ICD-6
1958,1622,Male,50-54,1,ICD-6
1958,1622,Male,55-59,1,ICD-6
1958,1622,Male,60-64,1,ICD-6
1958,1622,Male,65-69,1,ICD-6
1958,1622,Male,75-79,1,ICD-6
1958,1628,Male,70-74,1,ICD-6
1958,1628,Male,75-79,1,ICD-6
1958,1631,Female,01-04,1,ICD-6
1958,1631,Female,15-19,1,ICD-6
1958,1631,Female,20-24,3,ICD-6
1958,1631,Female,25-29,4,ICD-6
1958,1631,Female,30-34,7,ICD-6
1958,1631,Female,35-39,16,ICD-6
1958,1631,Female,40-44,32,ICD-6
1958,1631,Female,45-49,45,ICD-6
1958,1631,Female,50-54,99,ICD-6
1958,1631,Female,55-59,103,ICD-6
1958,1631,Female,60-64,116,ICD-6
1958,1631,Female,65-69,148,ICD-6
1958,1631,Female,70-74,129,ICD-6
1958,1631,Female,75-79,126,ICD-6
1958,1631,Female,80-84,69,ICD-6
1958,1631,Female,85+,34,ICD-6
1958,1631,Male,01-04,1,ICD-6
1958,1631,Male,05-09,1,ICD-6
1958,1631,Male,20-24,2,ICD-6
1958,1631,Male,25-29,5,ICD-6
1958,1631,Male,30-34,20,ICD-6
1958,1631,Male,35-39,41,ICD-6
1958,1631,Male,40-44,103,ICD-6
1958,1631,Male,45-49,297,ICD-6
1958,1631,Male,50-54,589,ICD-6
1958,1631,Male,55-59,946,ICD-6
1958,1631,Male,60-64,1085,ICD-6
1958,1631,Male,65-69,1060,ICD-6
1958,1631,Male,70-74,795,ICD-6
1958,1631,Male,75-79,462,ICD-6
1958,1631,Male,80-84,159,ICD-6
1958,1631,Male,85+,42,ICD-6
1958,1651,Female,35-39,2,ICD-6
1958,1651,Female,45-49,1,ICD-6
1958,1651,Female,50-54,1,ICD-6
1958,1651,Female,55-59,1,ICD-6
1958,1651,Female,60-64,3,ICD-6
1958,1651,Female,65-69,1,ICD-6
1958,1651,Female,70-74,2,ICD-6
1958,1651,Female,75-79,3,ICD-6
1958,1651,Female,80-84,1,ICD-6
1958,1651,Female,85+,1,ICD-6
1958,1651,Male,50-54,2,ICD-6
1958,1651,Male,55-59,2,ICD-6
1958,1651,Male,60-64,2,ICD-6
1958,1651,Male,65-69,1,ICD-6
