year,cause,sex,age,deaths,icd_version
1979,112,Female,75-79,1,ICD-8
1979,112,Male,45-49,1,ICD-8
1979,112,Male,65-69,2,ICD-8
1979,112,Male,70-74,1,ICD-8
1979,1129,Female,85+,1,ICD-8
1979,1129,Male,50-54,1,ICD-8
1979,1129,Male,60-64,1,ICD-8
1979,1129,Male,75-79,1,ICD-8
1979,1129,Male,85+,1,ICD-8
1979,114,Female,60-64,1,ICD-8
1979,114,Female,70-74,1,ICD-8
1979,114,Female,75-79,2,ICD-8
1979,114,Female,80-84,1,ICD-8
1979,114,Male,40-44,1,ICD-8
1979,114,Male,50-54,2,ICD-8
1979,114,Male,55-59,3,ICD-8
1979,114,Male,60-64,3,ICD-8
1979,114,Male,65-69,5,ICD-8
1979,114,Male,70-74,8,ICD-8
1979,114,Male,75-79,2,ICD-8
1979,114,Male,80-84,2,ICD-8
1979,115,Male,55-59,1,ICD-8
1979,116,Female,30-34,1,ICD-8
1979,116,Female,35-39,1,ICD-8
1979,116,Female,45-49,1,ICD-8
1979,116,Female,50-54,2,ICD-8
1979,116,Female,55-59,1,ICD-8
1979,116,Female,60-64,2,ICD-8
1979,116,Female,65-69,2,ICD-8
1979,116,Female,70-74,3,ICD-8
1979,116,Female,75-79,1,ICD-8
1979,116,Female,80-84,6,ICD-8
1979,116,Female,85+,5,ICD-8
1979,116,Male,35-39,1,ICD-8
1979,116,Male,40-44,1,ICD-8
1979,116,Male,45-49,4,ICD-8
1979,116,Male,50-54,5,ICD-8
1979,116,Male,55-59,3,ICD-8
1979,116,Male,60-64,5,ICD-8
1979,116,Male,65-69,10,ICD-8
1979,116,Male,70-74,12,ICD-8
1979,116,Male,75-79,13,ICD-8
1979,116,Male,80-84,10,ICD-8
1979,116,Male,85+,4,ICD-8
1979,117,Male,80-84,1,ICD-8
1979,1175,Female,20-24,1,ICD-8
1979,1175,Female,25-29,1,ICD-8
1979,1175,Male,40-44,1,ICD-8
1979,1175,Male,65-69,1,ICD-8
1979,1177,Male,10-14,1,ICD-8
1979,118,Male,60-64,1,ICD-8
1979,118,Male,80-84,1,ICD-8
1979,119,Female,10-14,1,ICD-8
1979,119,Female,15-19,1,ICD-8
1979,119,Female,20-24,1,ICD-8
1979,119,Female,25-29,1,ICD-8
1979,119,Female,40-44,3,ICD-8
1979,119,Female,45-49,4,ICD-8
1979,119,Female,50-54,8,ICD-8
1979,119,Female,55-59,9,ICD-8
1979,119,Female,60-64,6,ICD-8
1979,119,Female,65-69,8,ICD-8
1979,119,Female,70-74,18,ICD-8
1979,119,Female,75-79,17,ICD-8
1979,119,Female,80-84,17,ICD-8
1979,119,Female,85+,8,ICD-8
1979,119,Male,20-24,2,ICD-8
1979,119,Male,25-29,1,ICD-8
1979,119,Male,30-34,3,ICD-8
1979,119,Male,35-39,2,ICD-8
1979,119,Male,40-44,7,ICD-8
1979,119,Male,45-49,6,ICD-8
1979,119,Male,50-54,18,ICD-8
1979,119,Male,55-59,29,ICD-8
1979,119,Male,60-64,28,ICD-8
