year,age_group,sex,population
1911,45-54,Female,1831000
1911,55-64,Female,1223000
1911,65-74,Female,765000
1911,75-84,Female,274000
1911,85+,Female,42000
1911,0-4,Male,1969000
1911,5-14,Male,3587000
1911,15-24,Male,3156000
1911,25-34,Male,2823000
1911,35-44,Male,2354000
1911,45-54,Male,1679000
1911,55-64,Male,1088000
1911,65-74,Male,614000
1911,75-84,Male,183000
1911,85+,Male,23000
1912,0-4,Female,1921000
1912,5-14,Female,3618000
1912,15-24,Female,3323000
1912,25-34,Female,3102000
1912,35-44,Female,2571000
1912,45-54,Female,1864000
1912,55-64,Female,1252000
1912,65-74,Female,775000
1912,75-84,Female,282000
1912,85+,Female,43000
1912,0-4,Male,1941000
1912,5-14,Male,3601000
1912,15-24,Male,3154000
1912,25-34,Male,2818000
1912,35-44,Male,2391000
1912,45-54,Male,1721000
1912,55-64,Male,1114000
1912,65-74,Male,623000
1912,75-84,Male,190000
1912,85+,Male,23000
1913,0-4,Female,1902000
1913,5-14,Female,3639000
1913,15-24,Female,3328000
1913,25-34,Female,3097000
1913,35-44,Female,2611000
1913,45-54,Female,1902000
1913,55-64,Female,1281000
1913,65-74,Female,788000
1913,75-84,Female,290000
1913,85+,Female,43000
1913,0-4,Male,1928000
1913,5-14,Male,3619000
1913,15-24,Male,3163000
1913,25-34,Male,2810000
1913,35-44,Male,2428000
1913,45-54,Male,1759000
1913,55-64,Male,1138000
1913,65-74,Male,632000
1913,75-84,Male,193000
1913,85+,Male,23000
1914,0-4,Female,1895000
1914,5-14,Female,3662000
1914,15-24,Female,3347000
1914,25-34,Female,3119000
1914,35-44,Female,2659000
1914,45-54,Female,1943000
1914,55-64,Female,1313000
1914,65-74,Female,794000
1914,75-84,Female,298000
1914,85+,Female,44000
1914,0-4,Male,1918000
1914,5-14,Male,3648000
1914,15-24,Male,3197000
1914,25-34,Male,2826000
1914,35-44,Male,2464000
1914,45-54,Male,1810000
1914,55-64,Male,1166000
1914,65-74,Male,641000
1914,75-84,Male,200000
1914,85+,Male,23000
1915,0-4,Female,1887000
1915,5-14,Female,3672000
1915,15-24,Female,3364000
1915,25-34,Female,3146000
1915,35-44,Female,2712000
1915,45-54,Female,1994000
1915,55-64,Female,1348000
1915,65-74,Female,804000
1915,75-84,Female,303000
1915,85+,Female,45000
1915,0-4,Male,1906000
1915,5-14,Male,3663000
1915,15-24,Male,2301000
1915,25-34,Male,1998000
1915,35-44,Male,2245000
1915,45-54,Male,1818000
1915,55-64,Male,1207000
1915,65-74,Male,648000
1915,75-84,Male,200000
1915,85+,Male,23000
1916,0-4,Female,1853000
1916,5-14,Female,3670000
1916,15-24,Female,3406000
1916,25-34,Female,3144000
1916,35-44,Female,2757000
1916,45-54,Female,2038000
1916,55-64,Female,1378000
1916,65-74,Female,819000
1916,75-84,Female,306000
1916,85+,Female,45000
1916,0-4,Male,1871000
1916,5-14,Male,3664000
1916,15-24,Male,2046000
1916,25-34,Male,1588000
1916,35-44,Male,2110000
1916,45-54,Male,1839000
1916,55-64,Male,1224000
1916,65-74,Male,656000
1916,75-84,Male,205000
1916,85+,Male,23000
1917,0-4,Female,1795000
1917,5-14,Female,3668000
1917,15-24,Female,3425000
1917,25-34,Female,3158000
1917,35-44,Female,2794000
1917,45-54,Female,2091000
1917,55-64,Female,1409000
1917,65-74,Female,838000
1917,75-84,Female,308000
1917,85+,Female,46000
1917,0-4,Male,1813000
1917,5-14,Male,3677000
1917,15-24,Male,1898000
1917,25-34,Male,1291000
1917,35-44,Male,1967000
1917,45-54,Male,1870000
1917,55-64,Male,1253000
1917,65-74,Male,666000
1917,75-84,Male,206000
1917,85+,Male,24000
1918,0-4,Female,1689000
1918,5-14,Female,3671000
1918,15-24,Female,3440000
1918,25-34,Female,3160000
1918,35-44,Female,2823000
1918,45-54,Female,2142000
1918,55-64,Female,1442000
1918,65-74,Female,859000
1918,75-84,Female,315000
1918,85+,Female,47000
1918,0-4,Male,1710000
1918,5-14,Male,3685000
1918,15-24,Male,1937000
1918,25-34,Male,1134000
1918,35-44,Male,1890000
1918,45-54,Male,1886000
1918,55-64,Male,1283000
1918,65-74,Male,676000
1918,75-84,Male,210000
1918,85+,Male,25000
1919,0-4,Female,1567000
1919,5-14,Female,3660000
1919,15-24,Female,3443000
1919,25-34,Female,3139000
1919,35-44,Female,2833000
1919,45-54,Female,2190000
1919,55-64,Female,1472000
1919,65-74,Female,880000
1919,75-84,Female,324000
1919,85+,Female,48000
1919,0-4,Male,1594000
1919,5-14,Male,3670000
1919,15-24,Male,2540000
1919,25-34,Male,1745000
1919,35-44,Male,2102000
1919,45-54,Male,1975000
1919,55-64,Male,1316000
1919,65-74,Male,692000
1919,75-84,Male,212000
1919,85+,Male,25000
1920,0-4,Female,1603000
1920,5-14,Female,3624000
1920,15-24,Female,3460000
1920,25-34,Female,3107000
1920,35-44,Female,2852000
1920,45-54,Female,2233000
1920,55-64,Female,1499000
1920,65-74,Female,901000
1920,75-84,Female,335000
1920,85+,Female,50000
1920,0-4,Male,1639000
1920,5-14,Male,3644000
1920,15-24,Male,3028000
1920,25-34,Male,2472000
1920,35-44,Male,2436000
1920,45-54,Male,2051000
1920,55-64,Male,1357000
1920,65-74,Male,713000
1920,75-84,Male,218000
1920,85+,Male,25000
1921,0-4,Female,1663000
1921,5-14,Female,3575000
1921,15-24,Female,3478000
1921,25-34,Female,3140000
1921,35-44,Female,2850000
1921,45-54,Female,2287000
1921,55-64,Female,1530000
1921,65-74,Female,913000
1921,75-84,Female,234000
1921,85+,Female,164000
1921,0-4,Male,1704000
1921,5-14,Male,3604000
1921,15-24,Male,3176000
1921,25-34,Male,2621000
1921,35-44,Male,2496000
1921,45-54,Male,2133000
1921,55-64,Male,1383000
1921,65-74,Male,730000
1921,75-84,Male,159000
1921,85+,Male,92000
1922,0-4,Female,1714000
1922,5-14,Female,3503000
1922,15-24,Female,3486000
1922,25-34,Female,3161000
1922,35-44,Female,2863000
1922,45-54,Female,2324000
1922,55-64,Female,1565000
1922,65-74,Female,935000
1922,75-84,Female,239000
1922,85+,Female,166000
1922,0-4,Male,1759000
1922,5-14,Male,3538000
1922,15-24,Male,3239000
1922,25-34,Male,2632000
1922,35-44,Male,2497000
1922,45-54,Male,2165000
1922,55-64,Male,1415000
1922,65-74,Male,750000
1922,75-84,Male,160000
1922,85+,Male,94000
1923,0-4,Female,1786000
1923,5-14,Female,3387000
1923,15-24,Female,3506000
1923,25-34,Female,3182000
1923,35-44,Female,2871000
1923,45-54,Female,2369000
1923,55-64,Female,1602000
1923,65-74,Female,961000
1923,75-84,Female,247000
1923,85+,Female,172000
1923,0-4,Male,1835000
1923,5-14,Male,3422000
1923,15-24,Male,3301000
1923,25-34,Male,2634000
1923,35-44,Male,2496000
1923,45-54,Male,2194000
1923,55-64,Male,1451000
1923,65-74,Male,772000
1923,75-84,Male,164000
1923,85+,Male,97000
1924,0-4,Female,1844000
1924,5-14,Female,3283000
1924,15-24,Female,3537000
1924,25-34,Female,3208000
1924,35-44,Female,2881000
1924,45-54,Female,2421000
1924,55-64,Female,1644000
1924,65-74,Female,979000
1924,75-84,Female,251000
1924,85+,Female,176000
1924,0-4,Male,1894000
1924,5-14,Male,3325000
1924,15-24,Male,3401000
1924,25-34,Male,2678000
1924,35-44,Male,2502000
1924,45-54,Male,2229000
1924,55-64,Male,1487000
1924,65-74,Male,789000
1924,75-84,Male,167000
1924,85+,Male,99000
1925,0-4,Female,1763000
1925,5-14,Female,3307000
1925,15-24,Female,3534000
1925,25-34,Female,3243000
1925,35-44,Female,2884000
1925,45-54,Female,2463000
1925,55-64,Female,1680000
1925,65-74,Female,1001000
1925,75-84,Female,250000
1925,85+,Female,185000
1925,0-4,Male,1807000
1925,5-14,Male,3347000
1925,15-24,Male,3415000
1925,25-34,Male,2713000
1925,35-44,Male,2493000
1925,45-54,Male,2250000
1925,55-64,Male,1522000
1925,65-74,Male,809000
1925,75-84,Male,165000
1925,85+,Male,104000
1926,0-4,Female,1682000
1926,5-14,Female,3332000
1926,15-24,Female,3539000
1926,25-34,Female,3236000
1926,35-44,Female,2887000
1926,45-54,Female,2497000
1926,55-64,Female,1728000
1926,65-74,Female,1039000
1926,75-84,Female,261000
1926,85+,Female,191000
1926,0-4,Male,1725000
1926,5-14,Male,3380000
1926,15-24,Male,3438000
1926,25-34,Male,2736000
1926,35-44,Male,2487000
1926,45-54,Male,2270000
1926,55-64,Male,1565000
1926,65-74,Male,841000
1926,75-84,Male,172000
1926,85+,Male,108000
1927,0-4,Female,1622000
1927,5-14,Female,3339000
1927,15-24,Female,3537000
1927,25-34,Female,3258000
1927,35-44,Female,2894000
1927,45-54,Female,2531000
1927,55-64,Female,1776000
1927,65-74,Female,1061000
1927,75-84,Female,271000
1927,85+,Female,195000
1927,0-4,Male,1659000
1927,5-14,Male,3386000
1927,15-24,Male,3448000
1927,25-34,Male,2787000
1927,35-44,Male,2482000
1927,45-54,Male,2284000
1927,55-64,Male,1608000
1927,65-74,Male,858000
1927,75-84,Male,181000
1927,85+,Male,109000
1928,0-4,Female,1581000
1928,5-14,Female,3313000
1928,15-24,Female,3538000
1928,25-34,Female,3280000
1928,35-44,Female,2902000
1928,45-54,Female,2563000
1928,55-64,Female,1828000
1928,65-74,Female,1098000
1928,75-84,Female,282000
1928,85+,Female,201000
1928,0-4,Male,1615000
1928,5-14,Male,3367000
1928,15-24,Male,3447000
1928,25-34,Male,2852000
1928,35-44,Male,2484000
1928,45-54,Male,2294000
1928,55-64,Male,1649000
1928,65-74,Male,885000
1928,75-84,Male,191000
1928,85+,Male,113000
1929,0-4,Female,1539000
1929,5-14,Female,3276000
1929,15-24,Female,3545000
1929,25-34,Female,3302000
1929,35-44,Female,2923000
1929,45-54,Female,2582000
1929,55-64,Female,1871000
1929,65-74,Female,1122000
1929,75-84,Female,278000
1929,85+,Female,201000
1929,0-4,Male,1575000
1929,5-14,Male,3335000
1929,15-24,Male,3456000
1929,25-34,Male,2919000
1929,35-44,Male,2494000
1929,45-54,Male,2288000
1929,55-64,Male,1688000
1929,65-74,Male,904000
