year,age_group,sex,population
1952,15-24,Female,2838000
1952,25-34,Female,3220000
1952,35-44,Female,3329000
1952,45-54,Female,3160000
1952,55-64,Female,2577000
1952,65-74,Female,1910000
1952,75-84,Female,867000
1952,85+,Female,148000
1952,0-4,Male,1794000
1952,5-14,Male,3216000
1952,15-24,Male,2719000
1952,25-34,Male,3158000
1952,35-44,Male,3228000
1952,45-54,Male,2948000
1952,55-64,Male,2050000
1952,65-74,Male,1377000
1952,75-84,Male,555000
1952,85+,Male,65000
1953,0-4,Female,1651000
1953,5-14,Female,3176000
1953,15-24,Female,2827000
1953,25-34,Female,3245000
1953,35-44,Female,3237000
1953,45-54,Female,3194000
1953,55-64,Female,2603000
1953,65-74,Female,1927000
1953,75-84,Female,891000
1953,85+,Female,152000
1953,0-4,Male,1734000
1953,5-14,Male,3315000
1953,15-24,Male,2733000
1953,25-34,Male,3201000
1953,35-44,Male,3135000
1953,45-54,Male,3012000
1953,55-64,Male,2071000
1953,65-74,Male,1376000
1953,75-84,Male,561000
1953,85+,Male,68000
1954,0-4,Female,1623000
1954,5-14,Female,3240000
1954,15-24,Female,2820000
1954,25-34,Female,3276000
1954,35-44,Female,3140000
1954,45-54,Female,3222000
1954,55-64,Female,2633000
1954,65-74,Female,1948000
1954,75-84,Female,923000
1954,85+,Female,161000
1954,0-4,Male,1703000
1954,5-14,Male,3389000
1954,15-24,Male,2716000
1954,25-34,Male,3244000
1954,35-44,Male,3042000
1954,45-54,Male,3063000
1954,55-64,Male,2106000
1954,65-74,Male,1380000
1954,75-84,Male,571000
1954,85+,Male,74000
1955,0-4,Female,1601000
1955,5-14,Female,3296000
1955,15-24,Female,2804000
1955,25-34,Female,3176000
1955,35-44,Female,3188000
1955,45-54,Female,3243000
1955,55-64,Female,2669000
1955,65-74,Female,1962000
1955,75-84,Female,946000
1955,85+,Female,167000
1955,0-4,Male,1682000
1955,5-14,Male,3447000
1955,15-24,Male,2737000
1955,25-34,Male,3147000
1955,35-44,Male,3092000
1955,45-54,Male,3102000
1955,55-64,Male,2149000
1955,65-74,Male,1381000
1955,75-84,Male,574000
1955,85+,Male,78000
1956,0-4,Female,1604000
1956,5-14,Female,3358000
1956,15-24,Female,2778000
1956,25-34,Female,3100000
1956,35-44,Female,3216000
1956,45-54,Female,3263000
1956,55-64,Female,2703000
1956,65-74,Female,1982000
1956,75-84,Female,973000
1956,85+,Female,173000
1956,0-4,Male,1687000
1956,5-14,Male,3516000
1956,15-24,Male,2732000
1956,25-34,Male,3089000
1956,35-44,Male,3119000
1956,45-54,Male,3129000
1956,55-64,Male,2200000
1956,65-74,Male,1386000
1956,75-84,Male,579000
1956,85+,Male,80000
1957,0-4,Female,1621000
1957,5-14,Female,3387000
1957,15-24,Female,2775000
1957,25-34,Female,3038000
1957,35-44,Female,3227000
1957,45-54,Female,3273000
1957,55-64,Female,2742000
1957,65-74,Female,2009000
1957,75-84,Female,1003000
1957,85+,Female,184000
1957,0-4,Male,1707000
1957,5-14,Male,3546000
1957,15-24,Male,2757000
1957,25-34,Male,3036000
1957,35-44,Male,3124000
1957,45-54,Male,3147000
1957,55-64,Male,2261000
1957,65-74,Male,1396000
1957,75-84,Male,588000
1957,85+,Male,86000
1958,0-4,Female,1648000
1958,5-14,Female,3395000
1958,15-24,Female,2814000
1958,25-34,Female,2990000
1958,35-44,Female,3212000
1958,45-54,Female,3284000
1958,55-64,Female,2783000
1958,65-74,Female,2028000
1958,75-84,Female,1023000
1958,85+,Female,188000
1958,0-4,Male,1735000
1958,5-14,Male,3555000
1958,15-24,Male,2808000
1958,25-34,Male,2985000
1958,35-44,Male,3110000
1958,45-54,Male,3161000
1958,55-64,Male,2318000
1958,65-74,Male,1396000
1958,75-84,Male,588000
1958,85+,Male,88000
1959,0-4,Female,1681000
1959,5-14,Female,3388000
1959,15-24,Female,2886000
1959,25-34,Female,2941000
1959,35-44,Female,3195000
1959,45-54,Female,3295000
1959,55-64,Female,2826000
1959,65-74,Female,2052000
1959,75-84,Female,1044000
1959,85+,Female,193000
1959,0-4,Male,1771000
1959,5-14,Male,3548000
1959,15-24,Male,2895000
1959,25-34,Male,2943000
1959,35-44,Male,3095000
1959,45-54,Male,3171000
1959,55-64,Male,2382000
1959,65-74,Male,1401000
1959,75-84,Male,589000
1959,85+,Male,90000
1960,0-4,Female,1726000
1960,5-14,Female,3388000
1960,15-24,Female,2967000
1960,25-34,Female,2907000
1960,35-44,Female,3171000
1960,45-54,Female,3301000
1960,55-64,Female,2862000
1960,65-74,Female,2082000
1960,75-84,Female,1066000
1960,85+,Female,208000
1960,0-4,Male,1821000
1960,5-14,Male,3550000
1960,15-24,Male,2985000
1960,25-34,Male,2930000
1960,35-44,Male,3094000
1960,45-54,Male,3166000
1960,55-64,Male,2453000
1960,65-74,Male,1409000
1960,75-84,Male,595000
1960,85+,Male,94000
1961,0-4,Female,1778200
1961,5-14,Female,3391100
1961,15-24,Female,3050300
1961,25-34,Female,2882300
1961,35-44,Female,3166200
1961,45-54,Female,3282700
1961,55-64,Female,2893300
1961,65-74,Female,2104600
1961,75-84,Female,1083100
1961,85+,Female,217400
1961,0-4,Male,1877900
1961,5-14,Male,3559200
1961,15-24,Male,3080200
1961,25-34,Male,2942900
1961,35-44,Male,3126600
1961,45-54,Male,3130900
1961,55-64,Male,2521400
1961,65-74,Male,1420700
1961,75-84,Male,595000
1961,85+,Male,92200
1962,0-4,Female,1842500
1962,5-14,Female,3324600
1962,15-24,Female,3178800
1962,25-34,Female,2885300
1962,35-44,Female,3176900
1962,45-54,Female,3236600
1962,55-64,Female,2929800
1962,65-74,Female,2125000
1962,75-84,Female,1101800
1962,85+,Female,224700
1962,0-4,Male,1945900
1962,5-14,Male,3504800
1962,15-24,Male,3243600
1962,25-34,Male,2967100
1962,35-44,Male,3159200
1962,45-54,Male,3098400
1962,55-64,Male,2586200
1962,65-74,Male,1436500
1962,75-84,Male,595400
1962,85+,Male,94300
1963,0-4,Female,1900600
1963,5-14,Female,3292800
1963,15-24,Female,3271600
1963,25-34,Female,2882100
1963,35-44,Female,3209800
1963,45-54,Female,3151800
1963,55-64,Female,2978500
1963,65-74,Female,2147400
1963,75-84,Female,1122000
1963,85+,Female,229800
1963,0-4,Male,2000700
1963,5-14,Male,3481900
1963,15-24,Male,3340300
1963,25-34,Male,2959600
1963,35-44,Male,3191400
1963,45-54,Male,3020900
1963,55-64,Male,2650200
1963,65-74,Male,1451700
1963,75-84,Male,595500
1963,85+,Male,94300
1964,0-4,Female,1955400
1964,5-14,Female,3295600
1964,15-24,Female,3325800
1964,25-34,Female,2870900
1964,35-44,Female,3235400
1964,45-54,Female,3074600
1964,55-64,Female,3020400
1964,65-74,Female,2174400
1964,75-84,Female,1151600
1964,85+,Female,241600
1964,0-4,Male,2049400
1964,5-14,Male,3491800
1964,15-24,Male,3413800
1964,25-34,Male,2959600
1964,35-44,Male,3221900
1964,45-54,Male,2954100
1964,55-64,Male,2708100
1964,65-74,Male,1476800
1964,75-84,Male,605500
1964,85+,Male,97500
1965,0-4,Female,2005800
1965,5-14,Female,3318300
1965,15-24,Female,3367900
1965,25-34,Female,2870000
1965,35-44,Female,3154000
1965,45-54,Female,3108800
1965,55-64,Female,3048800
1965,65-74,Female,2216900
1965,75-84,Female,1176900
1965,85+,Female,253200
1965,0-4,Male,2094800
1965,5-14,Male,3522200
1965,15-24,Male,3469900
1965,25-34,Male,2951100
1965,35-44,Male,3145500
1965,45-54,Male,2992000
1965,55-64,Male,2744900
1965,65-74,Male,1517100
1965,75-84,Male,613500
1965,85+,Male,99600
1966,0-4,Female,2029500
1966,5-14,Female,3362900
1966,15-24,Female,3443100
1966,25-34,Female,2860900
1966,35-44,Female,3081300
1966,45-54,Female,3133700
1966,55-64,Female,3058900
1966,65-74,Female,2252300
1966,75-84,Female,1187400
1966,85+,Female,260700
1966,0-4,Male,2121900
1966,5-14,Male,3566300
1966,15-24,Male,3529500
1966,25-34,Male,2961600
1966,35-44,Male,3092100
1966,45-54,Male,3018300
1966,55-64,Male,2753200
1966,65-74,Male,1546500
1966,75-84,Male,607000
1966,85+,Male,99400
1967,0-4,Female,2036000
1967,5-14,Female,3431700
1967,15-24,Female,3481300
1967,25-34,Female,2863200
1967,35-44,Female,3018300
1967,45-54,Female,3144200
1967,55-64,Female,3070700
1967,65-74,Female,2288400
1967,75-84,Female,1214200
1967,85+,Female,272700
1967,0-4,Male,2127100
1967,5-14,Male,3634800
1967,15-24,Male,3575900
1967,25-34,Male,2961900
1967,35-44,Male,3041200
1967,45-54,Male,3025300
1967,55-64,Male,2769000
1967,65-74,Male,1594600
1967,75-84,Male,619600
1967,85+,Male,102000
1968,0-4,Female,2035000
1968,5-14,Female,3520000
1968,15-24,Female,3497300
1968,25-34,Female,2890400
1968,35-44,Female,2967500
1968,45-54,Female,3123300
1968,55-64,Female,3081100
1968,65-74,Female,2329100
1968,75-84,Female,1236200
1968,85+,Female,277200
1968,0-4,Male,2114400
1968,5-14,Male,3723300
1968,15-24,Male,3584900
1968,25-34,Male,2987800
1968,35-44,Male,2992400
1968,45-54,Male,3005800
1968,55-64,Male,2781900
1968,65-74,Male,1635600
1968,75-84,Male,626000
1968,85+,Male,101500
1969,0-4,Female,2017000
1969,5-14,Female,3601200
1969,15-24,Female,3496000
1969,25-34,Female,2936700
1969,35-44,Female,2916000
1969,45-54,Female,3099600
1969,55-64,Female,3089000
1969,65-74,Female,2371700
1969,75-84,Female,1258200
1969,85+,Female,286400
1969,0-4,Male,2087800
1969,5-14,Male,3810000
1969,15-24,Male,3593200
1969,25-34,Male,3031800
1969,35-44,Male,2943900
1969,45-54,Male,2985700
1969,55-64,Male,2794500
1969,65-74,Male,1682900
1969,75-84,Male,634000
1969,85+,Male,102600
1970,0-4,Female,1968400
1970,5-14,Female,3691600
1970,15-24,Female,3497000
1970,25-34,Female,2979700
1970,35-44,Female,2875000
1970,45-54,Female,3073400
1970,55-64,Female,3085600
1970,65-74,Female,2408200
1970,75-84,Female,1278500
1970,85+,Female,295700
1970,0-4,Male,2040200
1970,5-14,Male,3893600
1970,15-24,Male,3598300
1970,25-34,Male,3068700
1970,35-44,Male,2909800
1970,45-54,Male,2963300
1970,55-64,Male,2794300
1970,65-74,Male,1725100
1970,75-84,Male,641800
1970,85+,Male,103100
1971,0-4,Female,1923800
1971,5-14,Female,3748500
1971,15-24,Female,3501700
1971,25-34,Female,3035600
1971,35-44,Female,2844600
1971,45-54,Female,3074200
1971,55-64,Female,3061700
1971,65-74,Female,2450200
1971,75-84,Female,1289400
1971,85+,Female,325300
1971,0-4,Male,2027600
1971,5-14,Male,3956600
1971,15-24,Male,3615100
1971,25-34,Male,3128600
1971,35-44,Male,2891300
1971,45-54,Male,2977400
1971,55-64,Male,2773500
1971,65-74,Male,1777900
1971,75-84,Male,636600
1971,85+,Male,112400
1972,0-4,Female,1877300
1972,5-14,Female,3816300
1972,15-24,Female,3421200
1972,25-34,Female,3172200
1972,35-44,Female,2826300
1972,45-54,Female,3084300
1972,55-64,Female,3014000
1972,65-74,Female,2482000
1972,75-84,Female,1310000
1972,85+,Female,334900
1972,0-4,Male,1977000
1972,5-14,Male,4022800
1972,15-24,Male,3543500
1972,25-34,Male,3261800
1972,35-44,Male,2881800
1972,45-54,Male,2995700
1972,55-64,Male,2728000
1972,65-74,Male,1821400
1972,75-84,Male,642900
1972,85+,Male,113700
1973,0-4,Female,1819500
1973,5-14,Female,3863000
1973,15-24,Female,3387400
1973,25-34,Female,3274500
1973,35-44,Female,2818600
1973,45-54,Female,3117700
1973,55-64,Female,2931800
1973,65-74,Female,2516700
1973,75-84,Female,1324600
1973,85+,Female,344700
1973,0-4,Male,1920000
1973,5-14,Male,4067800
1973,15-24,Male,3514800
1973,25-34,Male,3353500
1973,35-44,Male,2883200
1973,45-54,Male,3038600
1973,55-64,Male,2652400
1973,65-74,Male,1868600
1973,75-84,Male,647100
1973,85+,Male,114500
1974,0-4,Female,1738500
1974,5-14,Female,3888800
1974,15-24,Female,3386600
1974,25-34,Female,3330100
1974,35-44,Female,2806800
1974,45-54,Female,3141200
1974,55-64,Female,2854400
1974,65-74,Female,2549800
1974,75-84,Female,1343300
1974,85+,Female,353900
1974,0-4,Male,1837000
1974,5-14,Male,4094800
1974,15-24,Male,3519700
1974,25-34,Male,3413600
1974,35-44,Male,2877900
1974,45-54,Male,3068500
1974,55-64,Male,2580800
1974,65-74,Male,1911200
1974,75-84,Male,654400
1974,85+,Male,116600
1975,0-4,Female,1663500
1975,5-14,Female,3885700
1975,15-24,Female,3412700
1975,25-34,Female,3378300
1975,35-44,Female,2790100
1975,45-54,Female,3051900
1975,55-64,Female,2894300
1975,65-74,Female,2567700
1975,75-84,Female,1373700
1975,85+,Female,360500
1975,0-4,Male,1759100
1975,5-14,Male,4095000
1975,15-24,Male,3550800
1975,25-34,Male,3468000
1975,35-44,Male,2871600
1975,45-54,Male,2993300
1975,55-64,Male,2622000
1975,65-74,Male,1942200
1975,75-84,Male,671700
1975,85+,Male,117700
1976,0-4,Female,1568600
1976,5-14,Female,3875900
1976,15-24,Female,3466700
1976,25-34,Female,3446900
1976,35-44,Female,2764600
1976,45-54,Female,2979200
1976,55-64,Female,2921700
1976,65-74,Female,2577200
1976,75-84,Female,1402700
1976,85+,Female,366600
1976,0-4,Male,1657700
1976,5-14,Male,4090800
1976,15-24,Male,3609800
1976,25-34,Male,3531800
1976,35-44,Male,2843000
1976,45-54,Male,2933600
1976,55-64,Male,2649800
1976,65-74,Male,1963100
1976,75-84,Male,690300
1976,85+,Male,119200
1977,0-4,Female,1483100
1977,5-14,Female,3837200
1977,15-24,Female,3536200
1977,25-34,Female,3490800
1977,35-44,Female,2767700
1977,45-54,Female,2920100
1977,55-64,Female,2932700
1977,65-74,Female,2589900
1977,75-84,Female,1431100
1977,85+,Female,375400
1977,0-4,Male,1567800
1977,5-14,Male,4054200
1977,15-24,Male,3678700
1977,25-34,Male,3567200
1977,35-44,Male,2842900
1977,45-54,Male,2884300
1977,55-64,Male,2663300
1977,65-74,Male,1981900
1977,75-84,Male,715800
1977,85+,Male,120100
1978,0-4,Female,1430300
1978,5-14,Female,3774200
1978,15-24,Female,3610700
1978,25-34,Female,3509900
1978,35-44,Female,2808800
1978,45-54,Female,2871400
1978,55-64,Female,2917200
1978,65-74,Female,2604000
1978,75-84,Female,1463600
1978,85+,Female,385100
1978,0-4,Male,1508800
1978,5-14,Male,3987400
1978,15-24,Male,3749600
1978,25-34,Male,3580100
1978,35-44,Male,2879900
1978,45-54,Male,2845000
1978,55-64,Male,2653400
1978,65-74,Male,1999700
1978,75-84,Male,741500
1978,85+,Male,121900
1979,0-4,Female,1424200
1979,5-14,Female,3674900
1979,15-24,Female,3688900
1979,25-34,Female,3514500
1979,35-44,Female,2870200
1979,45-54,Female,2824600
1979,55-64,Female,2895300
1979,65-74,Female,2615300
1979,75-84,Female,1495300
1979,85+,Female,391900
1979,0-4,Male,1502100
1979,5-14,Male,3883700
1979,15-24,Male,3839500
1979,25-34,Male,3585900
1979,35-44,Male,2940900
1979,45-54,Male,2810300
1979,55-64,Male,2643600
1979,65-74,Male,2016200
1979,75-84,Male,767600
1979,85+,Male,123300
1980,0-4,Female,1438600
1980,5-14,Female,3565000
1980,15-24,Female,3784800
1980,25-34,Female,3515700
1980,35-44,Female,2921800
1980,45-54,Female,2793700
1980,55-64,Female,2872900
1980,65-74,Female,2619800
1980,75-84,Female,1532200
1980,85+,Female,403000
1980,0-4,Male,1516800
1980,5-14,Male,3762300
1980,15-24,Male,3936900
1980,25-34,Male,3578800
1980,35-44,Male,2988400
1980,45-54,Male,2786100
1980,55-64,Male,2635800
1980,65-74,Male,2028400
1980,75-84,Male,795400
1980,85+,Male,126600
1981,0-4,Female,1463500
1981,5-14,Female,3446400
1981,15-24,Female,3862700
1981,25-34,Female,3517200
1981,35-44,Female,2972100
1981,45-54,Female,2767900
1981,55-64,Female,2866700
1981,65-74,Female,2599300
1981,75-84,Female,1563800
1981,85+,Female,414600
1981,0-4,Male,1542000
1981,5-14,Male,3638600
1981,15-24,Male,4010800
1981,25-34,Male,3569100
1981,35-44,Male,3023900
1981,45-54,Male,2763800
1981,55-64,Male,2641300
1981,65-74,Male,2019800
1981,75-84,Male,824800
1981,85+,Male,126000
1982,0-4,Female,1491600
1982,5-14,Female,3318500
1982,15-24,Female,3914000
1982,25-34,Female,3425800
1982,35-44,Female,3105700
1982,45-54,Female,2751000
1982,55-64,Female,2875900
1982,65-74,Female,2556400
1982,75-84,Female,1595900
1982,85+,Female,427600
1982,0-4,Male,1569900
1982,5-14,Male,3498700
1982,15-24,Male,4054600
1982,25-34,Male,3463600
1982,35-44,Male,3150200
1982,45-54,Male,2751700
1982,55-64,Male,2660800
1982,65-74,Male,1989700
1982,75-84,Male,852200
1982,85+,Male,128300
1983,0-4,Female,1519200
1983,5-14,Female,3209100
1983,15-24,Female,3955200
1983,25-34,Female,3387300
1983,35-44,Female,3203300
1983,45-54,Female,2744800
1983,55-64,Female,2906900
1983,65-74,Female,2485500
1983,75-84,Female,1632100
1983,85+,Female,440300
1983,0-4,Male,1597200
1983,5-14,Male,3382400
1983,15-24,Male,4087900
1983,25-34,Male,3428700
1983,35-44,Male,3239200
1983,45-54,Male,2750800
1983,55-64,Male,2699700
1983,65-74,Male,1934600
1983,75-84,Male,881500
1983,85+,Male,131100
1984,0-4,Female,1526300
1984,5-14,Female,3130200
1984,15-24,Female,3978100
1984,25-34,Female,3398100
1984,35-44,Female,3276200
1984,45-54,Female,2740000
1984,55-64,Female,2933200
1984,65-74,Female,2423600
1984,75-84,Female,1666100
1984,85+,Female,456600
1984,0-4,Male,1602200
1984,5-14,Male,3299600
1984,15-24,Male,4106900
1984,25-34,Male,3446600
1984,35-44,Male,3311900
1984,45-54,Male,2750100
1984,55-64,Male,2731200
1984,65-74,Male,1890300
1984,75-84,Male,910500
1984,85+,Male,135400
1985,0-4,Female,1534900
1985,5-14,Female,3084300
1985,15-24,Female,3983900
1985,25-34,Female,3437000
1985,35-44,Female,3344900
1985,45-54,Female,2730100
1985,55-64,Female,2858500
1985,65-74,Female,2467700
1985,75-84,Female,1688700
1985,85+,Female,476400
1985,0-4,Male,1610300
1985,5-14,Male,3248800
1985,15-24,Male,4105100
1985,25-34,Male,3484000
1985,35-44,Male,3371600
1985,45-54,Male,2747300
1985,55-64,Male,2673000
1985,65-74,Male,1937900
1985,75-84,Male,934000
1985,85+,Male,142300
1986,0-4,Female,1549700
1986,5-14,Female,3032400
1986,15-24,Female,3977900
1986,25-34,Female,3509300
1986,35-44,Female,3417600
1986,45-54,Female,2706000
1986,55-64,Female,2798900
1986,65-74,Female,2497900
1986,75-84,Female,1704200
1986,85+,Female,493800
1986,0-4,Male,1627200
1986,5-14,Male,3193900
1986,15-24,Male,4082700
1986,25-34,Male,3542300
1986,35-44,Male,3438100
1986,45-54,Male,2724600
1986,55-64,Male,2630900
1986,65-74,Male,1971800
1986,75-84,Male,950500
1986,85+,Male,149400
1987,0-4,Female,1571500
1987,5-14,Female,2994200
1987,15-24,Female,3932700
1987,25-34,Female,3591900
1987,35-44,Female,3463600
1987,45-54,Female,2709700
1987,55-64,Female,2746300
1987,65-74,Female,2509800
1987,75-84,Female,1719100
1987,85+,Female,513500
1987,0-4,Male,1647600
1987,5-14,Male,3150500
1987,15-24,Male,4038900
1987,25-34,Male,3615200
1987,35-44,Male,3476000
1987,45-54,Male,2726900
1987,55-64,Male,2592200
1987,65-74,Male,1993200
1987,75-84,Male,971600
1987,85+,Male,158500
1988,0-4,Female,1601400
1988,5-14,Female,2976400
1988,15-24,Female,3854500
1988,25-34,Female,3673600
1988,35-44,Female,3487800
1988,45-54,Female,2749400
1988,55-64,Female,2702700
1988,65-74,Female,2504700
1988,75-84,Female,1736000
1988,85+,Female,533600
1988,0-4,Male,1677000
1988,5-14,Male,3127500
1988,15-24,Male,3962700
1988,25-34,Male,3686200
1988,35-44,Male,3491500
1988,45-54,Male,2766500
1988,55-64,Male,2564500
1988,65-74,Male,1999100
1988,75-84,Male,991000
1988,85+,Male,167500
1989,0-4,Female,1629800
1989,5-14,Female,2980000
1989,15-24,Female,3753200
1989,25-34,Female,3763100
1989,35-44,Female,3495600
1989,45-54,Female,2808700
1989,55-64,Female,2663100
1989,65-74,Female,2492600
1989,75-84,Female,1756100
1989,85+,Female,556100
1989,0-4,Male,1705100
1989,5-14,Male,3128400
1989,15-24,Male,3854900
1989,25-34,Male,3769600
1989,35-44,Male,3494300
1989,45-54,Male,2824100
1989,55-64,Male,2540700
1989,65-74,Male,2004500
1989,75-84,Male,1011100
1989,85+,Male,176800
1990,0-4,Female,1646000
1990,5-14,Female,3008000
1990,15-24,Female,3637600
1990,25-34,Female,3858600
1990,35-44,Female,3502800
1990,45-54,Female,2861000
1990,55-64,Female,2634000
1990,65-74,Female,2477900
1990,75-84,Female,1764600
1990,85+,Female,573400
1990,0-4,Male,1720200
1990,5-14,Male,3155200
1990,15-24,Male,3751800
1990,25-34,Male,3857500
1990,35-44,Male,3497000
1990,45-54,Male,2871400
1990,55-64,Male,2526500
1990,65-74,Male,2010000
1990,75-84,Male,1023400
1990,85+,Male,183800
1991,0-4,Female,1670000
1991,5-14,Female,3050300
1991,15-24,Female,3527100
1991,25-34,Female,3942600
1991,35-44,Female,3517300
1991,45-54,Female,2914500
1991,55-64,Female,2612800
1991,65-74,Female,2479100
1991,75-84,Female,1760600
1991,85+,Female,592500
1991,0-4,Male,1741100
1991,5-14,Male,3197600
1991,15-24,Male,3638000
1991,25-34,Male,3919600
1991,35-44,Male,3504500
1991,45-54,Male,2919200
1991,55-64,Male,2513500
1991,65-74,Male,2027400
1991,75-84,Male,1029400
1991,85+,Male,191300
1992,0-4,Female,1681300
1992,5-14,Female,3102300
1992,15-24,Female,3405700
1992,25-34,Female,3993000
1992,35-44,Female,3449700
1992,45-54,Female,3056300
1992,55-64,Female,2602100
1992,65-74,Female,2489400
1992,75-84,Female,1738100
1992,85+,Female,614100
1992,0-4,Male,1754800
1992,5-14,Male,3239000
1992,15-24,Male,3490700
1992,25-34,Male,3970900
1992,35-44,Male,3426200
1992,45-54,Male,3056100
1992,55-64,Male,2510400
1992,65-74,Male,2049400
1992,75-84,Male,1023100
1992,85+,Male,201600
1993,0-4,Female,1669400
1993,5-14,Female,3161300
1993,15-24,Female,3301500
1993,25-34,Female,4019100
1993,35-44,Female,3428300
1993,45-54,Female,3159700
1993,55-64,Female,2603500
1993,65-74,Female,2518300
1993,75-84,Female,1692800
1993,85+,Female,639400
1993,0-4,Male,1745300
1993,5-14,Male,3305200
1993,15-24,Male,3388200
1993,25-34,Male,3991700
1993,35-44,Male,3396300
1993,45-54,Male,3149000
1993,55-64,Male,2518400
1993,65-74,Male,2082900
1993,75-84,Male,1001300
1993,85+,Male,214500
1994,0-4,Female,1661900
1994,5-14,Female,3191800
1994,15-24,Female,3228400
1994,25-34,Female,4049300
1994,35-44,Female,3443300
1994,45-54,Female,3235200
1994,55-64,Female,2605200
1994,65-74,Female,2538600
1994,75-84,Female,1655600
1994,85+,Female,654000
1994,0-4,Male,1741300
1994,5-14,Male,3335000
1994,15-24,Male,3304500
1994,25-34,Male,4009600
1994,35-44,Male,3401400
1994,45-54,Male,3218700
1994,55-64,Male,2527100
1994,65-74,Male,2108500
1994,75-84,Male,984600
1994,85+,Male,222300
1995,0-4,Female,1642900
1995,5-14,Female,3212700
1995,15-24,Female,3185800
1995,25-34,Female,4055900
1995,35-44,Female,3470200
1995,45-54,Female,3301000
1995,55-64,Female,2600700
1995,65-74,Female,2483200
1995,75-84,Female,1701000
1995,85+,Female,672200
1995,0-4,Male,1724300
1995,5-14,Male,3358100
1995,15-24,Male,3256100
1995,25-34,Male,4022200
1995,35-44,Male,3432700
1995,45-54,Male,3279600
1995,55-64,Male,2531000
1995,65-74,Male,2078400
1995,75-84,Male,1030900
1995,85+,Male,233100
1996,0-4,Female,1610100
1996,5-14,Female,3242600
1996,15-24,Female,3134400
1996,25-34,Female,4055500
1996,35-44,Female,3527700
1996,45-54,Female,3369800
1996,55-64,Female,2586100
1996,65-74,Female,2436700
1996,75-84,Female,1734000
1996,85+,Female,683700
1996,0-4,Male,1694700
1996,5-14,Male,3393200
1996,15-24,Male,3201900
1996,25-34,Male,4020100
1996,35-44,Male,3489100
1996,45-54,Male,3344000
1996,55-64,Male,2519800
1996,65-74,Male,2059200
1996,75-84,Male,1067200
1996,85+,Male,240500
1997,0-4,Female,1589300
1997,5-14,Female,3271300
1997,15-24,Female,3094900
1997,25-34,Female,4033100
1997,35-44,Female,3599000
1997,45-54,Female,3417000
1997,55-64,Female,2596700
1997,65-74,Female,2398900
1997,75-84,Female,1751900
1997,85+,Female,694300
1997,0-4,Male,1673400
1997,5-14,Male,3426800
1997,15-24,Male,3156900
1997,25-34,Male,3995400
1997,35-44,Male,3555600
1997,45-54,Male,3383300
1997,55-64,Male,2530300
1997,65-74,Male,2047200
1997,75-84,Male,1095000
1997,85+,Male,249300
1998,0-4,Female,1571600
1998,5-14,Female,3289500
1998,15-24,Female,3077400
1998,25-34,Female,3983000
1998,35-44,Female,3676900
1998,45-54,Female,3440200
1998,55-64,Female,2639900
1998,65-74,Female,2370100
1998,75-84,Female,1759600
1998,85+,Female,711200
1998,0-4,Male,1654000
1998,5-14,Male,3450900
1998,15-24,Male,3134500
1998,25-34,Male,3942300
1998,35-44,Male,3627400
1998,45-54,Male,3400400
1998,55-64,Male,2574000
1998,65-74,Male,2041200
1998,75-84,Male,1115500
1998,85+,Male,260500
1999,0-4,Female,1555600
1999,5-14,Female,3308000
1999,15-24,Female,3083500
1999,25-34,Female,3920100
1999,35-44,Female,3763100
1999,45-54,Female,3455800
1999,55-64,Female,2699100
1999,65-74,Female,2344700
1999,75-84,Female,1759100
1999,85+,Female,721100
1999,0-4,Male,1635700
1999,5-14,Male,3471200
1999,15-24,Male,3144500
1999,25-34,Male,3880300
1999,35-44,Male,3711400
1999,45-54,Male,3410200
1999,55-64,Male,2632900
1999,65-74,Male,2036300
1999,75-84,Male,1131700
1999,85+,Male,269300
2000,0-4,Female,1537300
2000,5-14,Female,3295500
2000,15-24,Female,3102700
2000,25-34,Female,3859200
2000,35-44,Female,3858900
2000,45-54,Female,3468000
2000,55-64,Female,2758900
2000,65-74,Female,2332100
2000,75-84,Female,1758300
2000,85+,Female,731000
2000,0-4,Male,1613300
2000,5-14,Male,3461900
2000,15-24,Male,3171900
2000,25-34,Male,3822700
2000,35-44,Male,3801800
2000,45-54,Male,3412800
2000,55-64,Male,2687900
2000,65-74,Male,2040200
2000,75-84,Male,1148500
2000,85+,Male,277000
2001,0-4,Female,1508558
2001,5-14,Female,3287150
2001,15-24,Female,3156103
2001,25-34,Female,3778086
2001,35-44,Female,3935334
2001,45-54,Female,3471461
2001,55-64,Female,2817351
2001,65-74,Female,2325765
2001,75-84,Female,1771369
2001,85+,Female,734543
2001,0-4,Male,1582445
2001,5-14,Male,3453218
2001,15-24,Male,3231330
2001,25-34,Male,3757977
2001,35-44,Male,3880885
2001,45-54,Male,3414789
2001,55-64,Male,2743724
2001,65-74,Male,2051619
2001,75-84,Male,1175319
2001,85+,Male,282952
2002,0-4,Female,1487644
2002,5-14,Female,3285779
2002,15-24,Female,3220916
2002,25-34,Female,3691184
2002,35-44,Female,4009201
2002,45-54,Female,3415813
2002,55-64,Female,2943581
2002,65-74,Female,2326078
2002,75-84,Female,1784751
2002,85+,Female,729078
2002,0-4,Male,1556684
2002,5-14,Male,3448481
2002,15-24,Male,3303080
2002,25-34,Male,3674220
2002,35-44,Male,3960790
2002,45-54,Male,3351214
2002,55-64,Male,2863412
2002,65-74,Male,2065851
