cause,icd_version,cause_description,level1_code,level1_name
1a,ICD-3 (1921-1930),Typhoid fever,infectious_communicable,Infectious and Communicable Diseases
1b,ICD-3 (1921-1930),Paratyphoid fever,infectious_communicable,Infectious and Communicable Diseases
2,ICD-3 (1921-1930),Typhus fever,infectious_communicable,Infectious and Communicable Diseases
3,ICD-3 (1921-1930),Relapsing fever,infectious_communicable,Infectious and Communicable Diseases
4,ICD-3 (1921-1930),Mediterranean fever,infectious_communicable,Infectious and Communicable Diseases
5,ICD-3 (1921-1930),Malaria,infectious_communicable,Infectious and Communicable Diseases
6,ICD-3 (1921-1930),Small pox,infectious_communicable,Infectious and Communicable Diseases
7,ICD-3 (1921-1930),Measles,infectious_communicable,Infectious and Communicable Diseases
8,ICD-3 (1921-1930),Scarlet fever,infectious_communicable,Infectious and Communicable Diseases
9,ICD-3 (1921-1930),Whooping cough,infectious_communicable,Infectious and Communicable Diseases
10,ICD-3 (1921-1930),Diphtheria,infectious_communicable,Infectious and Communicable Diseases
11a(1),ICD-3 (1921-1930),Influenza with pulmonary and pneumonic complications,infectious_communicable,Infectious and Communicable Diseases
11a(2),ICD-3 (1921-1930),Influenza with other pulmonary complications,infectious_communicable,Infectious and Communicable Diseases
11b(1),ICD-3 (1921-1930),Influenza with non-pulmonary complications,infectious_communicable,Infectious and Communicable Diseases
11b(2),ICD-3 (1921-1930),Influenza without stated complications,infectious_communicable,Infectious and Communicable Diseases
12,ICD-3 (1921-1930),Miliary fever,infectious_communicable,Infectious and Communicable Diseases
13,ICD-3 (1921-1930),Mumps,infectious_communicable,Infectious and Communicable Diseases
14,ICD-3 (1921-1930),Asiatic cholera,infectious_communicable,Infectious and Communicable Diseases
15,ICD-3 (1921-1930),Cholera nostras,infectious_communicable,Infectious and Communicable Diseases
16a,ICD-3 (1921-1930),Amoebic dysentery,infectious_communicable,Infectious and Communicable Diseases
16b,ICD-3 (1921-1930),Bacillary dysentery,infectious_communicable,Infectious and Communicable Diseases
16c,ICD-3 (1921-1930),Other or unspecified dysentery,infectious_communicable,Infectious and Communicable Diseases
17a,ICD-3 (1921-1930),Bubonic plague,infectious_communicable,Infectious and Communicable Diseases
17b,ICD-3 (1921-1930),Pneumonic plague,infectious_communicable,Infectious and Communicable Diseases
17c,ICD-3 (1921-1930),Septicaemic plague,infectious_communicable,Infectious and Communicable Diseases
17d,ICD-3 (1921-1930),Plague not otherwise defined,infectious_communicable,Infectious and Communicable Diseases
18,ICD-3 (1921-1930),Yellow fever,infectious_communicable,Infectious and Communicable Diseases
19,ICD-3 (1921-1930),Spirochaetosis ictero-haemorrhagica,infectious_communicable,Infectious and Communicable Diseases
20,ICD-3 (1921-1930),Leprosy,infectious_communicable,Infectious and Communicable Diseases
21,ICD-3 (1921-1930),Erysipelas,chronic_ncd,Chronic Non-Communicable Diseases
22(1),ICD-3 (1921-1930),Acute poliomyelitis,chronic_ncd,Chronic Non-Communicable Diseases
22(2),ICD-3 (1921-1930),Acute polioencephalitis,chronic_ncd,Chronic Non-Communicable Diseases
23,ICD-3 (1921-1930),Encephalitis lethargica,infectious_communicable,Infectious and Communicable Diseases
24,ICD-3 (1921-1930),Meningococcal meningitis,infectious_communicable,Infectious and Communicable Diseases
25(1),ICD-3 (1921-1930),German measles,infectious_communicable,Infectious and Communicable Diseases
25(2),ICD-3 (1921-1930),Varicella,infectious_communicable,Infectious and Communicable Diseases
25(3),ICD-3 (1921-1930),Other epidemic and endemic diseases,infectious_communicable,Infectious and Communicable Diseases
26,ICD-3 (1921-1930),Glanders,infectious_communicable,Infectious and Communicable Diseases
27,ICD-3 (1921-1930),Anthrax,infectious_communicable,Infectious and Communicable Diseases
28,ICD-3 (1921-1930),Rabies,infectious_communicable,Infectious and Communicable Diseases
29,ICD-3 (1921-1930),Tetanus,infectious_communicable,Infectious and Communicable Diseases
30(1),ICD-3 (1921-1930),Actinomycosis,infectious_communicable,Infectious and Communicable Diseases
30(2),ICD-3 (1921-1930),Other mycoses,infectious_communicable,Infectious and Communicable Diseases
31,ICD-3 (1921-1930),Tuberculosis of the respiratory system,infectious_communicable,Infectious and Communicable Diseases
32,ICD-3 (1921-1930),Tuberculosis of the central nervous system,infectious_communicable,Infectious and Communicable Diseases
33,ICD-3 (1921-1930),Tuberculosis of the intestines and peritoneum,infectious_communicable,Infectious and Communicable Diseases
34,ICD-3 (1921-1930),Tuberculosis of the vertebral column,infectious_communicable,Infectious and Communicable Diseases
35,ICD-3 (1921-1930),Tuberculosis of the joints,infectious_communicable,Infectious and Communicable Diseases
36a,ICD-3 (1921-1930),Tuberculosis of the skin and subcutaneous tissue,infectious_communicable,Infectious and Communicable Diseases
36b,ICD-3 (1921-1930),Tuberculosis of the bones (vertebral column excepted),infectious_communicable,Infectious and Communicable Diseases
36c,ICD-3 (1921-1930),Tuberculosis of the lymphatic system (abdominal glands excepted),infectious_communicable,Infectious and Communicable Diseases
36d,ICD-3 (1921-1930),Tuberculosis of the genito-urinary system,infectious_communicable,Infectious and Communicable Diseases
36e,ICD-3 (1921-1930),Tuberculosis of other sites,infectious_communicable,Infectious and Communicable Diseases
37a,ICD-3 (1921-1930),Disseminated tuberculosis acute,infectious_communicable,Infectious and Communicable Diseases
37b,ICD-3 (1921-1930),Disseminated tuberculosis chronic or unstated,infectious_communicable,Infectious and Communicable Diseases
38,ICD-3 (1921-1930),Syphilis,infectious_communicable,Infectious and Communicable Diseases
39,ICD-3 (1921-1930),Soft chancre,infectious_communicable,Infectious and Communicable Diseases
40(1),ICD-3 (1921-1930),Gonococcal infection (ophthalmia excepted),infectious_communicable,Infectious and Communicable Diseases
40(2),ICD-3 (1921-1930),Gonorrhoeal or purulent ophthalmia,infectious_communicable,Infectious and Communicable Diseases
41*,ICD-3 (1921-1930),"Purulent infection, septicaemia",infectious_communicable,Infectious and Communicable Diseases
42(1),ICD-3 (1921-1930),Vaccinia*,chronic_ncd,Chronic Non-Communicable Diseases
42(2),ICD-3 (1921-1930),Other infectious diseases,infectious_communicable,Infectious and Communicable Diseases
43,ICD-3 (1921-1930),Cancer of the buccal cavity,chronic_ncd,Chronic Non-Communicable Diseases
44,ICD-3 (1921-1930),"Cancer of the pharynx, oesophagus, stomach, liver and annexa",chronic_ncd,Chronic Non-Communicable Diseases
45,ICD-3 (1921-1930),"Cancer of the peritoneum, intestines and rectum",chronic_ncd,Chronic Non-Communicable Diseases
46,ICD-3 (1921-1930),Cancer of the female genital organs,chronic_ncd,Chronic Non-Communicable Diseases
47,ICD-3 (1921-1930),Cancer of the breast,chronic_ncd,Chronic Non-Communicable Diseases
48,ICD-3 (1921-1930),Cancer of the skin,chronic_ncd,Chronic Non-Communicable Diseases
49,ICD-3 (1921-1930),Cancer of other or unspecifed organs,chronic_ncd,Chronic Non-Communicable Diseases
50,ICD-3 (1921-1930),Tumours not malignant (brain and female genital organs excepted),chronic_ncd,Chronic Non-Communicable Diseases
51,ICD-3 (1921-1930),Rheumatic fever,chronic_ncd,Chronic Non-Communicable Diseases
52(1),ICD-3 (1921-1930),"Chronic rheumatism, chronic arthritis",chronic_ncd,Chronic Non-Communicable Diseases
52(2),ICD-3 (1921-1930),"Rheumatoid arthritis, Osteo-arthritis",chronic_ncd,Chronic Non-Communicable Diseases
52(3),ICD-3 (1921-1930),Gout,chronic_ncd,Chronic Non-Communicable Diseases
53,ICD-3 (1921-1930),Scurvy,respiratory_environmental,Respiratory and Environmental Disease
54,ICD-3 (1921-1930),Pellagra,respiratory_environmental,Respiratory and Environmental Disease
55,ICD-3 (1921-1930),Beri-beri,respiratory_environmental,Respiratory and Environmental Disease
56,ICD-3 (1921-1930),Rickets,respiratory_environmental,Respiratory and Environmental Disease
57,ICD-3 (1921-1930),Diabetes,chronic_ncd,Chronic Non-Communicable Diseases
58a,ICD-3 (1921-1930),Pernicious anaemia,chronic_ncd,Chronic Non-Communicable Diseases
58b,ICD-3 (1921-1930),Other anaemias and chlorosis,chronic_ncd,Chronic Non-Communicable Diseases
59,ICD-3 (1921-1930),Diseases of the pituitary gland,chronic_ncd,Chronic Non-Communicable Diseases
60a,ICD-3 (1921-1930),Exophthalmic goitre,chronic_ncd,Chronic Non-Communicable Diseases
60b(1),ICD-3 (1921-1930),Myxoedema,chronic_ncd,Chronic Non-Communicable Diseases
60b(2),ICD-3 (1921-1930),Cretinism,congenital_developmental,Congenital and Developmental Conditions
60b(3),ICD-3 (1921-1930),Other diseases of the thyroid gland,chronic_ncd,Chronic Non-Communicable Diseases
61(1),ICD-3 (1921-1930),Tetany,chronic_ncd,Chronic Non-Communicable Diseases
61(2),ICD-3 (1921-1930),Other diseases of the parathyroid gland,chronic_ncd,Chronic Non-Communicable Diseases
62,ICD-3 (1921-1930),Diseases of the thymus,chronic_ncd,Chronic Non-Communicable Diseases
63,ICD-3 (1921-1930),Diseases of the adrenals,chronic_ncd,Chronic Non-Communicable Diseases
64,ICD-3 (1921-1930),Diseases of the spleen,chronic_ncd,Chronic Non-Communicable Diseases
65a,ICD-3 (1921-1930),Leukaemia,chronic_ncd,Chronic Non-Communicable Diseases
65b,ICD-3 (1921-1930),Lymphadenoma,chronic_ncd,Chronic Non-Communicable Diseases
66,ICD-3 (1921-1930),Alcoholism (acute or chronic),self_harm_substance,Self-Harm and Substance Use
67(1),ICD-3 (1921-1930),Occupational lead poisoning,respiratory_environmental,Respiratory and Environmental Disease
67(2),ICD-3 (1921-1930),Other chronic poisoning by mineral substances,injury_accidental,Injury and Accidental Harm
68,ICD-3 (1921-1930),Chronic poisoning by organic substances,injury_accidental,Injury and Accidental Harm
69(1),ICD-3 (1921-1930),Purpura,chronic_ncd,Chronic Non-Communicable Diseases
69(2),ICD-3 (1921-1930),Haemophilia,congenital_developmental,Congenital and Developmental Conditions
69(3),ICD-3 (1921-1930),Other general diseases,chronic_ncd,Chronic Non-Communicable Diseases
70(1),ICD-3 (1921-1930),Cerebral abscess,chronic_ncd,Chronic Non-Communicable Diseases
70(2),ICD-3 (1921-1930),Other encephalitis,infectious_communicable,Infectious and Communicable Diseases
71,ICD-3 (1921-1930),Meningitis,infectious_communicable,Infectious and Communicable Diseases
72,ICD-3 (1921-1930),Tabes dorsalis (locomotor ataxy),chronic_ncd,Chronic Non-Communicable Diseases
73,ICD-3 (1921-1930),Other diseases of the spinal cord,chronic_ncd,Chronic Non-Communicable Diseases
74a(1),ICD-3 (1921-1930),Cerebral haemorrhage so returned,chronic_ncd,Chronic Non-Communicable Diseases
74a(2),ICD-3 (1921-1930),Apoplexy (lesion unstated),chronic_ncd,Chronic Non-Communicable Diseases
74b(1),ICD-3 (1921-1930),Cerebral embolism,chronic_ncd,Chronic Non-Communicable Diseases
74b(2),ICD-3 (1921-1930),Cerebral thrombosis,chronic_ncd,Chronic Non-Communicable Diseases
75a,ICD-3 (1921-1930),Hemiplegia,chronic_ncd,Chronic Non-Communicable Diseases
75b,ICD-3 (1921-1930),Other forms of paralysis,chronic_ncd,Chronic Non-Communicable Diseases
76,ICD-3 (1921-1930),General paralysis of the insane,chronic_ncd,Chronic Non-Communicable Diseases
77,ICD-3 (1921-1930),Other forms of insanity,chronic_ncd,Chronic Non-Communicable Diseases
78,ICD-3 (1921-1930),Epilepsy,chronic_ncd,Chronic Non-Communicable Diseases
"79,80*",ICD-3 (1921-1930),Convulsions (non-puerperal),maternal_early_life,Maternal and Early-Life Mortality
81,ICD-3 (1921-1930),Chorea,chronic_ncd,Chronic Non-Communicable Diseases
82,ICD-3 (1921-1930),Hysteria and neuritis,chronic_ncd,Chronic Non-Communicable Diseases
83,ICD-3 (1921-1930),Cerebral softening,chronic_ncd,Chronic Non-Communicable Diseases
84(1),ICD-3 (1921-1930),"Idiocy, Imbecility",congenital_developmental,Congenital and Developmental Conditions
84(2),ICD-3 (1921-1930),Cerebral tumour,chronic_ncd,Chronic Non-Communicable Diseases
84(3),ICD-3 (1921-1930),Disseminated sclerosis,chronic_ncd,Chronic Non-Communicable Diseases
84(4),ICD-3 (1921-1930),Paralysis agitans,chronic_ncd,Chronic Non-Communicable Diseases
84(5),ICD-3 (1921-1930),Other diseases of the nervous system,chronic_ncd,Chronic Non-Communicable Diseases
85,ICD-3 (1921-1930),Diseases of the eye and annexa,chronic_ncd,Chronic Non-Communicable Diseases
86(1),ICD-3 (1921-1930),Diseases of the mastoid sinus,chronic_ncd,Chronic Non-Communicable Diseases
86(2),ICD-3 (1921-1930),Diseases of the ear,chronic_ncd,Chronic Non-Communicable Diseases
87,ICD-3 (1921-1930),Pericarditis,chronic_ncd,Chronic Non-Communicable Diseases
88(1),ICD-3 (1921-1930),Malignant endocarditis,chronic_ncd,Chronic Non-Communicable Diseases
88(2),ICD-3 (1921-1930),Other acute endocarditis,chronic_ncd,Chronic Non-Communicable Diseases
88(3),ICD-3 (1921-1930),Acute myocarditis,chronic_ncd,Chronic Non-Communicable Diseases
89,ICD-3 (1921-1930),Angina pectoris,chronic_ncd,Chronic Non-Communicable Diseases
90(1),ICD-3 (1921-1930),Aortic valve disease,chronic_ncd,Chronic Non-Communicable Diseases
90(2),ICD-3 (1921-1930),Mitral valve disease,chronic_ncd,Chronic Non-Communicable Diseases
90(3),ICD-3 (1921-1930),Aortic and mitral valve disease,chronic_ncd,Chronic Non-Communicable Diseases
90(4),ICD-3 (1921-1930),Other or unspecified valve disease,chronic_ncd,Chronic Non-Communicable Diseases
90(5),ICD-3 (1921-1930),Fatty heart,chronic_ncd,Chronic Non-Communicable Diseases
90(6),ICD-3 (1921-1930),Dilatation of heart (cause unspecified),chronic_ncd,Chronic Non-Communicable Diseases
90(7),ICD-3 (1921-1930),Other or unspecified myocardial disease,chronic_ncd,Chronic Non-Communicable Diseases
90(8),ICD-3 (1921-1930),Disordered action of the heart,chronic_ncd,Chronic Non-Communicable Diseases
90(9),ICD-3 (1921-1930),Heart disease (undefined),chronic_ncd,Chronic Non-Communicable Diseases
91a,ICD-3 (1921-1930),Aneurysm,chronic_ncd,Chronic Non-Communicable Diseases
91b(1),ICD-3 (1921-1930),Arterio-sclerosis with cerebral vascular lesion,chronic_ncd,Chronic Non-Communicable Diseases
91b(2),ICD-3 (1921-1930),Arterio-sclerosis without record of cerebral vascular lesion,chronic_ncd,Chronic Non-Communicable Diseases
91c,ICD-3 (1921-1930),Other diseases of the arteries,chronic_ncd,Chronic Non-Communicable Diseases
92,ICD-3 (1921-1930),Embolism and thrombosis (not cerebral),chronic_ncd,Chronic Non-Communicable Diseases
93,ICD-3 (1921-1930),"Diseases of the veins (varix ,haemorrhoids, phlebitis, etc.)",chronic_ncd,Chronic Non-Communicable Diseases
94,ICD-3 (1921-1930),"Diseases of the lymphatic system (lymphangitis, etc.)",chronic_ncd,Chronic Non-Communicable Diseases
95,ICD-3 (1921-1930),Haemorrhage without stated cause,chronic_ncd,Chronic Non-Communicable Diseases
96,ICD-3 (1921-1930),Other diseases of the circulatory system,chronic_ncd,Chronic Non-Communicable Diseases
97(1),ICD-3 (1921-1930),Diseases of the nose,chronic_ncd,Chronic Non-Communicable Diseases
97(2),ICD-3 (1921-1930),Diseases of the accessory nasal sinuses,chronic_ncd,Chronic Non-Communicable Diseases
98(1),ICD-3 (1921-1930),Laryngismus stridulus,chronic_ncd,Chronic Non-Communicable Diseases
98(2),ICD-3 (1921-1930),Laryngitis,chronic_ncd,Chronic Non-Communicable Diseases
98(3),ICD-3 (1921-1930),Other diseases of the larynx,chronic_ncd,Chronic Non-Communicable Diseases
99a,ICD-3 (1921-1930),Acute bronchitis,respiratory_environmental,Respiratory and Environmental Disease
99b,ICD-3 (1921-1930),Chronic bronchitis,respiratory_environmental,Respiratory and Environmental Disease
"99c,99d",ICD-3 (1921-1930),Bronchitis not distinguished as acute or chronic,respiratory_environmental,Respiratory and Environmental Disease
100,ICD-3 (1921-1930),Broncho-pneumonia,infectious_communicable,Infectious and Communicable Diseases
101a,ICD-3 (1921-1930),Lobar pneumonia,infectious_communicable,Infectious and Communicable Diseases
101b,ICD-3 (1921-1930),Pneumonia (not otherwise specified),infectious_communicable,Infectious and Communicable Diseases
102(1),ICD-3 (1921-1930),Empyema,respiratory_environmental,Respiratory and Environmental Disease
102(2),ICD-3 (1921-1930),Other pleurisy,respiratory_environmental,Respiratory and Environmental Disease
103,ICD-3 (1921-1930),Congestion and haemorrhageic infarct of lung,chronic_ncd,Chronic Non-Communicable Diseases
104,ICD-3 (1921-1930),Gangrene of the lung,chronic_ncd,Chronic Non-Communicable Diseases
105,ICD-3 (1921-1930),Asthma,chronic_ncd,Chronic Non-Communicable Diseases
106,ICD-3 (1921-1930),Pulmonary emphysema,chronic_ncd,Chronic Non-Communicable Diseases
107a,ICD-3 (1921-1930),Chronic interstitial pneumonia incl. occupation diseases of lung,infectious_communicable,Infectious and Communicable Diseases
107b,ICD-3 (1921-1930),Diseases of the mediastinum,chronic_ncd,Chronic Non-Communicable Diseases
107c,ICD-3 (1921-1930),Other diseases of the respiratory system,chronic_ncd,Chronic Non-Communicable Diseases
108(1),ICD-3 (1921-1930),Diseases of the teeth and gums,chronic_ncd,Chronic Non-Communicable Diseases
108(2),ICD-3 (1921-1930),Ludwig's angina,chronic_ncd,Chronic Non-Communicable Diseases
108(3),ICD-3 (1921-1930),Other diseases of the buccal cavity and annexa,chronic_ncd,Chronic Non-Communicable Diseases
109(1),ICD-3 (1921-1930),"Tonsillitis, Adenoid vegetations",chronic_ncd,Chronic Non-Communicable Diseases
109(2),ICD-3 (1921-1930),Other diseases of the pharynx and tonsils,chronic_ncd,Chronic Non-Communicable Diseases
110,ICD-3 (1921-1930),Diseases of the oesophagus,chronic_ncd,Chronic Non-Communicable Diseases
111a,ICD-3 (1921-1930),Ulcer of the stomach,chronic_ncd,Chronic Non-Communicable Diseases
111b,ICD-3 (1921-1930),Ulcer of the duodenum,chronic_ncd,Chronic Non-Communicable Diseases
112(1),ICD-3 (1921-1930),Inflamation of the stomach,chronic_ncd,Chronic Non-Communicable Diseases
112(2),ICD-3 (1921-1930),Other diseases of the stomach,chronic_ncd,Chronic Non-Communicable Diseases
"113,114(1)",ICD-3 (1921-1930),Ulceration of the intestines,chronic_ncd,Chronic Non-Communicable Diseases
"113,114(2)",ICD-3 (1921-1930),Colitis,chronic_ncd,Chronic Non-Communicable Diseases
"113,114(3)",ICD-3 (1921-1930),Other diseases included under diarrhoea and enteritis,chronic_ncd,Chronic Non-Communicable Diseases
115,ICD-3 (1921-1930),Ankylostomiasis,chronic_ncd,Chronic Non-Communicable Diseases
116a,ICD-3 (1921-1930),Diseases due to cestodes (hydatids of the liver excepted),chronic_ncd,Chronic Non-Communicable Diseases
116b,ICD-3 (1921-1930),Diseases due to trematodes,chronic_ncd,Chronic Non-Communicable Diseases
116c,ICD-3 (1921-1930),Diseases due to nematodes (other than ankylostoma),chronic_ncd,Chronic Non-Communicable Diseases
116d,ICD-3 (1921-1930),Diseases due to coccidia,chronic_ncd,Chronic Non-Communicable Diseases
116e,ICD-3 (1921-1930),Diseases due to other specified intestinal parasites,chronic_ncd,Chronic Non-Communicable Diseases
116f,ICD-3 (1921-1930),Diseases due to undefined intestinal parasites,chronic_ncd,Chronic Non-Communicable Diseases
117,ICD-3 (1921-1930),Appendicitis,chronic_ncd,Chronic Non-Communicable Diseases
118a,ICD-3 (1921-1930),Hernia,chronic_ncd,Chronic Non-Communicable Diseases
118b,ICD-3 (1921-1930),Intestinal obstruction,chronic_ncd,Chronic Non-Communicable Diseases
119(1),ICD-3 (1921-1930),Intestinal stasis,chronic_ncd,Chronic Non-Communicable Diseases
119(2),ICD-3 (1921-1930),Other diseases of the intestines,chronic_ncd,Chronic Non-Communicable Diseases
120,ICD-3 (1921-1930),Acute yellow atrophy of the liver,chronic_ncd,Chronic Non-Communicable Diseases
121,ICD-3 (1921-1930),Hydatid tumour of the liver,chronic_ncd,Chronic Non-Communicable Diseases
122a,ICD-3 (1921-1930),Cirrhosis of the liver returned as alcoholic,self_harm_substance,Self-Harm and Substance Use
122b,ICD-3 (1921-1930),Cirrhosis of the liver not returned as alcoholic,self_harm_substance,Self-Harm and Substance Use
123,ICD-3 (1921-1930),Biliary calculi,chronic_ncd,Chronic Non-Communicable Diseases
124,ICD-3 (1921-1930),Other diseases of the liver,chronic_ncd,Chronic Non-Communicable Diseases
125,ICD-3 (1921-1930),Diseases of the pancreas,chronic_ncd,Chronic Non-Communicable Diseases
126,ICD-3 (1921-1930),Peritonitis without stated cause,chronic_ncd,Chronic Non-Communicable Diseases
127,ICD-3 (1921-1930),Other diseases of the digestive system,chronic_ncd,Chronic Non-Communicable Diseases
128,ICD-3 (1921-1930),Acute nephritis (including unspecified under 10 years of age),chronic_ncd,Chronic Non-Communicable Diseases
129,ICD-3 (1921-1930),Chronic nephritis (including unspecified over 10 years of age),chronic_ncd,Chronic Non-Communicable Diseases
130,ICD-3 (1921-1930),Chyluria,chronic_ncd,Chronic Non-Communicable Diseases
131,ICD-3 (1921-1930),Other diseases of the kidney and annexa,chronic_ncd,Chronic Non-Communicable Diseases
132,ICD-3 (1921-1930),Calculi of the urinary passages,chronic_ncd,Chronic Non-Communicable Diseases
133(1),ICD-3 (1921-1930),Cystitis,chronic_ncd,Chronic Non-Communicable Diseases
133(2),ICD-3 (1921-1930),Other diseases of the bladder,chronic_ncd,Chronic Non-Communicable Diseases
134a,ICD-3 (1921-1930),Stricture of the urethra,chronic_ncd,Chronic Non-Communicable Diseases
134b,ICD-3 (1921-1930),"Other diseases of the urethra, etc.",chronic_ncd,Chronic Non-Communicable Diseases
135,ICD-3 (1921-1930),Diseases of the prostate,chronic_ncd,Chronic Non-Communicable Diseases
136,ICD-3 (1921-1930),Non-venereal diseases of the male genital organs,infectious_communicable,Infectious and Communicable Diseases
137,ICD-3 (1921-1930),"Cysts, and other tumours of the ovary not returned as malignant",chronic_ncd,Chronic Non-Communicable Diseases
138(1),ICD-3 (1921-1930),Salpingitis,chronic_ncd,Chronic Non-Communicable Diseases
138(2),ICD-3 (1921-1930),Pelvic abscess in females,chronic_ncd,Chronic Non-Communicable Diseases
139,ICD-3 (1921-1930),Tumours of the uterus not returned as malignant,chronic_ncd,Chronic Non-Communicable Diseases
140,ICD-3 (1921-1930),Non-puerperal uterine haemorrhage,maternal_early_life,Maternal and Early-Life Mortality
141(1),ICD-3 (1921-1930),Other diseases of the uterus,chronic_ncd,Chronic Non-Communicable Diseases
141(2),ICD-3 (1921-1930),Diseases of other female genital organs not under other headings,chronic_ncd,Chronic Non-Communicable Diseases
142,ICD-3 (1921-1930),Non-puerperal diseases of the breast,maternal_early_life,Maternal and Early-Life Mortality
143a,ICD-3 (1921-1930),Abortion,maternal_early_life,Maternal and Early-Life Mortality
143b,ICD-3 (1921-1930),Ectopic gestation,maternal_early_life,Maternal and Early-Life Mortality
143c,ICD-3 (1921-1930),Other accidents of pregnancy,maternal_early_life,Maternal and Early-Life Mortality
144,ICD-3 (1921-1930),Puerperal haemorrhage,maternal_early_life,Maternal and Early-Life Mortality
145,ICD-3 (1921-1930),Other accidents of childbirth,maternal_early_life,Maternal and Early-Life Mortality
146,ICD-3 (1921-1930),Puerperal sepsis,maternal_early_life,Maternal and Early-Life Mortality
147(1),ICD-3 (1921-1930),Puerperal phlegmasia alba dolens not returned as septic,maternal_early_life,Maternal and Early-Life Mortality
147(2),ICD-3 (1921-1930),Puerperal embolism and sudden death,later_life,Later-Life Mortality
148,ICD-3 (1921-1930),Puerperal albuminuria and convulsions,maternal_early_life,Maternal and Early-Life Mortality
149,ICD-3 (1921-1930),Childbirth not assignable to other headings (puerperal insanity),maternal_early_life,Maternal and Early-Life Mortality
150,ICD-3 (1921-1930),Puerperal diseases of the breast,maternal_early_life,Maternal and Early-Life Mortality
151(1),ICD-3 (1921-1930),Senile gangrene,later_life,Later-Life Mortality
151(2),ICD-3 (1921-1930),Other gangrene,chronic_ncd,Chronic Non-Communicable Diseases
152,ICD-3 (1921-1930),"Carbuncle, boil",chronic_ncd,Chronic Non-Communicable Diseases
153(1),ICD-3 (1921-1930),Cellulitis,chronic_ncd,Chronic Non-Communicable Diseases
153(2),ICD-3 (1921-1930),Acute abscess,chronic_ncd,Chronic Non-Communicable Diseases
154(1),ICD-3 (1921-1930),"Ulcer, bedsore",chronic_ncd,Chronic Non-Communicable Diseases
154(2),ICD-3 (1921-1930),Eczema,chronic_ncd,Chronic Non-Communicable Diseases
154(3),ICD-3 (1921-1930),Pemphigus,chronic_ncd,Chronic Non-Communicable Diseases
154(4),ICD-3 (1921-1930),Other diseases of the skin and its annexa,chronic_ncd,Chronic Non-Communicable Diseases
155(1),ICD-3 (1921-1930),Acute infective osteo-myelitis and periostitis,infectious_communicable,Infectious and Communicable Diseases
155(2),ICD-3 (1921-1930),Other diseases of the bones,chronic_ncd,Chronic Non-Communicable Diseases
156,ICD-3 (1921-1930),Diseases of the joints,chronic_ncd,Chronic Non-Communicable Diseases
157,ICD-3 (1921-1930),Amputations,chronic_ncd,Chronic Non-Communicable Diseases
158,ICD-3 (1921-1930),Other diseases of the organs of locomotion,chronic_ncd,Chronic Non-Communicable Diseases
159(1),ICD-3 (1921-1930),Congenital hydrocephalus,congenital_developmental,Congenital and Developmental Conditions
159(2),ICD-3 (1921-1930),Congenital malformation of heart,congenital_developmental,Congenital and Developmental Conditions
159(3),ICD-3 (1921-1930),Other congenital malformations,congenital_developmental,Congenital and Developmental Conditions
160(1),ICD-3 (1921-1930),Congenital debility and sclerema,later_life,Later-Life Mortality
160(2),ICD-3 (1921-1930),Icterus neonatorum,maternal_early_life,Maternal and Early-Life Mortality
161(1),ICD-3 (1921-1930),Premature birth,maternal_early_life,Maternal and Early-Life Mortality
161(2),ICD-3 (1921-1930),Injury at birth,injury_accidental,Injury and Accidental Harm
162(1),ICD-3 (1921-1930),Diseases of the umbilicus,maternal_early_life,Maternal and Early-Life Mortality
162(2),ICD-3 (1921-1930),Atelectasis,chronic_ncd,Chronic Non-Communicable Diseases
162(3),ICD-3 (1921-1930),Other diseases peculiar to early pregnancy,maternal_early_life,Maternal and Early-Life Mortality
163,ICD-3 (1921-1930),Lack of care,ill_defined_other,Ill-defined / Other
164(1),ICD-3 (1921-1930),Senile dementia,later_life,Later-Life Mortality
164(2),ICD-3 (1921-1930),Other forms of senile decay,later_life,Later-Life Mortality
"165, 166*",ICD-3 (1921-1930),Suicide by solid or liquid poisons and corrosive substances,self_harm_substance,Self-Harm and Substance Use
167,ICD-3 (1921-1930),Suicide by poisonous gas,self_harm_substance,Self-Harm and Substance Use
168,ICD-3 (1921-1930),Suicide by hanging or strangulation,self_harm_substance,Self-Harm and Substance Use
169,ICD-3 (1921-1930),Suicide by drowning,self_harm_substance,Self-Harm and Substance Use
170,ICD-3 (1921-1930),Suicide by firearms,self_harm_substance,Self-Harm and Substance Use
171,ICD-3 (1921-1930),Suicide by cutting or piercing instruments,self_harm_substance,Self-Harm and Substance Use
172,ICD-3 (1921-1930),Suicide by jumping from high place,self_harm_substance,Self-Harm and Substance Use
173,ICD-3 (1921-1930),Suicide by crushing,self_harm_substance,Self-Harm and Substance Use
174,ICD-3 (1921-1930),Suicide by other means,self_harm_substance,Self-Harm and Substance Use
175,ICD-3 (1921-1930),Food poisoning,injury_accidental,Injury and Accidental Harm
176,ICD-3 (1921-1930),Poisoning by venomous animals,injury_accidental,Injury and Accidental Harm
177,ICD-3 (1921-1930),Other acute accidental poisoning (not by gas),injury_accidental,Injury and Accidental Harm
178,ICD-3 (1921-1930),Conflagration,injury_accidental,Injury and Accidental Harm
179,ICD-3 (1921-1930),Accidental burns (conflagration excepted),injury_accidental,Injury and Accidental Harm
180,ICD-3 (1921-1930),Accidental mechanical suffocation,injury_accidental,Injury and Accidental Harm
