cause,icd_version,cause_description,level1_code,level1_name
20.0,ICD-1 (1901-1910),Small pox - not vaccinated,,
200.0,ICD-1 (1901-1910),Diarrhoea due to food,,
210.0,ICD-1 (1901-1910),"Infective enteritis, epidemic diarrhoea",,
220.0,ICD-1 (1901-1910),Diarrhoea (not otherwise defined),,
230.0,ICD-1 (1901-1910),Dysentry,,
240.0,ICD-1 (1901-1910),Tetanus,,
250.0,ICD-1 (1901-1910),Malaria,,
260.0,ICD-1 (1901-1910),"Rabies, hydrophobia",,
270.0,ICD-1 (1901-1910),Glanders,,
280.0,ICD-1 (1901-1910),Anthrax (splenic fever),,
290.0,ICD-1 (1901-1910),Syphilis,,
30.0,ICD-1 (1901-1910),Small pox - doubtful,,
300.0,ICD-1 (1901-1910),Gonorrhoea,,
310.0,ICD-1 (1901-1910),Phlegmasia alba dolens,,
320.0,ICD-1 (1901-1910),Puerperal septicaemia/septic intoxication,,
330.0,ICD-1 (1901-1910),Puerperal pyaemia,,
340.0,ICD-1 (1901-1910),Puerperal fever (not otherwise def.),,
350.0,ICD-1 (1901-1910),Infective endocarditis,,
360.0,ICD-1 (1901-1910),Pneumonia - lobar,,
370.0,ICD-1 (1901-1910),Pneumonia - epidemic,,
380.0,ICD-1 (1901-1910),Pneumonia - broncho,,
390.0,ICD-1 (1901-1910),Pneumonia - not def.,,
40.0,ICD-1 (1901-1910),Cow-pox and other effects of vaccination,,
400.0,ICD-1 (1901-1910),Erysipelas,,
410.0,ICD-1 (1901-1910),"Septicaemia, septic intoxication (not puerperal)",,
420.0,ICD-1 (1901-1910),Pyaemia (not puerperal),,
430.0,ICD-1 (1901-1910),"Phlegmon, carbuncle (not anthrax)",,
440.0,ICD-1 (1901-1910),Phagedaena,,
450.0,ICD-1 (1901-1910),Other infective processes,,
460.0,ICD-1 (1901-1910),Pulmonary tuberculosis (tuberculous phthisis),,
470.0,ICD-1 (1901-1910),Phthisis (not otherwise def.),,
480.0,ICD-1 (1901-1910),Tuberculous meningitis,,
490.0,ICD-1 (1901-1910),Tuberculous peritonitis,,
50.0,ICD-1 (1901-1910),Chicken - pox,,
500.0,ICD-1 (1901-1910),Tabes mesenterica,,
510.0,ICD-1 (1901-1910),Lupus,,
520.0,ICD-1 (1901-1910),Tubercle of other organs,,
530.0,ICD-1 (1901-1910),General tuberculosis,,
540.0,ICD-1 (1901-1910),Scrofula,,
550.0,ICD-1 (1901-1910),Parasitic diseases,,
560.0,ICD-1 (1901-1910),Starvation,,
570.0,ICD-1 (1901-1910),Scurvy,,
580.0,ICD-1 (1901-1910),Alcoholism/delirium tremens,,
590.0,ICD-1 (1901-1910),"Opium, morphia habit",,
60.0,ICD-1 (1901-1910),Measles (morbilli),,
600.0,ICD-1 (1901-1910),Industrial poisoning by lead,,
610.0,ICD-1 (1901-1910),Industrial poisoning by phosphorus,,
620.0,ICD-1 (1901-1910),Industrial poisoning by arsenic & other metals,,
630.0,ICD-1 (1901-1910),"Rheumatic fever, acute rheumatism",,
640.0,ICD-1 (1901-1910),Rheumatism of heart,,
650.0,ICD-1 (1901-1910),Chronic rheumatism,,
660.0,ICD-1 (1901-1910),"Rheumatoid arthritis, rheumatic gout",,
670.0,ICD-1 (1901-1910),Gout,,
680.0,ICD-1 (1901-1910),Carcinoma,,
690.0,ICD-1 (1901-1910),Sarcoma,,
70.0,ICD-1 (1901-1910),German measles,,
700.0,ICD-1 (1901-1910),"Cancer, malignant disease (n.o.d.)",,
710.0,ICD-1 (1901-1910),Rickets,,
720.0,ICD-1 (1901-1910),Purpura,,
730.0,ICD-1 (1901-1910),"Haemophilia, haemorrhagic diathesis",,
740.0,ICD-1 (1901-1910),"Anaemia, leucocythaemia",,
750.0,ICD-1 (1901-1910),Diabetes mellitus,,
760.0,ICD-1 (1901-1910),Premature birth,,
770.0,ICD-1 (1901-1910),Congenital hydrocephalus,,
780.0,ICD-1 (1901-1910),Other congenital defects,,
790.0,ICD-1 (1901-1910),Injury at birth,,
80.0,ICD-1 (1901-1910),Scarlet fever,,
800.0,ICD-1 (1901-1910),Atelectasis,,
810.0,ICD-1 (1901-1910),Want of breast milk,,
820.0,ICD-1 (1901-1910),Teething,,
830.0,ICD-1 (1901-1910),"Meningitis, brain inflammation",,
840.0,ICD-1 (1901-1910),Softening of brain,,
850.0,ICD-1 (1901-1910),General paralysis of insane,,
860.0,ICD-1 (1901-1910),Insanity (not puerperal),,
870.0,ICD-1 (1901-1910),Chorea,,
880.0,ICD-1 (1901-1910),Epilepsy,,
890.0,ICD-1 (1901-1910),Convulsions,,
90.0,ICD-1 (1901-1910),Typhus,,
900.0,ICD-1 (1901-1910),Laryngismus stridulus,,
910.0,ICD-1 (1901-1910),Locomotor ataxy,,
920.0,ICD-1 (1901-1910),"Paraplegia, diseases of cord",,
930.0,ICD-1 (1901-1910),"Neuritis, peripheral, polyneuritis",,
940.0,ICD-1 (1901-1910),Brain tumour (not specific),,
950.0,ICD-1 (1901-1910),Other diseases of nervous system,,
960.0,ICD-1 (1901-1910),"Otitis, mastoid disease",,
970.0,ICD-1 (1901-1910),"Epistaxis, diseases of nose",,
980.0,ICD-1 (1901-1910),"Ophthalmia, eye diseases",,
990.0,ICD-1 (1901-1910),"Valvular disease, endocarditis (not infective)",,
1.0,ICD-2 (1911-1920),,,
10.0,ICD-2 (1911-1920),,,
100A,ICD-2 (1911-1920),Tonsillitis,,
100B,ICD-2 (1911-1920),Ludwig's angina,,
100C,ICD-2 (1911-1920),Other diseases of pharynx,,
101.0,ICD-2 (1911-1920),,,
102.0,ICD-2 (1911-1920),,,
103A,ICD-2 (1911-1920),Inflammation of stomach,,
103B,ICD-2 (1911-1920),Other diseases of stomach,,
104A,ICD-2 (1911-1920),Infective enteritis,,
104B,ICD-2 (1911-1920),Diarrhoea - not returned as infective - under 2yrs old,,
104C,ICD-2 (1911-1920),Enteritis - not returned as infective - under 2yrs old,,
104D,ICD-2 (1911-1920),Gastro-enteritis - not returned as infective - under 2yrs old,,
104E,ICD-2 (1911-1920),Dyspepsia - under 2yrs old,,
104F,ICD-2 (1911-1920),Colic - under 2yrs old,,
104G,ICD-2 (1911-1920),Ulceration of intestines - under 2yrs old,,
