version,code,description,category_code,category_name,classification_confidence
ICD-9,7997,Other ill-defined and unknown causes of morbidity and mortality — Unspecified,L1_10,"Ill-Defined, Administrative, and Other Causes",medium
ICD-9,0,Neonatal death — Neonatal death,L1_02,Maternal and Early-Life Mortality,low
ICD-9,10,Cholera — Due to Vibrio cholerae,L1_01,Infectious and Communicable Diseases,low
ICD-9,11,Cholera — Due to Vibrio cholerae el tor,L1_01,Infectious and Communicable Diseases,low
ICD-9,19,Cholera — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-9,20,Typhoid and paratyphoid fevers — Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-9,21,Typhoid and paratyphoid fevers — Paratyphoid fever A,L1_01,Infectious and Communicable Diseases,low
ICD-9,22,Typhoid and paratyphoid fevers — Paratyphoid fever B,L1_01,Infectious and Communicable Diseases,low
ICD-9,23,Typhoid and paratyphoid fevers — Paratyphoid fever C,L1_01,Infectious and Communicable Diseases,low
ICD-9,29,"Typhoid and paratyphoid fevers — Paratyphoid fever, unspecified",L1_01,Infectious and Communicable Diseases,low
ICD-9,30,Other salmonella infections — Salmonella gastroenteritis,L1_01,Infectious and Communicable Diseases,low
ICD-9,31,Other salmonella infections — Salmonella septicaemia,L1_01,Infectious and Communicable Diseases,medium
ICD-9,32,Other salmonella infections — Localized salmonella infections,L1_01,Infectious and Communicable Diseases,low
ICD-9,38,Other salmonella infections — Other,L1_01,Infectious and Communicable Diseases,low
ICD-9,39,Other salmonella infections — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-9,40,Shigellosis — Shigella dysenteriae,L1_01,Infectious and Communicable Diseases,low
ICD-9,41,Shigellosis — Shigella flexneri,L1_01,Infectious and Communicable Diseases,low
ICD-9,42,Shigellosis — Shigella boydii,L1_01,Infectious and Communicable Diseases,low
ICD-9,43,Shigellosis — Shigella sonnei,L1_01,Infectious and Communicable Diseases,low
ICD-9,48,Shigellosis — Other,L1_01,Infectious and Communicable Diseases,low
ICD-9,49,Shigellosis — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-9,50,Other food poisoning (bacterial) — Staphylococcal food poisoning,L1_01,Infectious and Communicable Diseases,low
ICD-9,51,Other food poisoning (bacterial) — Botulism,L1_07,Injury and Accidental Harm,low
ICD-9,52,Other food poisoning (bacterial) — Food poisoning due to Clostridium perfringens (Cl. welchii),L1_01,Infectious and Communicable Diseases,low
ICD-9,53,Other food poisoning (bacterial) — Food poisoning due to other Clostridia,L1_01,Infectious and Communicable Diseases,low
ICD-9,54,Other food poisoning (bacterial) — Food poisoning due to Vibrio parahaemolyticus,L1_07,Injury and Accidental Harm,low
ICD-9,58,Other food poisoning (bacterial) — Other bacterial food poisoning,L1_07,Injury and Accidental Harm,low
