version,code,description,category_code,category_name,classification_confidence
ICD-2,1,Enteric fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,2,Typhus,L1_01,Infectious and Communicable Diseases,low
ICD-2,3A,Relapsing fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,3B,Mediterranean fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,4,Malaria,L1_01,Infectious and Communicable Diseases,low
ICD-2,5,Small-pox,L1_01,Infectious and Communicable Diseases,low
ICD-2,6,Measles,L1_01,Infectious and Communicable Diseases,low
ICD-2,7,Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,8,Whooping cough,L1_01,Infectious and Communicable Diseases,low
ICD-2,9A,Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-2,9B,Membranous laryngitis,L1_06,Respiratory and Environmental Disease,low
ICD-2,9C,Croup,L1_02,Maternal and Early-Life Mortality,low
ICD-2,10,Influenza,L1_01,Infectious and Communicable Diseases,low
ICD-2,11,Miliary fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,12,Asiatic cholera,L1_01,Infectious and Communicable Diseases,low
ICD-2,13,Cholera nostras,L1_01,Infectious and Communicable Diseases,low
ICD-2,14,Dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-2,15,Plague,L1_01,Infectious and Communicable Diseases,low
ICD-2,16,Yellow fever,L1_01,Infectious and Communicable Diseases,low
ICD-2,17,Leprosy,L1_01,Infectious and Communicable Diseases,low
ICD-2,18,Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-2,19A,Mumps,L1_01,Infectious and Communicable Diseases,low
ICD-2,19B,German measles,L1_01,Infectious and Communicable Diseases,low
ICD-2,19C,Varicella,L1_01,Infectious and Communicable Diseases,low
ICD-2,19D,Other epidemic diseases,L1_01,Infectious and Communicable Diseases,low
ICD-2,20A,Pyaemia,L1_01,Infectious and Communicable Diseases,low
ICD-2,20B,Septicaemia,L1_01,Infectious and Communicable Diseases,low
ICD-2,20C,Vaccinia,L1_01,Infectious and Communicable Diseases,low
ICD-2,21,Glanders,L1_01,Infectious and Communicable Diseases,low
ICD-2,22,Anthrax (Splenic fever),L1_01,Infectious and Communicable Diseases,low
ICD-2,23,Rabies,L1_01,Infectious and Communicable Diseases,low
ICD-2,24,Tetanus,L1_01,Infectious and Communicable Diseases,low
ICD-2,25A,Actinomycosis,L1_01,Infectious and Communicable Diseases,low
ICD-2,25B,Other mycoses,L1_01,Infectious and Communicable Diseases,low
ICD-2,26,Pellagra,L1_06,Respiratory and Environmental Disease,low
ICD-2,27,Beri-beri,L1_01,Infectious and Communicable Diseases,low
ICD-2,28A,Pulmonary tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-2,28B,Phthisis (not def. as t.b.),L1_05,Chronic Non-Communicable Diseases,medium
ICD-2,29A,Acute phthisis,L1_05,Chronic Non-Communicable Diseases,low
ICD-2,29B,Acute miliary t.b.,L1_06,Respiratory and Environmental Disease,low
ICD-2,30,Tuberculous meningitis,L1_01,Infectious and Communicable Diseases,low
ICD-2,31A,Tabes mesenterica,L1_01,Infectious and Communicable Diseases,low
ICD-2,31B,Other peritoneal & intestinal tubercle,L1_01,Infectious and Communicable Diseases,low
ICD-2,32,T.b. of spinal column,L1_01,Infectious and Communicable Diseases,low
ICD-2,33,T.b. of joints,L1_01,Infectious and Communicable Diseases,low
ICD-2,34A,Lupus,L1_01,Infectious and Communicable Diseases,low
ICD-2,34B,Scrofula,L1_06,Respiratory and Environmental Disease,low
ICD-2,34C,T.b. of other organs,L1_01,Infectious and Communicable Diseases,low
ICD-2,35,Disseminated t.b.,L1_01,Infectious and Communicable Diseases,low
ICD-2,36A,Rickets,L1_06,Respiratory and Environmental Disease,low
ICD-2,36B,Other forms of bone softening,L1_01,Infectious and Communicable Diseases,low
ICD-2,37,Syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-2,38A,Soft chancre,L1_01,Infectious and Communicable Diseases,low
ICD-2,38B,Gonococcus infection,L1_01,Infectious and Communicable Diseases,low
ICD-2,38C,Purulent ophthalmia,L1_01,Infectious and Communicable Diseases,low
ICD-2,39,Cancer of buccal cavity,L1_05,Chronic Non-Communicable Diseases,low
ICD-2,40,"Cancer of stomach, liver, etc",L1_05,Chronic Non-Communicable Diseases,low
ICD-2,41,"Cancer of peritoneum, intestines & rectum",L1_05,Chronic Non-Communicable Diseases,low
ICD-2,42,Cancer of female genital organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-2,43,Cancer of breast,L1_05,Chronic Non-Communicable Diseases,low
ICD-2,44,Cancer of skin,L1_05,Chronic Non-Communicable Diseases,low
