version,code,description,category_code,category_name,classification_confidence
ICD-5,1,Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-5,2,Paratyphoid fevers,L1_01,Infectious and Communicable Diseases,low
ICD-5,3,Plague,L1_01,Infectious and Communicable Diseases,low
ICD-5,4,Cholera,L1_01,Infectious and Communicable Diseases,low
ICD-5,5,Undulant fever (Brucellosis),L1_01,Infectious and Communicable Diseases,low
ICD-5,6,Cerebro-spinal (meningococcal) meningitis,L1_01,Infectious and Communicable Diseases,low
ICD-5,7,Malignant pustule and anthrax,L1_01,Infectious and Communicable Diseases,low
ICD-5,8,Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-5,9,Whooping cough,L1_01,Infectious and Communicable Diseases,low
ICD-5,10,Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-5,11,Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-5,12,Tetanus,L1_01,Infectious and Communicable Diseases,low
ICD-5,13a,Tb. of the resp. system with mention of occupational disease of lung,L1_06,Respiratory and Environmental Disease,low
ICD-5,13b,Tb. of the resp. system without mention of occupational disease of lung,L1_06,Respiratory and Environmental Disease,low
ICD-5,13c,Tuberculosis of unspecified site,L1_01,Infectious and Communicable Diseases,low
ICD-5,14,Tuberculosis of the meninges and central nervous system,L1_01,Infectious and Communicable Diseases,low
ICD-5,15,Tuberculosis of the intestines and peritoneum,L1_01,Infectious and Communicable Diseases,low
ICD-5,16,Tuberculosis of the vertebral column,L1_01,Infectious and Communicable Diseases,low
ICD-5,17,Tuberculosis of the other bones and joints,L1_01,Infectious and Communicable Diseases,low
ICD-5,18,Tuberculosis of the skin and subcutaneous cellular tissue,L1_01,Infectious and Communicable Diseases,low
ICD-5,19,Tuberculosis of the lymphatic system,L1_01,Infectious and Communicable Diseases,low
ICD-5,20,Tuberculosis of the genito-urinary system,L1_01,Infectious and Communicable Diseases,low
ICD-5,21a,Addison's disease specified as tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-5,21b,Tuberculosis of other organs,L1_01,Infectious and Communicable Diseases,low
ICD-5,22a,Acute generalised miliary tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-5,22b,Chronic generalised tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-5,22c,Disseminated tuberculosis not distinguished as acute or chronic,L1_01,Infectious and Communicable Diseases,low
ICD-5,23,Leprosy,L1_01,Infectious and Communicable Diseases,low
ICD-5,24a,Septicaemia,L1_01,Infectious and Communicable Diseases,low
ICD-5,24b,Pyaemia,L1_01,Infectious and Communicable Diseases,low
ICD-5,24c,Gas gangrene,L1_01,Infectious and Communicable Diseases,low
ICD-5,24d,Generalised infection by bacillus coli,L1_01,Infectious and Communicable Diseases,low
ICD-5,25,Gonococcal infections,L1_01,Infectious and Communicable Diseases,low
ICD-5,26,Other bacterial disease (dysentery excepted),L1_01,Infectious and Communicable Diseases,low
ICD-5,27a,Bacillary dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-5,27b,Amoebic dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-5,27c,Other protozoal dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-5,27d,Other or unspecified forms of dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-5,28,Malaria,L1_01,Infectious and Communicable Diseases,low
ICD-5,29,Other diseases due to parasitic protozoa except spirochaetes,L1_01,Infectious and Communicable Diseases,low
ICD-5,30a,Locomotor ataxia (tabes dorsalis),L1_01,Infectious and Communicable Diseases,low
ICD-5,30b,General paralysis of the insane,L1_01,Infectious and Communicable Diseases,low
ICD-5,30c,Aneurysm of the aorta,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,30da,Congenital syphilis,L1_03,Congenital and Developmental Conditions,low
ICD-5,30db,Other or unspecified syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-5,dc,Other or unspecified syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-5,31,Relapsing fever,L1_01,Infectious and Communicable Diseases,low
ICD-5,32a,Spirochaetosis ictero-haemorrhagica (Weil's disease),L1_01,Infectious and Communicable Diseases,low
ICD-5,32b,Other diseases due to spirochaetes,L1_01,Infectious and Communicable Diseases,low
ICD-5,33a(1),Influenza with resp. comps. specified with pneumonic comps.,L1_01,Infectious and Communicable Diseases,low
ICD-5,33a(2),Influenza with resp. comps. specified with other resp. comps.,L1_01,Infectious and Communicable Diseases,low
ICD-5,33b(1),Influenza without resp. comps. specified with non-resp. comps.,L1_01,Infectious and Communicable Diseases,low
ICD-5,33b(2),Influenza without resp. comps. specified without stated comps.,L1_01,Infectious and Communicable Diseases,low
ICD-5,34,Smallpox,L1_01,Infectious and Communicable Diseases,low
ICD-5,35,Measles,L1_01,Infectious and Communicable Diseases,low
ICD-5,36(1),Acute poliomyelitis,L1_01,Infectious and Communicable Diseases,low
ICD-5,36(2),Acute polioencephalitis,L1_01,Infectious and Communicable Diseases,low
ICD-5,37a,Acute lethargic (or epidemic) encephalitis,L1_01,Infectious and Communicable Diseases,low
ICD-5,37b,Sequalae of encephalitis lethargica,L1_01,Infectious and Communicable Diseases,low
ICD-5,37c,Unspecified encephalitis lethargica,L1_01,Infectious and Communicable Diseases,low
ICD-5,38a,Yellow fever,L1_01,Infectious and Communicable Diseases,low
ICD-5,38b,Rabies,L1_01,Infectious and Communicable Diseases,low
ICD-5,38c,Herpes zoster,L1_01,Infectious and Communicable Diseases,low
ICD-5,38d,German measles,L1_01,Infectious and Communicable Diseases,low
ICD-5,38e,Varicella,L1_01,Infectious and Communicable Diseases,low
ICD-5,38f,Other diseases due to viruses,L1_01,Infectious and Communicable Diseases,low
ICD-5,39a,Louse-borne exanthematic typhus,L1_01,Infectious and Communicable Diseases,low
ICD-5,39bc,Other or unspecified Typhus-like diseases,L1_01,Infectious and Communicable Diseases,low
ICD-5,40,Ankylostomiasis,L1_01,Infectious and Communicable Diseases,low
ICD-5,41a,Hydatid disease of liver,L1_01,Infectious and Communicable Diseases,low
ICD-5,41b,Hydatid disease of other or unspecified organs,L1_01,Infectious and Communicable Diseases,low
ICD-5,42,Other diseases due to helminths,L1_01,Infectious and Communicable Diseases,low
ICD-5,43,Mycoses,L1_01,Infectious and Communicable Diseases,low
ICD-5,44a,Venereal diseases (other than syphilis and gonorrhea),L1_01,Infectious and Communicable Diseases,low
ICD-5,44b,Pernicious lymphogranulomatosis (Hodgkin's disease),L1_01,Infectious and Communicable Diseases,low
ICD-5,44c,Mumps,L1_01,Infectious and Communicable Diseases,low
ICD-5,44d,Other infective or parasitic diseases,L1_01,Infectious and Communicable Diseases,low
ICD-5,45a,Cancer of the lips,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,45b,Cancer of the tongue,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,45c,Cancer of other or unspecified parts of buccal cavity and pharynx,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46a,Cancer of the oesophagus,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46b,Cancer of the stomach and duodenum,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46c,Cancer of the intestines other than duodenum or rectum,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46d,Cancer of the rectum,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46e,Cancer of the liver and biliary passages,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46f,Cancer of the pancreas,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46g,Cancer of the peritoneum,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,46h,Cancer of other or unspecified digestive organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,47a,Cancer of the larynx and trachea,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,47b,Cancer of the lung and pleura,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,47c,Cancer of unspecified digestive organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,48a,Cancer of the uterus specified as cancer of cervix,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,48b,Other or unspecified cancer of the uterus,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,49,Cancer of other female genital organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,50,Cancer of the breast,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,51a,Cancer of the scrotum,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,51b,Cancer of the prostate,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,51c,Cancer of other or unspecified male genital organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,52,Cancer of the urinary organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,53,Cancer of the skin (scrotum excepted),L1_05,Chronic Non-Communicable Diseases,low
ICD-5,54a,Glioma (not spcified as benign),L1_01,Infectious and Communicable Diseases,low
ICD-5,54b,Sarcoma,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,54c,Other or unspec. forms of cancer of brain and other parts of nervous system,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,55a,Cancer of the adrenal glands,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,55b,Cancer of the bones,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,55c,Cancer of the thyroid gland,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,55d(1),Cancer of the nose or nasal cavity,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,55d(2),Cancer of other unspecified organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,56a,Non-malignant tumours of the ovaries,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,56b,Non-malignant tumours of the uterus,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,56c,Non-malignant tumours of other female organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,56d,Non-malig. tumours of brain and other parts of the nervous system,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,56e,Non-malignant tumours of other and unspecified organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,57a,Tumours of undetermined nature of the ovaries,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,57b,Tumours of undetermined nature of the uterus,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,57c,Tumours of undetermined nature of the other female genital organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,57d,Tumours of undeter. nature of brain and other parts of nervous system,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,57e,Tumours of undetermined nature of other and unspecified organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,58a,Acute rheumatic pericarditis,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,58b,Acute rheumatic endocarditis,L1_01,Infectious and Communicable Diseases,low
ICD-5,58c,Acute rheumatic myocarditis,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,58d,Other rheumatic fever,L1_01,Infectious and Communicable Diseases,low
ICD-5,59a,Rheumatoid arthritis,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,59b,Other chronic articular rheumatism,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,59c,Other forms of chronic rheumatism,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,60,Gout,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,61,Diabetes mellitus,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,62(1),Hyperpituitarism,L1_01,Infectious and Communicable Diseases,low
ICD-5,62(2),Hypopituitarism,L1_01,Infectious and Communicable Diseases,low
ICD-5,62(3),Other diseases of the pituitary gland,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,63a,Simple goitre,L1_01,Infectious and Communicable Diseases,low
ICD-5,63b,Exophthalmic goitre,L1_05,Chronic Non-Communicable Diseases,low
ICD-5,63c,Myxoedema and cretinism,L1_03,Congenital and Developmental Conditions,low
ICD-5,63d,Other diseases ot the thyroid gland,L1_01,Infectious and Communicable Diseases,low
ICD-5,63e,Diseases of the parathyroid glands,L1_01,Infectious and Communicable Diseases,low
ICD-5,64,Diseases of the thymus (including status lymphaticus),L1_01,Infectious and Communicable Diseases,low
ICD-5,65a,"Addison's disease, not specified as tuberculosis",L1_01,Infectious and Communicable Diseases,low
ICD-5,65b,Other diseases of the adrenal glands (not specified as tuberculosis),L1_01,Infectious and Communicable Diseases,low
ICD-5,66a,Osteomalacia,L1_01,Infectious and Communicable Diseases,low
ICD-5,66b(1)," ""Pink"" disease",L1_01,Infectious and Communicable Diseases,low
ICD-5,66b(2),Idiopathic steatorrhoea,L1_01,Infectious and Communicable Diseases,low
ICD-5,66b(3),Other general diseases,L1_01,Infectious and Communicable Diseases,low
ICD-5,67a,Infantile scurvy (Barlow's disease)(Under 1),L1_06,Respiratory and Environmental Disease,low
ICD-5,67b,Other forms of scurvy,L1_06,Respiratory and Environmental Disease,low
ICD-5,68,Beri-beri,L1_01,Infectious and Communicable Diseases,low
ICD-5,69,Pellagra,L1_06,Respiratory and Environmental Disease,low
ICD-5,70,Rickets,L1_06,Respiratory and Environmental Disease,low
ICD-5,71,Other vitamin deficiency diseases,L1_01,Infectious and Communicable Diseases,low
ICD-5,72a,Primary purpura,L1_06,Respiratory and Environmental Disease,low
ICD-5,72b,Haemophilia,L1_03,Congenital and Developmental Conditions,low
ICD-5,72c,Other haemorrhagic conditions,L1_01,Infectious and Communicable Diseases,low
ICD-5,73a,Pernicious anaemia,L1_01,Infectious and Communicable Diseases,low
ICD-5,73b,Other hyperchromic anaemias,L1_01,Infectious and Communicable Diseases,low
ICD-5,73c,Hypochromic anaemias,L1_01,Infectious and Communicable Diseases,low
ICD-5,73d,Other anaemias,L1_01,Infectious and Communicable Diseases,low
ICD-5,74a,Leukaemia,L1_01,Infectious and Communicable Diseases,low
ICD-5,74b,Aleukaemia,L1_01,Infectious and Communicable Diseases,low
