version,code,description,category_code,category_name,classification_confidence
ICD-7,461,Amoebiasis — With liver abscess,L1_05,Chronic Non-Communicable Diseases,low
ICD-7,470,Other protozoal dysentery — Other protozoal dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-7,480,Unspecified forms of dysentery — Unspecified forms of dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-7,490,Food poisoning (infection and intoxication) — Staphylococcal,L1_01,Infectious and Communicable Diseases,medium
ICD-7,491,Food poisoning (infection and intoxication) — Botulism,L1_07,Injury and Accidental Harm,low
ICD-7,492,Food poisoning (infection and intoxication) — Unspecified,L1_07,Injury and Accidental Harm,low
ICD-7,500,Scarlet fever — Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-7,510,Streptococcal sore throat — Streptococcal sore throat,L1_01,Infectious and Communicable Diseases,low
ICD-7,520,Erysipelas — Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-7,530,Septicaemia and pyaemia — Streptococcus,L1_01,Infectious and Communicable Diseases,high
ICD-7,531,Septicaemia and pyaemia — Staphylococcus,L1_01,Infectious and Communicable Diseases,high
ICD-7,532,Septicaemia and pyaemia — Pneumococcus,L1_01,Infectious and Communicable Diseases,high
ICD-7,533,Septicaemia and pyaemia — Other specified organism,L1_01,Infectious and Communicable Diseases,medium
ICD-7,534,Septicaemia and pyaemia — Organism unspecified,L1_01,Infectious and Communicable Diseases,medium
ICD-7,540,Bacterial toxaemia — Bacterial toxaemia,L1_01,Infectious and Communicable Diseases,low
ICD-7,550,Diphtheria — Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-7,560,Whooping cough — Without mention of pneumonia,L1_01,Infectious and Communicable Diseases,low
ICD-7,561,Whooping cough — With pneumonia,L1_01,Infectious and Communicable Diseases,low
ICD-7,570,Meningococcal infections — Meningococcal meningitis,L1_01,Infectious and Communicable Diseases,low
ICD-7,571,Meningococcal infections — Acute and unspecified meningococcaemia,L1_01,Infectious and Communicable Diseases,low
