version,code,description,category_code,category_name,classification_confidence
ICD-6,10,Respiratory tuberculosis with mention of occupational disease of lung — Respiratory tuberculosis with mention of occupational disease of lung,L1_06,Respiratory and Environmental Disease,medium
ICD-6,20,Pulmonary tuberculosis — Pulmonary tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-6,30,Pleural tuberculosis — Pleurisy specified as tuberculous,L1_01,Infectious and Communicable Diseases,low
ICD-6,31,Pleural tuberculosis — Pleurisy with effusion without mention of cause,L1_01,Infectious and Communicable Diseases,low
ICD-6,40,Primary tuberculosis complex with symptoms — Primary tuberculosis complex with symptoms,L1_01,Infectious and Communicable Diseases,low
ICD-6,50,Tracheobronchial glandular tuberculosis with symptoms — Tracheobronchial glandular tuberculosis with symptoms,L1_01,Infectious and Communicable Diseases,low
ICD-6,60,Radiological evidence suggestive of active respiratory tuberculosis not classifiable elsewhere — Radiological evidence suggestive of active respiratory tuberculosis not classifiable elsewhere,L1_01,Infectious and Communicable Diseases,low
ICD-6,70,Other respiratory tuberculosis — Other respiratory tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-6,80,"Tuberculosis, unspecified site — Tuberculosis, unspecified site",L1_01,Infectious and Communicable Diseases,low
ICD-6,100,Tuberculosis of meninges and central nervous system — Tuberculosis of meninges and central nervous system,L1_01,Infectious and Communicable Diseases,low
ICD-6,110,"Tuberculosis of intestines, peritoneum, and mesenteric glands — Tuberculosis of intestines, peritoneum, and mesenteric glands",L1_01,Infectious and Communicable Diseases,low
ICD-6,120,"Tuberculosis of bones and joints, active or unspecified — Active or unspecified tuberculosis of vertebral column",L1_01,Infectious and Communicable Diseases,low
ICD-6,121,"Tuberculosis of bones and joints, active or unspecified — Active or unspecified tuberculosis of hip",L1_01,Infectious and Communicable Diseases,low
ICD-6,122,"Tuberculosis of bones and joints, active or unspecified — Active or unspecified tuberculosis of knee",L1_01,Infectious and Communicable Diseases,low
ICD-6,123,"Tuberculosis of bones and joints, active or unspecified — Active or unspecified tuberculosis of other and unspecified bones and joints",L1_01,Infectious and Communicable Diseases,low
ICD-6,130,Late effects of tuberculosis of bones and joints — Late effects of tuberculosis of vertebral column,L1_01,Infectious and Communicable Diseases,low
ICD-6,131,Late effects of tuberculosis of bones and joints — Late effects of tuberculosis of hip,L1_01,Infectious and Communicable Diseases,low
ICD-6,132,Late effects of tuberculosis of bones and joints — Late effects of tuberculosis of knee,L1_01,Infectious and Communicable Diseases,low
ICD-6,133,Late effects of tuberculosis of bones and joints — Late effects of tuberculosis of other and unspecified bones and joints,L1_01,Infectious and Communicable Diseases,low
ICD-6,140,Tuberculosis of skin and subcutaneous cellular tissue — Primary tuberculosis of skin,L1_01,Infectious and Communicable Diseases,low
ICD-6,141,Tuberculosis of skin and subcutaneous cellular tissue — Erythema nodosum specified as tuberculosus,L1_01,Infectious and Communicable Diseases,low
ICD-6,142,Tuberculosis of skin and subcutaneous cellular tissue — Lupus,L1_01,Infectious and Communicable Diseases,low
ICD-6,143,Tuberculosis of skin and subcutaneous cellular tissue — Other tuberculosis of skin and subcutaneous cellular tissue,L1_01,Infectious and Communicable Diseases,low
ICD-6,150,Tuberculosis of lymphatic system — Tuberculosis of lymphatic system,L1_01,Infectious and Communicable Diseases,low
ICD-6,160,Tuberculosis of genito-urinary system — Tuberculosis of genito-urinary system,L1_01,Infectious and Communicable Diseases,low
ICD-6,170,Tuberculosis of adrenal glands — Tuberculosis of adrenal glands,L1_01,Infectious and Communicable Diseases,low
ICD-6,180,Tuberculosis of other organs — Tuberculosis of eye,L1_01,Infectious and Communicable Diseases,low
ICD-6,181,Tuberculosis of other organs — Tuberculosis of ear,L1_01,Infectious and Communicable Diseases,low
ICD-6,182,Tuberculosis of other organs — Other,L1_01,Infectious and Communicable Diseases,low
ICD-6,190,Disseminated tuberculosis — Acute miliary tuberculosis specified as non pulmonary,L1_01,Infectious and Communicable Diseases,low
ICD-6,191,"Disseminated tuberculosis — Acute miliary tuberculosis, unspecified",L1_01,Infectious and Communicable Diseases,low
ICD-6,192,Disseminated tuberculosis — Other forms of disseminated tuberculosis,L1_01,Infectious and Communicable Diseases,low
ICD-6,200,Congenital syphilis — Interstitial keratitis,L1_03,Congenital and Developmental Conditions,low
ICD-6,201,Congenital syphilis — Juvenile neurosphilis,L1_03,Congenital and Developmental Conditions,low
ICD-6,202,Congenital syphilis — Other congenital syphilis,L1_03,Congenital and Developmental Conditions,low
ICD-6,210,"Early syphilis — Primary syphilis, except extragenital chancre",L1_01,Infectious and Communicable Diseases,low
ICD-6,211,Early syphilis — Extragenital chancre,L1_01,Infectious and Communicable Diseases,low
ICD-6,212,Early syphilis — Secondary syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-6,213,"Early syphilis — Early syphilis, relapse following treatment",L1_01,Infectious and Communicable Diseases,low
ICD-6,214,"Early syphilis — Early syphilis, unspecified stage",L1_01,Infectious and Communicable Diseases,low
ICD-6,220,Aneurysm of aorta — Aneurysm of aorta,L1_05,Chronic Non-Communicable Diseases,low
ICD-6,230,Other cardiovascular syphilis — Other cardiovascular syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-6,240,Tabes dorsalis — Tabes dorsalis,L1_01,Infectious and Communicable Diseases,low
ICD-6,250,General paralysis of insane — General paralysis of insane,L1_05,Chronic Non-Communicable Diseases,medium
ICD-6,260,Other syphilis of central nervous system — Other syphilis of central nervous system,L1_01,Infectious and Communicable Diseases,low
ICD-6,270,Other forms of late syphilis — Other forms of late syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-6,280,Latent syphilis — Early latent,L1_01,Infectious and Communicable Diseases,low
ICD-6,281,Latent syphilis — Late latent,L1_01,Infectious and Communicable Diseases,low
ICD-6,282,Latent syphilis — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-6,290,"Syphilis, unqualified — Syphilis, unqualified",L1_01,Infectious and Communicable Diseases,low
ICD-6,300,Acute or unspecified gonorrhoea — Acute or unspecified gonorrhoea,L1_01,Infectious and Communicable Diseases,low
ICD-6,310,Chronic gonococcal infection of genito-urinary system — Chronic gonococcal infection of genito-urinary system,L1_05,Chronic Non-Communicable Diseases,low
ICD-6,320,Gonococcal infection of joint — Gonococcal infection of joint,L1_01,Infectious and Communicable Diseases,low
ICD-6,330,Gonococcal infection of eye — Gonococcal infection of eye,L1_01,Infectious and Communicable Diseases,low
ICD-6,340,Gonococcal infection of other sites — Gonococcal infection of other sites,L1_01,Infectious and Communicable Diseases,low
ICD-6,350,Late effects of gonococcal infection — Late effects of gonococcal infection,L1_01,Infectious and Communicable Diseases,low
ICD-6,360,Chancroid — Chancroid,L1_01,Infectious and Communicable Diseases,low
ICD-6,370,Lymphogranuloma venereum — Lymphogranuloma venereum,L1_01,Infectious and Communicable Diseases,low
ICD-6,380,"Granuloma inguinale, venereal — Granuloma inguinale, venereal",L1_01,Infectious and Communicable Diseases,low
ICD-6,390,Other and unspecified venereal diseases — Other and unspecified venereal diseases,L1_01,Infectious and Communicable Diseases,low
ICD-6,400,Typhoid fever — Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-6,410,Paratyphoid fever — Paratyphoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-6,420,Other Salmonella infections — Without mention of food as vehicle of infection,L1_07,Injury and Accidental Harm,low
ICD-6,421,Other Salmonella infections — With food as vehicle of infection,L1_07,Injury and Accidental Harm,low
ICD-6,430,Cholera — Cholera,L1_01,Infectious and Communicable Diseases,low
ICD-6,440,Brucellosis (undulant fever) — Brucellosis (undulant fever),L1_01,Infectious and Communicable Diseases,low
ICD-6,450,Bacillary dysentery — Flexner-Boyd group,L1_01,Infectious and Communicable Diseases,low
ICD-6,451,Bacillary dysentery — Schmitz,L1_01,Infectious and Communicable Diseases,low
ICD-6,452,Bacillary dysentery — Shiga,L1_01,Infectious and Communicable Diseases,low
ICD-6,453,Bacillary dysentery — Sonne,L1_01,Infectious and Communicable Diseases,low
ICD-6,454,"Bacillary dysentery — Bacillary, other and unspecified",L1_01,Infectious and Communicable Diseases,low
ICD-6,460,Amoebiasis — Without mention of liver abscess,L1_05,Chronic Non-Communicable Diseases,low
ICD-6,461,Amoebiasis — With liver abscess,L1_05,Chronic Non-Communicable Diseases,low
