version,code,description,category_code,category_name,classification_confidence
ICD-3,1a,Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,1b,Paratyphoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,2,Typhus fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,3,Relapsing fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,4,Mediterranean fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,5,Malaria,L1_01,Infectious and Communicable Diseases,low
ICD-3,6,Small pox,L1_01,Infectious and Communicable Diseases,low
ICD-3,7,Measles,L1_01,Infectious and Communicable Diseases,low
ICD-3,8,Scarlet fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,9,Whooping cough,L1_01,Infectious and Communicable Diseases,low
ICD-3,10,Diphtheria,L1_01,Infectious and Communicable Diseases,low
ICD-3,11a(1),Influenza with pulmonary and pneumonic complications,L1_01,Infectious and Communicable Diseases,low
ICD-3,11a(2),Influenza with other pulmonary complications,L1_01,Infectious and Communicable Diseases,low
ICD-3,11b(1),Influenza with non-pulmonary complications,L1_01,Infectious and Communicable Diseases,low
ICD-3,11b(2),Influenza without stated complications,L1_01,Infectious and Communicable Diseases,low
ICD-3,12,Miliary fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,13,Mumps,L1_01,Infectious and Communicable Diseases,low
ICD-3,14,Asiatic cholera,L1_01,Infectious and Communicable Diseases,low
ICD-3,15,Cholera nostras,L1_01,Infectious and Communicable Diseases,low
ICD-3,16a,Amoebic dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-3,16b,Bacillary dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-3,16c,Other or unspecified dysentery,L1_01,Infectious and Communicable Diseases,low
ICD-3,17a,Bubonic plague,L1_01,Infectious and Communicable Diseases,low
ICD-3,17b,Pneumonic plague,L1_01,Infectious and Communicable Diseases,low
ICD-3,17c,Septicaemic plague,L1_01,Infectious and Communicable Diseases,low
ICD-3,17d,Plague not otherwise defined,L1_01,Infectious and Communicable Diseases,low
ICD-3,18,Yellow fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,19,Spirochaetosis ictero-haemorrhagica,L1_01,Infectious and Communicable Diseases,low
ICD-3,20,Leprosy,L1_01,Infectious and Communicable Diseases,low
ICD-3,21,Erysipelas,L1_01,Infectious and Communicable Diseases,low
ICD-3,22(1),Acute poliomyelitis,L1_01,Infectious and Communicable Diseases,low
ICD-3,22(2),Acute polioencephalitis,L1_01,Infectious and Communicable Diseases,low
ICD-3,23,Encephalitis lethargica,L1_01,Infectious and Communicable Diseases,low
ICD-3,24,Meningococcal meningitis,L1_01,Infectious and Communicable Diseases,low
ICD-3,25(1),German measles,L1_01,Infectious and Communicable Diseases,low
ICD-3,25(2),Varicella,L1_01,Infectious and Communicable Diseases,low
ICD-3,25(3),Other epidemic and endemic diseases,L1_01,Infectious and Communicable Diseases,low
ICD-3,26,Glanders,L1_01,Infectious and Communicable Diseases,low
ICD-3,27,Anthrax,L1_01,Infectious and Communicable Diseases,low
ICD-3,28,Rabies,L1_01,Infectious and Communicable Diseases,low
ICD-3,29,Tetanus,L1_01,Infectious and Communicable Diseases,low
ICD-3,30(1),Actinomycosis,L1_01,Infectious and Communicable Diseases,low
ICD-3,30(2),Other mycoses,L1_01,Infectious and Communicable Diseases,low
ICD-3,31,Tuberculosis of the respiratory system,L1_06,Respiratory and Environmental Disease,medium
ICD-3,32,Tuberculosis of the central nervous system,L1_01,Infectious and Communicable Diseases,low
ICD-3,33,Tuberculosis of the intestines and peritoneum,L1_01,Infectious and Communicable Diseases,low
ICD-3,34,Tuberculosis of the vertebral column,L1_01,Infectious and Communicable Diseases,low
ICD-3,35,Tuberculosis of the joints,L1_01,Infectious and Communicable Diseases,low
ICD-3,36a,Tuberculosis of the skin and subcutaneous tissue,L1_01,Infectious and Communicable Diseases,low
ICD-3,36b,Tuberculosis of the bones (vertebral column excepted),L1_01,Infectious and Communicable Diseases,low
ICD-3,36c,Tuberculosis of the lymphatic system (abdominal glands excepted),L1_01,Infectious and Communicable Diseases,low
ICD-3,36d,Tuberculosis of the genito-urinary system,L1_01,Infectious and Communicable Diseases,low
ICD-3,36e,Tuberculosis of other sites,L1_01,Infectious and Communicable Diseases,low
ICD-3,37a,Disseminated tuberculosis acute,L1_01,Infectious and Communicable Diseases,low
ICD-3,37b,Disseminated tuberculosis chronic or unstated,L1_01,Infectious and Communicable Diseases,low
ICD-3,38,Syphilis,L1_01,Infectious and Communicable Diseases,low
ICD-3,39,Soft chancre,L1_01,Infectious and Communicable Diseases,low
ICD-3,40(1),Gonococcal infection (ophthalmia excepted),L1_01,Infectious and Communicable Diseases,low
ICD-3,40(2),Gonorrhoeal or purulent ophthalmia,L1_01,Infectious and Communicable Diseases,low
ICD-3,41*,"Purulent infection, septicaemia",L1_01,Infectious and Communicable Diseases,medium
ICD-3,42(1),Vaccinia*,L1_01,Infectious and Communicable Diseases,low
ICD-3,42(2),Other infectious diseases,L1_01,Infectious and Communicable Diseases,low
ICD-3,43,Cancer of the buccal cavity,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,44,"Cancer of the pharynx, oesophagus, stomach, liver and annexa",L1_05,Chronic Non-Communicable Diseases,low
ICD-3,45,"Cancer of the peritoneum, intestines and rectum",L1_05,Chronic Non-Communicable Diseases,low
ICD-3,46,Cancer of the female genital organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,47,Cancer of the breast,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,48,Cancer of the skin,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,49,Cancer of other or unspecifed organs,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,50,Tumours not malignant (brain and female genital organs excepted),L1_05,Chronic Non-Communicable Diseases,low
ICD-3,51,Rheumatic fever,L1_01,Infectious and Communicable Diseases,low
ICD-3,52(1),"Chronic rheumatism, chronic arthritis",L1_05,Chronic Non-Communicable Diseases,medium
ICD-3,52(2),"Rheumatoid arthritis, Osteo-arthritis",L1_05,Chronic Non-Communicable Diseases,low
ICD-3,52(3),Gout,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,53,Scurvy,L1_06,Respiratory and Environmental Disease,low
ICD-3,54,Pellagra,L1_06,Respiratory and Environmental Disease,low
ICD-3,55,Beri-beri,L1_01,Infectious and Communicable Diseases,low
ICD-3,56,Rickets,L1_06,Respiratory and Environmental Disease,low
ICD-3,57,Diabetes,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,58a,Pernicious anaemia,L1_01,Infectious and Communicable Diseases,low
ICD-3,58b,Other anaemias and chlorosis,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,59,Diseases of the pituitary gland,L1_01,Infectious and Communicable Diseases,low
ICD-3,60a,Exophthalmic goitre,L1_05,Chronic Non-Communicable Diseases,low
ICD-3,60b(1),Myxoedema,L1_01,Infectious and Communicable Diseases,low
ICD-3,60b(2),Cretinism,L1_03,Congenital and Developmental Conditions,low
