version,code,description,category_code,category_name,classification_confidence
ICD-8,0,Cholera — Classical,L1_01,Infectious and Communicable Diseases,low
ICD-8,1,Cholera — El Tor,L1_01,Infectious and Communicable Diseases,low
ICD-8,9,Cholera — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-8,10,Typhoid fever — Typhoid fever,L1_01,Infectious and Communicable Diseases,low
ICD-8,20,Paratyphoid fever — Paratyphoid fever A,L1_01,Infectious and Communicable Diseases,low
ICD-8,21,Paratyphoid fever — Paratyphoid fever B,L1_01,Infectious and Communicable Diseases,low
ICD-8,22,Paratyphoid fever — Paratyphoid fever C,L1_01,Infectious and Communicable Diseases,low
ICD-8,29,"Paratyphoid fever — Paratyphoid fever, unspecified",L1_01,Infectious and Communicable Diseases,low
ICD-8,30,Other salmonella infections — With food as vehicle of infection,L1_07,Injury and Accidental Harm,low
ICD-8,39,Other salmonella infections — Without mention of food as vehicle of infection,L1_07,Injury and Accidental Harm,low
ICD-8,40,Bacillary dysentery — Shiga,L1_01,Infectious and Communicable Diseases,low
ICD-8,41,Bacillary dysentery — Flexner,L1_01,Infectious and Communicable Diseases,low
ICD-8,42,Bacillary dysentery — Boyd,L1_01,Infectious and Communicable Diseases,low
ICD-8,43,Bacillary dysentery — Sonne,L1_01,Infectious and Communicable Diseases,low
ICD-8,44,Bacillary dysentery — Schmitz,L1_01,Infectious and Communicable Diseases,low
ICD-8,48,Bacillary dysentery — Other,L1_01,Infectious and Communicable Diseases,low
ICD-8,49,Bacillary dysentery — Unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-8,50,Food poisoning (bacterial) — Staphylococcal,L1_01,Infectious and Communicable Diseases,low
ICD-8,51,Food poisoning (bacterial) — Botulism,L1_01,Infectious and Communicable Diseases,low
ICD-8,52,Food poisoning (bacterial) — Due to other clostridia Clostridium perfringens (C. welchii),L1_01,Infectious and Communicable Diseases,low
ICD-8,58,Food poisoning (bacterial) — Other bacterial food poisoning,L1_01,Infectious and Communicable Diseases,low
ICD-8,59,"Food poisoning (bacterial) — Food poisoning, unspecified",L1_01,Infectious and Communicable Diseases,low
ICD-8,60,Amoebiasis — With liver abscess,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,69,Amoebiasis — Without mention  of liver abscess,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,70,Other protozoal intestinal diseases — Balantidiasis,L1_01,Infectious and Communicable Diseases,low
ICD-8,71,Other protozoal intestinal diseases — Giardiasis,L1_01,Infectious and Communicable Diseases,low
ICD-8,72,Other protozoal intestinal diseases — Coccidiosis,L1_01,Infectious and Communicable Diseases,low
ICD-8,79,Other protozoal intestinal diseases — Other and unspecified,L1_01,Infectious and Communicable Diseases,low
ICD-8,80,Enteritis due to other specified organism — Escherichia coli,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,81,Enteritis due to other specified organism — Arizona,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,82,Enteritis due to other specified organism — Other specified bacteria,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,83,"Enteritis due to other specified organism — Bacterial enteritis, unspecified",L1_05,Chronic Non-Communicable Diseases,low
ICD-8,88,Enteritis due to other specified organism — Enteritis due to specified virus,L1_05,Chronic Non-Communicable Diseases,low
ICD-8,89,"Enteritis due to other specified organism — Other organism, not elsewhere classified",L1_05,Chronic Non-Communicable Diseases,low
ICD-8,90,"Diarrhoeal disease — Dysentery, unspecied",L1_01,Infectious and Communicable Diseases,low
ICD-8,91,Diarrhoeal disease — Diarrhoea,L1_01,Infectious and Communicable Diseases,low
ICD-8,92,Diarrhoeal disease — Gastro-enteritis and colitis,L1_05,Chronic Non-Communicable Diseases,medium
